Player,RECEIVING_REC,RECEIVING_YDS,RECEIVING_TDS,MISC_FL,FPTS,Team,Week,Year,Position
Isaiah Likely,2.0,21.9,0.1,0.0,4.9,BAL,14,2022,te
Mike Gesicki,1.8,20.9,0.2,0.0,4.8,CIN,14,2022,te
Donald Parham Jr.,1.4,19.6,0.2,0.0,4.6,PIT,14,2022,te
Brevin Jordan,2.0,20.6,0.1,0.0,4.5,HOU,14,2022,te
Jonnu Smith,1.9,20.1,0.1,0.0,4.5,PIT,14,2022,te
Trey McBride,2.0,17.2,0.1,0.0,4.1,ARI,14,2022,te
Brock Wright,1.6,18.9,0.1,0.0,4.1,DET,14,2022,te
Harrison Bryant,1.6,16.5,0.1,0.0,3.9,PHI,14,2022,te
Mitchell Wilcox,1.6,15.5,0.1,0.0,3.7,MIA,14,2022,te
Ian Thomas,1.3,14.9,0.1,0.0,3.2,LV,14,2022,te
Jake Ferguson,1.1,12.0,0.1,0.0,3.1,DAL,14,2022,te
Tommy Tremble,1.2,12.6,0.1,0.0,3.0,CAR,14,2022,te
Colby Parkinson,1.1,12.8,0.1,0.0,3.0,LAR,14,2022,te
Noah Gray,1.1,11.4,0.1,0.0,2.7,KC,14,2022,te
Chris Myarick,0.8,6.8,0.2,0.0,2.7,MIA,14,2022,te
James Mitchell,1.0,10.8,0.1,0.0,2.7,CAR,14,2022,te
Eric Saubert,0.9,9.1,0.1,0.0,2.3,SEA,14,2022,te
Nick Vannett,1.0,9.4,0.1,0.0,2.2,MIN,14,2022,te
Grant Calcaterra,0.9,10.3,0.1,0.0,2.2,PHI,14,2022,te
Josh Oliver,0.8,9.2,0.1,0.0,2.2,MIN,14,2022,te
Stone Smartt,0.8,6.5,0.1,0.0,2.1,NYJ,14,2022,te
Quintin Morris,0.7,6.9,0.1,0.0,2.0,JAC,14,2022,te
Shane Zylstra,0.7,6.9,0.1,0.0,1.8,DET,14,2022,te
Johnny Mundt,0.8,6.5,0.0,0.0,1.7,JAC,14,2022,te
Luke Farrell,0.7,7.0,0.0,0.0,1.4,SF,14,2022,te
Albert Okwuegbunam Jr.,0.6,5.8,0.0,0.0,1.4,LV,14,2022,te
Giovanni Ricci,0.7,6.8,0.0,0.0,1.4,MIN,14,2022,te
Ko Kieft,0.6,6.9,0.0,0.0,1.3,TB,14,2022,te
Jacob Harris,0.7,5.9,0.0,0.0,1.3,TB,14,2022,te
Pharaoh Brown,0.6,6.5,0.0,0.0,1.3,MIA,14,2022,te
Chris Manhertz,0.7,5.5,0.0,0.0,1.3,NYG,14,2022,te
Jeremy Ruckert,0.6,6.3,0.0,0.0,1.2,NYJ,14,2022,te
Travis Kelce,6.3,81.6,0.8,0.0,18.9,KC,15,2022,te
Mark Andrews,4.7,58.3,0.6,0.0,13.9,BAL,15,2022,te
T.J. Hockenson,4.7,50.0,0.5,0.0,12.7,MIN,15,2022,te
Dalton Schultz,4.3,47.8,0.5,0.0,12.1,HOU,15,2022,te
Pat Freiermuth,4.3,47.9,0.5,0.0,11.8,PIT,15,2022,te
Cole Kmet,3.8,41.8,0.6,0.0,11.2,CHI,15,2022,te
David Njoku,4.2,48.3,0.2,0.0,10.3,CLE,15,2022,te
George Kittle,3.9,46.6,0.2,0.0,9.8,SF,15,2022,te
Greg Dulcich,4.1,47.4,0.2,0.0,9.8,NYG,15,2022,te
Evan Engram,4.0,42.3,0.2,0.0,9.4,DEN,15,2022,te
Chig Okonkwo,3.1,39.0,0.2,0.0,8.3,TEN,15,2022,te
Darren Waller,3.2,38.0,0.2,0.0,8.0,MIA,15,2022,te
Tyler Higbee,3.6,37.0,0.1,0.0,8.0,LAR,15,2022,te
Hunter Henry,2.9,37.3,0.2,0.0,7.9,NE,15,2022,te
Dawson Knox,3.1,33.2,0.2,0.0,7.7,BUF,15,2022,te
Tyler Conklin,3.2,34.5,0.2,0.0,7.6,LAC,15,2022,te
Austin Hooper,2.9,31.6,0.2,0.0,7.1,NE,15,2022,te
Cade Otton,2.8,29.4,0.2,0.0,6.6,TB,15,2022,te
Juwan Johnson,2.2,23.9,0.3,0.0,6.2,NO,15,2022,te
Noah Fant,2.6,29.4,0.1,0.0,6.2,CIN,15,2022,te
Daniel Bellinger,2.6,26.0,0.2,0.0,6.2,NYG,15,2022,te
Robert Tonyan,2.6,25.4,0.1,0.0,6.0,KC,15,2022,te
Taysom Hill,1.7,18.9,0.4,0.1,5.7,NO,15,2022,te
Jelani Woods,2.1,26.4,0.2,0.0,5.6,IND,15,2022,te
Trey McBride,2.2,20.7,0.1,0.0,4.7,ARI,15,2022,te
Foster Moreau,1.7,23.2,0.1,0.1,4.7,NO,15,2022,te
Will Dissly,2.1,19.4,0.1,0.0,4.6,LAC,15,2022,te
Ross Dwelley,1.0,22.8,0.2,0.0,4.5,SF,15,2022,te
Harrison Bryant,1.4,10.5,0.1,0.0,3.2,PHI,15,2022,te
Kylen Granson,1.8,19.7,0.1,0.0,4.2,PHI,15,2022,te
Jack Stoll,1.8,17.8,0.1,0.0,4.0,NO,15,2022,te
Jonnu Smith,1.7,18.5,0.1,0.0,4.0,PIT,15,2022,te
Mike Gesicki,1.7,17.0,0.1,0.0,3.9,CIN,15,2022,te
Teagan Quitoriano,1.5,15.5,0.1,0.0,3.9,ATL,15,2022,te
Donald Parham Jr.,1.3,16.2,0.1,0.0,3.8,PIT,15,2022,te
Isaiah Likely,1.4,17.3,0.1,0.0,3.8,BAL,15,2022,te
Josiah Deguara,1.6,14.8,0.1,0.0,3.7,ARI,15,2022,te
Colby Parkinson,1.4,15.4,0.1,0.0,3.5,LAR,15,2022,te
Mitchell Wilcox,1.5,15.2,0.1,0.0,3.4,MIA,15,2022,te
Brock Wright,1.4,15.2,0.1,0.0,3.3,DET,15,2022,te
Ian Thomas,1.4,13.5,0.1,0.0,3.2,LV,15,2022,te
Grant Calcaterra,1.3,15.4,0.1,0.0,3.3,PHI,15,2022,te
Adam Trautman,1.3,13.9,0.1,0.0,3.3,DEN,15,2022,te
Brevin Jordan,1.4,13.9,0.1,0.0,3.2,HOU,15,2022,te
Mo Alie-Cox,1.2,14.5,0.1,0.0,3.2,IND,15,2022,te
Noah Gray,1.2,12.8,0.1,0.0,3.0,KC,15,2022,te
John Bates,1.2,11.7,0.1,0.0,2.9,WAS,15,2022,te
Durham Smythe,1.3,10.4,0.1,0.0,2.8,CHI,15,2022,te
Tommy Tremble,1.1,11.7,0.1,0.0,2.8,CAR,15,2022,te
James Mitchell,1.0,9.2,0.1,0.0,2.5,CAR,15,2022,te
Reggie Gilliam,0.9,7.4,0.1,0.0,2.2,BUF,15,2022,te
Ko Kieft,0.7,8.1,0.1,0.0,2.1,TB,15,2022,te
Eric Saubert,0.8,7.1,0.1,0.0,2.1,SEA,15,2022,te
Josh Oliver,0.7,8.0,0.1,0.0,2.0,MIN,15,2022,te
Shane Zylstra,0.8,7.0,0.1,0.0,2.0,DET,15,2022,te
Chris Myarick,0.7,6.8,0.1,0.0,2.0,MIA,15,2022,te
Quintin Morris,0.6,6.2,0.1,0.0,1.8,JAC,15,2022,te
Andrew Beck,0.8,9.1,0.0,0.0,1.7,NYJ,15,2022,te
Stone Smartt,0.8,7.1,0.0,0.0,1.5,NYJ,15,2022,te
Giovanni Ricci,0.7,6.8,0.0,0.0,1.4,MIN,15,2022,te
Luke Farrell,0.7,6.7,0.0,0.0,1.4,SF,15,2022,te
Chris Manhertz,0.7,5.2,0.0,0.0,1.2,NYG,15,2022,te
Johnny Mundt,0.7,5.0,0.0,0.0,1.2,JAC,15,2022,te
Cole Turner,0.6,6.0,0.0,0.0,1.2,WAS,15,2022,te
Pharaoh Brown,0.6,5.8,0.0,0.0,1.2,MIA,15,2022,te
Nick Vannett,0.6,4.9,0.0,0.0,1.1,MIN,15,2022,te
Hunter Long,0.5,5.1,0.0,0.0,1.0,JAC,15,2022,te
Charlie Woerner,0.2,2.4,0.0,0.0,0.4,ATL,15,2022,te
Travis Kelce,6.4,79.1,0.8,0.0,18.7,KC,16,2022,te
Mark Andrews,4.3,54.4,0.6,0.0,13.1,BAL,16,2022,te
George Kittle,4.1,50.6,0.5,0.0,12.4,SF,16,2022,te
Evan Engram,4.6,47.2,0.4,0.0,12.0,DEN,16,2022,te
Dalton Schultz,4.2,43.4,0.5,0.0,11.5,HOU,16,2022,te
Pat Freiermuth,4.0,45.5,0.5,0.0,11.3,PIT,16,2022,te
Darren Waller,3.9,44.1,0.5,0.0,11.1,MIA,16,2022,te
Dallas Goedert,4.4,51.0,0.2,0.0,10.5,PHI,16,2022,te
T.J. Hockenson,4.4,48.5,0.2,0.0,10.4,MIN,16,2022,te
Cole Kmet,3.4,36.0,0.5,0.0,9.8,CHI,16,2022,te
David Njoku,3.8,41.9,0.2,0.0,9.2,CLE,16,2022,te
Dawson Knox,3.2,37.4,0.2,0.0,8.4,BUF,16,2022,te
Tyler Higbee,3.8,34.7,0.1,0.0,8.1,LAR,16,2022,te
Greg Dulcich,3.3,40.1,0.1,0.0,8.0,NYG,16,2022,te
Noah Fant,3.4,36.0,0.2,0.0,7.9,CIN,16,2022,te
Juwan Johnson,2.7,30.4,0.3,0.0,7.3,NO,16,2022,te
Hunter Henry,2.8,34.8,0.2,0.0,7.3,NE,16,2022,te
Chig Okonkwo,2.6,34.3,0.2,0.0,6.9,TEN,16,2022,te
Tyler Conklin,2.9,30.9,0.1,0.0,6.8,LAC,16,2022,te
Daniel Bellinger,2.8,29.3,0.2,0.0,6.8,NYG,16,2022,te
Cade Otton,2.5,25.8,0.2,0.0,6.0,TB,16,2022,te
Robert Tonyan,2.6,24.7,0.1,0.0,5.8,KC,16,2022,te
Trey McBride,2.6,25.9,0.1,0.0,5.7,ARI,16,2022,te
Jelani Woods,2.0,26.0,0.2,0.0,5.6,IND,16,2022,te
Austin Hooper,2.1,22.9,0.2,0.0,5.4,NE,16,2022,te
Will Dissly,2.2,23.8,0.1,0.0,5.3,LAC,16,2022,te
Taysom Hill,1.5,17.7,0.2,0.1,4.4,NO,16,2022,te
Foster Moreau,1.7,21.9,0.1,0.1,4.3,NO,16,2022,te
Isaiah Likely,1.6,18.9,0.1,0.0,4.2,BAL,16,2022,te
Mitchell Wilcox,1.9,17.4,0.1,0.0,4.2,MIA,16,2022,te
Teagan Quitoriano,1.6,16.2,0.1,0.0,4.0,ATL,16,2022,te
Jonnu Smith,1.7,16.7,0.1,0.0,3.8,PIT,16,2022,te
Mike Gesicki,1.4,16.8,0.1,0.0,3.9,CIN,16,2022,te
Noah Gray,1.5,16.7,0.1,0.0,3.7,KC,16,2022,te
Colby Parkinson,1.4,16.5,0.1,0.0,3.7,LAR,16,2022,te
Tommy Tremble,1.4,15.7,0.1,0.0,3.7,CAR,16,2022,te
Brock Wright,1.4,16.2,0.1,0.0,3.6,DET,16,2022,te
Mo Alie-Cox,1.4,15.7,0.1,0.0,3.6,IND,16,2022,te
Jack Stoll,1.5,14.8,0.1,0.0,3.6,NO,16,2022,te
John Bates,1.5,12.8,0.1,0.0,3.4,WAS,16,2022,te
Donald Parham Jr.,1.2,15.0,0.1,0.0,3.2,PIT,16,2022,te
Ian Thomas,1.3,14.7,0.1,0.0,3.1,LV,16,2022,te
Harrison Bryant,1.3,11.8,0.1,0.0,3.1,PHI,16,2022,te
Brevin Jordan,1.4,13.7,0.1,0.0,3.1,HOU,16,2022,te
Josh Oliver,1.1,11.8,0.1,0.0,3.1,MIN,16,2022,te
Durham Smythe,1.3,11.4,0.1,0.0,3.0,CHI,16,2022,te
Adam Trautman,1.2,11.8,0.1,0.0,2.9,DEN,16,2022,te
Jake Ferguson,1.1,9.7,0.1,0.0,2.6,DAL,16,2022,te
Reggie Gilliam,0.9,8.0,0.1,0.0,2.3,BUF,16,2022,te
Eric Saubert,0.8,7.6,0.1,0.0,2.2,SEA,16,2022,te
James Mitchell,0.9,7.8,0.1,0.0,2.1,CAR,16,2022,te
Ko Kieft,0.7,7.9,0.1,0.0,2.1,TB,16,2022,te
Shane Zylstra,0.8,7.2,0.1,0.0,2.0,DET,16,2022,te
Nick Vannett,0.9,9.4,0.0,0.0,2.0,MIN,16,2022,te
Chris Myarick,0.7,7.3,0.1,0.0,2.0,MIA,16,2022,te
Quintin Morris,0.6,6.8,0.1,0.0,1.9,JAC,16,2022,te
Andrew Beck,0.8,10.4,0.0,0.0,1.8,NYJ,16,2022,te
Johnny Mundt,0.8,6.9,0.0,0.0,1.7,JAC,16,2022,te
Stone Smartt,0.9,6.6,0.0,0.0,1.6,NYJ,16,2022,te
Grant Calcaterra,0.6,8.1,0.0,0.0,1.4,PHI,16,2022,te
Luke Farrell,0.7,6.9,0.0,0.0,1.4,SF,16,2022,te
Giovanni Ricci,0.6,6.9,0.0,0.0,1.3,MIN,16,2022,te
Chris Manhertz,0.7,5.5,0.0,0.0,1.3,NYG,16,2022,te
Josiah Deguara,0.6,6.2,0.0,0.0,1.2,ARI,16,2022,te
Hunter Long,0.6,6.1,0.0,0.0,1.2,JAC,16,2022,te
Cole Turner,0.6,5.7,0.0,0.0,1.2,WAS,16,2022,te
John FitzPatrick,0.4,4.2,0.0,0.0,0.8,GB,16,2022,te
Charlie Woerner,0.2,2.3,0.0,0.0,0.4,ATL,16,2022,te
Travis Kelce,6.0,73.3,0.7,0.0,17.3,KC,17,2022,te
Evan Engram,5.3,57.9,0.6,0.0,14.4,DEN,17,2022,te
T.J. Hockenson,4.8,56.5,0.6,0.0,13.8,MIN,17,2022,te
George Kittle,4.6,55.4,0.6,0.0,13.7,SF,17,2022,te
Cole Kmet,3.7,43.5,0.6,0.0,11.3,CHI,17,2022,te
Dawson Knox,3.6,42.0,0.6,0.0,11.1,BUF,17,2022,te
Dalton Schultz,3.7,40.2,0.6,0.0,11.0,HOU,17,2022,te
Dallas Goedert,4.4,50.0,0.2,0.0,10.6,PHI,17,2022,te
Darren Waller,4.4,49.8,0.2,0.0,10.5,MIA,17,2022,te
Mark Andrews,4.1,50.6,0.2,0.0,10.3,BAL,17,2022,te
Tyler Higbee,4.4,43.8,0.2,0.0,10.0,LAR,17,2022,te
Pat Freiermuth,4.1,47.6,0.2,0.0,9.8,PIT,17,2022,te
David Njoku,3.9,46.7,0.2,0.0,9.7,CLE,17,2022,te
Juwan Johnson,3.0,32.3,0.6,0.0,9.5,NO,17,2022,te
Noah Fant,3.0,35.4,0.5,0.0,9.5,CIN,17,2022,te
Jelani Woods,3.2,38.3,0.2,0.0,8.0,IND,17,2022,te
Tyler Conklin,3.2,34.1,0.1,0.0,7.4,LAC,17,2022,te
Hunter Henry,2.9,33.8,0.2,0.0,7.2,NE,17,2022,te
Daniel Bellinger,2.7,28.7,0.1,0.0,6.3,NYG,17,2022,te
Cade Otton,2.6,27.7,0.2,0.0,6.3,TB,17,2022,te
Chig Okonkwo,2.3,29.9,0.1,0.0,5.9,TEN,17,2022,te
Austin Hooper,2.4,24.5,0.1,0.0,5.6,NE,17,2022,te
Trey McBride,2.4,27.9,0.1,0.0,5.6,ARI,17,2022,te
Robert Tonyan,2.1,20.9,0.1,0.0,4.7,KC,17,2022,te
Taysom Hill,1.5,17.2,0.2,0.0,4.6,NO,17,2022,te
Colby Parkinson,1.8,18.5,0.1,0.0,4.5,LAR,17,2022,te
Tommy Tremble,1.5,14.0,0.1,0.0,3.5,CAR,17,2022,te
Isaiah Likely,1.4,16.3,0.1,0.0,3.5,BAL,17,2022,te
Eric Saubert,1.6,15.5,0.1,0.0,3.5,SEA,17,2022,te
Brevin Jordan,1.4,16.4,0.1,0.0,3.5,HOU,17,2022,te
Foster Moreau,1.3,15.7,0.1,0.0,3.3,NO,17,2022,te
Shane Zylstra,1.3,12.7,0.1,0.0,3.3,DET,17,2022,te
Mike Gesicki,1.3,14.1,0.1,0.0,3.2,CIN,17,2022,te
Donald Parham Jr.,1.3,14.6,0.1,0.0,3.2,PIT,17,2022,te
Mo Alie-Cox,1.3,14.7,0.1,0.0,3.2,IND,17,2022,te
Noah Gray,1.3,14.4,0.1,0.0,3.1,KC,17,2022,te
Ian Thomas,1.3,14.3,0.0,0.0,3.0,LV,17,2022,te
Josh Oliver,1.1,12.2,0.1,0.0,2.9,MIN,17,2022,te
Albert Okwuegbunam Jr.,1.2,12.3,0.1,0.0,2.9,LV,17,2022,te
Harrison Bryant,1.2,11.4,0.1,0.0,2.9,PHI,17,2022,te
Brock Wright,1.1,13.7,0.1,0.0,2.8,DET,17,2022,te
Jake Ferguson,0.7,7.5,0.1,0.0,1.9,DAL,17,2022,te
James Mitchell,0.9,10.3,0.1,0.0,2.5,CAR,17,2022,te
Durham Smythe,1.0,8.8,0.1,0.0,2.3,CHI,17,2022,te
Mitchell Wilcox,1.0,8.6,0.1,0.0,2.2,MIA,17,2022,te
Ko Kieft,0.8,8.9,0.1,0.0,2.1,TB,17,2022,te
Adam Trautman,0.9,8.2,0.1,0.0,2.0,DEN,17,2022,te
Travis Kelce,6.6,79.0,0.7,0.0,18.7,KC,18,2022,te
Evan Engram,5.1,57.4,0.5,0.0,14.1,DEN,18,2022,te
George Kittle,4.4,53.7,0.6,0.0,13.5,SF,18,2022,te
Darren Waller,4.4,52.6,0.6,0.0,13.2,MIA,18,2022,te
Tyler Higbee,4.8,48.2,0.6,0.0,12.9,LAR,18,2022,te
T.J. Hockenson,4.5,49.6,0.5,0.0,12.5,MIN,18,2022,te
Dalton Schultz,3.8,42.0,0.6,0.0,11.5,HOU,18,2022,te
Dawson Knox,3.6,42.6,0.6,0.0,11.2,BUF,18,2022,te
Pat Freiermuth,3.8,41.0,0.5,0.0,10.9,PIT,18,2022,te
Dallas Goedert,4.2,50.2,0.2,0.0,10.4,PHI,18,2022,te
Isaiah Likely,3.5,42.1,0.2,0.0,8.8,BAL,18,2022,te
David Njoku,3.4,42.6,0.2,0.0,8.8,CLE,18,2022,te
Cole Kmet,3.3,38.4,0.2,0.0,8.1,CHI,18,2022,te
Juwan Johnson,3.0,36.5,0.2,0.0,8.0,NO,18,2022,te
Trey McBride,3.6,38.7,0.1,0.0,7.9,ARI,18,2022,te
Tyler Conklin,3.6,37.5,0.1,0.0,7.9,LAC,18,2022,te
Hunter Henry,3.3,37.3,0.1,0.0,7.8,NE,18,2022,te
Jelani Woods,2.6,34.1,0.2,0.0,6.9,IND,18,2022,te
Noah Fant,2.7,31.7,0.1,0.0,6.6,CIN,18,2022,te
Taysom Hill,1.5,17.1,0.5,0.0,6.3,NO,18,2022,te
Albert Okwuegbunam Jr.,2.5,28.0,0.1,0.0,5.9,LV,18,2022,te
Colby Parkinson,2.2,24.1,0.2,0.0,5.7,LAR,18,2022,te
Chig Okonkwo,2.2,26.4,0.1,0.0,5.5,TEN,18,2022,te
Austin Hooper,2.3,25.6,0.1,0.0,5.4,NE,18,2022,te
Robert Tonyan,2.3,23.5,0.1,0.0,5.3,KC,18,2022,te
Cade Otton,2.2,23.7,0.1,0.0,5.2,TB,18,2022,te
Josh Oliver,1.9,22.4,0.1,0.0,5.0,MIN,18,2022,te
Daniel Bellinger,2.2,22.2,0.1,0.0,4.9,NYG,18,2022,te
Irv Smith Jr.,2.0,19.7,0.1,0.0,4.8,HOU,18,2022,te
Shane Zylstra,1.6,17.7,0.2,0.0,4.3,DET,18,2022,te
Foster Moreau,1.6,19.4,0.1,0.0,4.2,NO,18,2022,te
Tommy Tremble,1.8,17.9,0.1,0.0,4.1,CAR,18,2022,te
Teagan Quitoriano,1.5,15.8,0.1,0.0,3.8,ATL,18,2022,te
Lawrence Cager,1.7,17.6,0.1,0.0,3.7,WAS,18,2022,te
Nick Vannett,1.7,17.3,0.0,0.0,3.7,MIN,18,2022,te
Mike Gesicki,1.4,16.2,0.1,0.0,3.6,CIN,18,2022,te
Harrison Bryant,1.5,14.8,0.1,0.0,3.5,PHI,18,2022,te
Brock Wright,1.3,16.2,0.1,0.0,3.4,DET,18,2022,te
Mo Alie-Cox,1.3,16.6,0.1,0.0,3.4,IND,18,2022,te
Donald Parham Jr.,1.4,13.5,0.1,0.0,3.2,PIT,18,2022,te
Noah Gray,1.3,13.4,0.1,0.0,3.1,KC,18,2022,te
Eric Saubert,1.4,13.1,0.1,0.0,3.1,SEA,18,2022,te
Johnny Mundt,1.2,12.4,0.1,0.0,3.0,JAC,18,2022,te
Brevin Jordan,1.2,13.8,0.1,0.0,2.9,HOU,18,2022,te
Ko Kieft,1.1,11.9,0.1,0.0,2.7,TB,18,2022,te
Ian Thomas,1.2,12.0,0.0,0.0,2.6,LV,18,2022,te
Kenny Yeboah,1.0,11.3,0.1,0.0,2.6,DET,18,2022,te
Jake Ferguson,0.9,10.7,0.1,0.0,2.3,DAL,18,2022,te
Jeremy Ruckert,0.9,9.3,0.1,0.0,2.2,NYJ,18,2022,te
Adam Trautman,0.8,7.9,0.1,0.0,1.9,DEN,18,2022,te
James Mitchell,0.7,7.9,0.1,0.0,1.9,CAR,18,2022,te
Josiah Deguara,0.7,7.5,0.1,0.0,1.8,ARI,18,2022,te
Charlie Kolar,0.7,7.5,0.1,0.0,1.8,BAL,18,2022,te
T.J. Hockenson,5.1,52.0,0.4,0.0,12.5,MIN,1,2023,te
Darren Waller,4.2,48.9,0.3,0.0,11.0,MIA,1,2023,te
George Kittle,3.8,47.6,0.3,0.0,10.5,SF,1,2023,te
Tyler Higbee,4.3,43.6,0.3,0.0,10.3,LAR,1,2023,te
Kyle Pitts Sr.,3.7,46.6,0.3,0.0,10.2,ATL,1,2023,te
Dallas Goedert,3.8,46.9,0.2,0.0,10.0,PHI,1,2023,te
Evan Engram,3.9,40.9,0.3,0.0,9.5,DEN,1,2023,te
David Njoku,3.5,40.2,0.3,0.0,9.6,CLE,1,2023,te
Dalton Schultz,3.5,38.0,0.3,0.0,8.9,HOU,1,2023,te
Pat Freiermuth,3.5,36.8,0.2,0.0,8.6,PIT,1,2023,te
Juwan Johnson,3.1,36.8,0.3,0.0,8.6,NO,1,2023,te
Isaiah Likely,3.4,38.3,0.3,0.0,8.8,BAL,1,2023,te
Greg Dulcich,3.0,37.2,0.3,0.0,8.2,NYG,1,2023,te
Cole Kmet,3.0,31.6,0.3,0.0,7.7,CHI,1,2023,te
Chig Okonkwo,2.8,33.6,0.2,0.0,7.5,TEN,1,2023,te
Dalton Kincaid,3.0,31.0,0.2,0.1,7.3,BUF,1,2023,te
Cade Otton,2.9,31.5,0.2,0.0,7.2,TB,1,2023,te
Sam LaPorta,2.8,29.6,0.2,0.1,6.9,DET,1,2023,te
Luke Musgrave,2.9,30.8,0.2,0.0,7.0,GB,1,2023,te
Irv Smith Jr.,2.8,26.0,0.2,0.0,6.9,HOU,1,2023,te
Noah Fant,2.7,27.9,0.2,0.0,6.7,CIN,1,2023,te
Hunter Henry,2.5,29.4,0.2,0.0,6.5,NE,1,2023,te
Tyler Conklin,2.7,27.3,0.2,0.0,6.4,LAC,1,2023,te
Jake Ferguson,2.6,26.1,0.2,0.0,6.3,DAL,1,2023,te
Noah Gray,3.0,32.1,0.2,0.0,7.4,KC,1,2023,te
Zach Ertz,2.6,25.5,0.2,0.0,6.2,WAS,1,2023,te
Mike Gesicki,2.2,24.5,0.2,0.0,5.9,CIN,1,2023,te
Dawson Knox,2.2,24.1,0.2,0.0,5.8,BUF,1,2023,te
Austin Hooper,2.2,22.5,0.1,0.0,5.3,NE,1,2023,te
Taysom Hill,1.2,12.3,0.1,0.1,5.2,NO,1,2023,te
Trey McBride,2.0,20.7,0.1,0.0,4.8,ARI,1,2023,te
Kylen Granson,1.7,18.7,0.1,0.0,4.2,PHI,1,2023,te
Adam Trautman,1.6,16.0,0.1,0.0,3.9,DEN,1,2023,te
Mo Alie-Cox,1.5,16.2,0.1,0.0,3.9,IND,1,2023,te
Michael Mayer,1.6,17.0,0.1,0.0,3.8,LV,1,2023,te
Durham Smythe,1.5,15.7,0.1,0.0,3.7,CHI,1,2023,te
Charlie Kolar,1.4,15.3,0.1,0.0,3.7,BAL,1,2023,te
Donald Parham Jr.,1.2,12.5,0.1,0.0,3.2,PIT,1,2023,te
Will Dissly,1.2,13.2,0.1,0.0,3.1,LAC,1,2023,te
Brock Wright,1.0,10.4,0.1,0.0,2.8,DET,1,2023,te
Tommy Tremble,1.0,9.5,0.1,0.0,2.6,CAR,1,2023,te
Josiah Deguara,1.0,10.7,0.1,0.0,2.6,ARI,1,2023,te
Robert Tonyan,1.1,10.9,0.1,0.0,2.5,KC,1,2023,te
Luke Schoonmaker,1.1,9.9,0.1,0.0,2.5,DAL,1,2023,te
Tucker Kraft,1.0,10.3,0.1,0.0,2.5,GB,1,2023,te
Jonnu Smith,1.0,10.4,0.1,0.0,2.4,PIT,1,2023,te
Brenton Strange,1.0,9.1,0.1,0.0,2.4,JAC,1,2023,te
Ian Thomas,1.0,10.3,0.1,0.0,2.4,LV,1,2023,te
Josh Oliver,0.9,8.6,0.1,0.0,2.3,MIN,1,2023,te
Teagan Quitoriano,0.9,10.2,0.1,0.0,2.3,ATL,1,2023,te
Harrison Bryant,0.9,9.1,0.1,0.0,2.2,PHI,1,2023,te
Davis Allen,0.9,7.7,0.1,0.0,2.0,LAR,1,2023,te
Daniel Bellinger,0.8,7.7,0.1,0.0,1.9,NYG,1,2023,te
Drew Ogletree,0.8,8.1,0.1,0.0,1.9,IND,1,2023,te
Foster Moreau,0.7,8.4,0.1,0.0,1.8,NO,1,2023,te
Darnell Washington,0.8,7.5,0.0,0.0,1.8,PIT,1,2023,te
Ko Kieft,0.7,7.4,0.1,0.0,1.8,TB,1,2023,te
Brevin Jordan,0.8,7.7,0.0,0.0,1.8,HOU,1,2023,te
Colby Parkinson,0.6,8.4,0.1,0.0,1.9,LAR,1,2023,te
Eric Saubert,0.7,7.3,0.1,0.0,1.7,SEA,1,2023,te
Connor Heyward,0.6,6.4,0.1,0.0,1.6,PIT,1,2023,te
John Bates,0.6,5.8,0.1,0.0,1.5,WAS,1,2023,te
Cole Turner,0.6,6.1,0.0,0.0,1.4,WAS,1,2023,te
Lawrence Cager,0.5,5.8,0.1,0.0,1.4,WAS,1,2023,te
Andrew Beck,0.6,6.3,0.0,0.0,1.4,NYJ,1,2023,te
James Mitchell,0.5,5.2,0.1,0.0,1.3,CAR,1,2023,te
Jack Stoll,0.5,4.8,0.0,0.0,1.3,NO,1,2023,te
Josh Whyle,0.5,5.0,0.0,0.0,1.2,TEN,1,2023,te
Chris Manhertz,0.5,4.9,0.0,0.0,1.2,NYG,1,2023,te
Reggie Gilliam,0.4,3.4,0.1,0.0,1.1,BUF,1,2023,te
Drew Sample,0.5,4.2,0.0,0.0,1.1,CIN,1,2023,te
Ross Dwelley,0.3,4.6,0.0,0.0,1.0,SF,1,2023,te
Ben Sims,0.4,3.4,0.1,0.0,1.0,GB,1,2023,te
Quintin Morris,0.3,3.3,0.0,0.0,0.9,JAC,1,2023,te
Johnny Mundt,0.4,3.4,0.0,0.0,0.8,JAC,1,2023,te
Jeremy Ruckert,0.4,3.6,0.0,0.0,0.8,NYJ,1,2023,te
Stone Smartt,0.3,3.4,0.0,0.0,0.8,NYJ,1,2023,te
Pharaoh Brown,0.3,3.2,0.0,0.0,0.7,MIA,1,2023,te
Mitchell Wilcox,0.3,2.4,0.0,0.0,0.6,MIA,1,2023,te
Giovanni Ricci,0.2,3.3,0.0,0.0,0.6,MIN,1,2023,te
Luke Farrell,0.3,2.8,0.0,0.0,0.6,SF,1,2023,te
Feleipe Franks,0.2,1.6,0.0,0.0,0.4,ATL,1,2023,te
Charlie Woerner,0.2,1.6,0.0,0.0,0.4,ATL,1,2023,te
Grant Calcaterra,0.1,1.3,0.0,0.0,0.4,PHI,1,2023,te
Jake Tonges,0.2,1.5,0.0,0.0,0.4,SF,1,2023,te
Shane Zylstra,0.1,1.2,0.0,0.0,0.3,DET,1,2023,te
