Player,FG,FGA,XPT,FPTS,Team,Week,Year,Position
Evan McPherson,1.5,1.7,2.3,6.8,CIN,5,2022,k
Brandon McManus,1.5,1.7,2.3,6.8,GB,5,2022,k
Chase McLaughlin,1.6,1.9,1.9,6.7,TB,5,2022,k
Ka'imi Fairbairn,1.6,1.8,1.8,6.5,HOU,5,2022,k
Younghoe Koo,1.5,1.6,2.0,6.4,ATL,5,2022,k
Joey Slye,1.4,1.6,2.0,6.3,TEN,5,2022,k
Cairo Santos,1.4,1.6,1.9,6.2,CHI,5,2022,k
Chris Boswell,1.4,1.5,1.5,5.7,PIT,5,2022,k
Matthew Wright,2.0,2.0,3.0,9.0,CAR,6,2022,k
Jake Elliott,2.0,2.4,2.1,8.1,PHI,6,2022,k
Matt Gay,1.7,2.1,2.6,7.8,WAS,6,2022,k
Dustin Hopkins,1.7,2.0,2.6,7.8,CLE,6,2022,k
Evan McPherson,1.9,2.2,2.1,7.7,CIN,6,2022,k
Graham Gano,1.9,2.3,1.9,7.7,NYG,6,2022,k
Tyler Bass,1.6,1.9,2.9,7.6,BUF,6,2022,k
Harrison Butker,1.7,2.1,2.3,7.5,KC,6,2022,k
Jason Myers,1.7,2.0,2.2,7.3,SEA,6,2022,k
Cairo Santos,1.7,2.0,2.0,7.2,CHI,6,2022,k
Wil Lutz,1.7,2.1,2.0,7.1,DEN,6,2022,k
Brandon McManus,1.7,2.0,1.9,7.0,GB,6,2022,k
Jason Sanders,1.6,2.0,2.0,7.0,MIA,6,2022,k
Chase McLaughlin,1.7,2.0,1.8,7.0,TB,6,2022,k
Younghoe Koo,1.6,1.8,1.9,6.7,ATL,6,2022,k
Nick Folk,1.5,1.7,2.1,6.6,NYJ,6,2022,k
Chris Boswell,1.5,1.8,1.6,6.2,PIT,6,2022,k
Daniel Carlson,2.1,2.4,2.5,8.7,LV,7,2022,k
Jason Sanders,1.8,2.2,2.6,7.9,MIA,7,2022,k
Evan McPherson,1.7,2.1,2.6,7.7,CIN,7,2022,k
Harrison Butker,1.8,2.1,2.5,7.7,KC,7,2022,k
Nick Folk,1.7,2.0,2.6,7.5,NYJ,7,2022,k
Chase McLaughlin,1.8,2.1,2.2,7.5,TB,7,2022,k
Jason Myers,1.6,1.9,2.5,7.4,SEA,7,2022,k
Younghoe Koo,1.8,2.0,2.0,7.3,ATL,7,2022,k
Wil Lutz,1.7,2.0,1.8,6.9,DEN,7,2022,k
Graham Gano,1.6,1.8,2.1,6.8,NYG,7,2022,k
Chris Boswell,1.6,1.9,1.8,6.7,PIT,7,2022,k
Joey Slye,1.6,1.9,1.8,6.7,TEN,7,2022,k
Brandon McManus,1.7,2.0,1.6,6.7,GB,7,2022,k
Ka'imi Fairbairn,1.5,1.8,2.1,6.6,HOU,7,2022,k
Cairo Santos,1.4,1.6,1.6,5.9,CHI,7,2022,k
Dustin Hopkins,1.9,2.2,3.0,8.7,CLE,8,2022,k
Jake Elliott,2.0,2.3,2.6,8.5,PHI,8,2022,k
Tyler Bass,1.8,2.2,3.0,8.4,BUF,8,2022,k
Jason Myers,1.9,2.3,2.4,8.2,SEA,8,2022,k
Graham Gano,2.0,2.4,2.3,8.1,NYG,8,2022,k
Jason Sanders,1.8,2.2,2.8,8.1,MIA,8,2022,k
Younghoe Koo,1.9,2.2,2.4,8.0,ATL,8,2022,k
Evan McPherson,1.8,2.1,2.5,7.9,CIN,8,2022,k
Daniel Carlson,1.8,2.1,2.5,7.8,LV,8,2022,k
Nick Folk,1.9,2.2,1.8,7.7,NYJ,8,2022,k
Wil Lutz,1.6,1.8,2.5,7.2,DEN,8,2022,k
Brandon McManus,1.8,2.1,1.9,7.1,GB,8,2022,k
Chase McLaughlin,1.7,2.0,1.8,7.0,TB,8,2022,k
Matt Gay,1.7,2.0,1.9,6.9,WAS,8,2022,k
Ka'imi Fairbairn,1.6,1.9,1.9,6.7,HOU,8,2022,k
Joey Slye,1.6,2.0,1.8,6.7,TEN,8,2022,k
Cairo Santos,1.6,1.7,1.7,6.3,CHI,8,2022,k
Harrison Butker,2.0,2.4,3.0,9.2,KC,9,2022,k
Tyler Bass,2.0,2.4,2.7,8.7,BUF,9,2022,k
Younghoe Koo,1.9,2.2,2.7,8.4,ATL,9,2022,k
Jake Elliott,1.7,2.0,2.8,8.0,PHI,9,2022,k
Daniel Carlson,1.8,2.1,2.4,8.0,LV,9,2022,k
Evan McPherson,1.8,2.2,2.4,7.9,CIN,9,2022,k
Jason Sanders,1.7,2.1,2.6,7.8,MIA,9,2022,k
Cairo Santos,1.8,2.0,2.2,7.5,CHI,9,2022,k
Jason Myers,1.7,1.9,2.5,7.4,SEA,9,2022,k
Nick Folk,1.7,2.0,2.3,7.4,NYJ,9,2022,k
Cameron Dicker,1.6,1.8,2.4,7.3,LAC,9,2022,k
Joey Slye,1.7,2.0,1.8,6.8,TEN,9,2022,k
Matt Gay,1.6,1.9,1.8,6.5,WAS,9,2022,k
Chase McLaughlin,1.5,1.7,1.5,6.0,TB,9,2022,k
Ka'imi Fairbairn,1.5,1.7,1.6,5.9,HOU,9,2022,k
Graham Gano,2.1,2.5,2.3,8.6,NYG,10,2022,k
Tyler Bass,1.9,2.3,2.8,8.4,BUF,10,2022,k
Daniel Carlson,1.8,2.1,2.4,7.9,LV,10,2022,k
Harrison Butker,1.7,2.0,2.8,7.8,KC,10,2022,k
Jason Sanders,1.7,2.0,2.8,7.8,MIA,10,2022,k
Cairo Santos,1.7,2.0,2.5,7.7,CHI,10,2022,k
Younghoe Koo,1.7,2.0,2.3,7.4,ATL,10,2022,k
Jake Elliott,1.6,1.9,2.5,7.4,PHI,10,2022,k
Wil Lutz,1.6,1.9,2.2,7.1,DEN,10,2022,k
Matthew Wright,1.7,2.1,1.7,6.9,CAR,10,2022,k
Cameron Dicker,1.6,1.8,1.9,6.8,LAC,10,2022,k
Jason Myers,1.4,1.5,2.5,6.7,SEA,10,2022,k
Matt Gay,1.5,1.7,2.0,6.5,WAS,10,2022,k
Ka'imi Fairbairn,1.6,1.8,1.6,6.3,HOU,10,2022,k
Joey Slye,1.5,1.6,1.6,6.0,TEN,10,2022,k
Chase McLaughlin,1.4,1.5,1.7,5.8,TB,10,2022,k
Brandon McManus,1.3,1.5,1.7,5.7,GB,10,2022,k
Tyler Bass,1.9,2.3,3.0,8.6,BUF,11,2022,k
Graham Gano,2.1,2.4,2.4,8.5,NYG,11,2022,k
Nick Folk,2.0,2.4,2.1,8.1,NYJ,11,2022,k
Cameron Dicker,1.8,2.0,2.7,8.0,LAC,11,2022,k
Younghoe Koo,1.8,2.0,2.6,7.9,ATL,11,2022,k
Harrison Butker,1.7,1.9,2.8,7.8,KC,11,2022,k
Cairo Santos,1.7,1.9,2.4,7.4,CHI,11,2022,k
Wil Lutz,1.7,2.0,2.1,7.2,DEN,11,2022,k
Daniel Carlson,1.8,2.0,1.8,7.1,LV,11,2022,k
Matthew Wright,1.8,2.2,1.6,6.9,CAR,11,2022,k
Brandon McManus,1.6,1.9,2.0,6.9,GB,11,2022,k
Ka'imi Fairbairn,1.6,1.9,1.9,6.8,HOU,11,2022,k
Jake Elliott,1.5,1.6,2.2,6.7,PHI,11,2022,k
Evan McPherson,1.4,1.6,2.5,6.7,CIN,11,2022,k
Joey Slye,1.3,1.4,2.2,6.1,TEN,11,2022,k
Matt Gay,1.3,1.4,1.9,5.8,WAS,11,2022,k
Harrison Butker,2.0,2.4,2.8,8.9,KC,12,2022,k
Jason Myers,2.0,2.3,2.7,8.8,SEA,12,2022,k
Jason Sanders,1.7,2.0,3.2,8.3,MIA,12,2022,k
Cameron Dicker,1.8,2.0,2.7,8.0,LAC,12,2022,k
Daniel Carlson,1.9,2.2,2.1,7.9,LV,12,2022,k
Tyler Bass,1.4,1.6,3.1,7.4,BUF,12,2022,k
Jake Elliott,1.6,1.7,2.3,7.0,PHI,12,2022,k
Younghoe Koo,1.6,1.9,2.1,7.0,ATL,12,2022,k
Brandon McManus,1.8,2.2,1.4,6.9,GB,12,2022,k
Chase McLaughlin,1.5,1.8,2.2,6.8,TB,12,2022,k
Graham Gano,1.7,1.9,1.7,6.8,NYG,12,2022,k
Nick Folk,1.7,1.9,1.8,6.8,NYJ,12,2022,k
Wil Lutz,1.6,1.8,1.8,6.6,DEN,12,2022,k
Evan McPherson,1.4,1.6,2.3,6.5,CIN,12,2022,k
Cairo Santos,1.6,1.7,1.8,6.4,CHI,12,2022,k
Joey Slye,1.4,1.6,2.2,6.4,TEN,12,2022,k
Matthew Wright,1.6,1.9,1.4,6.2,CAR,12,2022,k
Ka'imi Fairbairn,1.3,1.5,1.9,5.8,HOU,12,2022,k
Matt Gay,1.2,1.3,1.7,5.3,WAS,12,2022,k
Daniel Carlson,1.9,2.2,2.7,8.3,LV,13,2022,k
Cameron Dicker,1.8,2.0,2.8,8.1,LAC,13,2022,k
Graham Gano,2.0,2.3,2.0,8.0,NYG,13,2022,k
Harrison Butker,1.8,2.2,2.6,8.0,KC,13,2022,k
Nick Folk,2.0,2.4,2.0,7.9,NYJ,13,2022,k
Evan McPherson,1.7,1.9,2.7,7.7,CIN,13,2022,k
Tyler Bass,1.7,1.9,2.3,7.3,BUF,13,2022,k
Younghoe Koo,1.5,1.6,2.6,6.9,ATL,13,2022,k
Jason Myers,1.4,1.5,2.6,6.8,SEA,13,2022,k
Jake Elliott,1.5,1.7,2.2,6.8,PHI,13,2022,k
Wil Lutz,1.5,1.8,1.9,6.5,DEN,13,2022,k
Jason Sanders,1.3,1.4,2.3,6.3,MIA,13,2022,k
Ka'imi Fairbairn,1.4,1.6,2.1,6.2,HOU,13,2022,k
Brandon McManus,1.6,1.9,1.3,6.2,GB,13,2022,k
Cairo Santos,1.4,1.5,2.0,6.1,CHI,13,2022,k
Joey Slye,1.3,1.5,2.0,6.0,TEN,13,2022,k
Chase McLaughlin,1.4,1.6,1.6,5.9,TB,13,2022,k
Matt Gay,1.3,1.3,2.0,5.7,WAS,13,2022,k
Jason Myers,2.0,2.3,2.4,8.3,SEA,14,2022,k
Evan McPherson,1.7,2.0,2.9,8.1,CIN,14,2022,k
Nick Folk,2.0,2.4,2.0,8.0,NYJ,14,2022,k
Harrison Butker,1.8,2.1,2.5,7.9,KC,14,2022,k
Tyler Bass,1.7,2.1,2.7,7.9,BUF,14,2022,k
Jason Sanders,1.7,2.0,2.8,7.8,MIA,14,2022,k
Cameron Dicker,1.5,1.6,2.7,7.0,LAC,14,2022,k
Daniel Carlson,1.5,1.7,2.5,7.0,LV,14,2022,k
Chris Boswell,1.7,2.2,1.8,7.0,PIT,14,2022,k
Jake Elliott,1.6,1.7,2.3,7.0,PHI,14,2022,k
Graham Gano,1.7,1.9,2.0,7.0,NYG,14,2022,k
Matthew Wright,1.0,1.0,3.0,6.0,CAR,14,2022,k
Ka'imi Fairbairn,1.3,1.3,1.5,5.2,HOU,14,2022,k
Cameron Dicker,1.8,2.0,2.6,8.1,LAC,15,2022,k
Chase McLaughlin,2.0,2.4,1.8,7.9,TB,15,2022,k
Tyler Bass,1.7,2.0,2.7,7.8,BUF,15,2022,k
Harrison Butker,1.5,1.7,3.1,7.7,KC,15,2022,k
Daniel Carlson,1.8,2.1,2.1,7.5,LV,15,2022,k
Evan McPherson,1.7,1.9,2.3,7.3,CIN,15,2022,k
Younghoe Koo,1.7,1.9,2.1,7.1,ATL,15,2022,k
Jake Elliott,1.5,1.7,2.5,7.1,PHI,15,2022,k
Cairo Santos,1.6,1.9,2.1,7.1,CHI,15,2022,k
Chris Boswell,1.8,2.1,1.7,7.0,PIT,15,2022,k
Wil Lutz,1.5,1.7,2.5,7.0,DEN,15,2022,k
Brandon McManus,1.6,1.9,2.0,6.8,GB,15,2022,k
Graham Gano,1.6,1.8,1.9,6.8,NYG,15,2022,k
Nick Folk,1.5,1.7,2.2,6.8,NYJ,15,2022,k
Jason Sanders,1.5,1.7,2.1,6.7,MIA,15,2022,k
Joey Slye,1.4,1.6,2.3,6.7,TEN,15,2022,k
Jason Myers,1.4,1.5,2.3,6.6,SEA,15,2022,k
Matt Gay,1.5,1.7,1.6,6.2,WAS,15,2022,k
Ka'imi Fairbairn,1.3,1.4,1.7,5.6,HOU,15,2022,k
Chase McLaughlin,2.0,2.4,1.9,8.1,TB,16,2022,k
Harrison Butker,1.5,1.7,3.3,7.7,KC,16,2022,k
Cameron Dicker,1.7,1.9,2.6,7.7,LAC,16,2022,k
Tyler Bass,1.6,1.9,2.6,7.4,BUF,16,2022,k
Jason Sanders,1.7,2.0,2.3,7.4,MIA,16,2022,k
Graham Gano,1.7,1.9,2.0,7.1,NYG,16,2022,k
Matt Gay,1.8,2.0,1.6,7.0,WAS,16,2022,k
Daniel Carlson,1.7,1.9,1.9,7.0,LV,16,2022,k
Nick Folk,1.7,2.0,1.8,7.0,NYJ,16,2022,k
Chris Boswell,1.5,1.8,2.2,6.8,PIT,16,2022,k
Evan McPherson,1.4,1.6,2.3,6.6,CIN,16,2022,k
Brandon McManus,1.6,1.9,1.8,6.6,GB,16,2022,k
Jake Elliott,1.6,1.7,1.9,6.5,PHI,16,2022,k
Cairo Santos,1.5,1.7,1.9,6.5,CHI,16,2022,k
Jason Myers,1.3,1.4,2.4,6.4,SEA,16,2022,k
Younghoe Koo,1.6,1.7,1.6,6.3,ATL,16,2022,k
Joey Slye,1.3,1.3,1.7,5.5,TEN,16,2022,k
Ka'imi Fairbairn,1.3,1.3,1.6,5.5,HOU,16,2022,k
Wil Lutz,1.2,1.2,1.8,5.3,DEN,16,2022,k
Nick Folk,2.1,2.5,1.9,8.2,NYJ,17,2022,k
Graham Gano,2.1,2.5,1.8,8.0,NYG,17,2022,k
Harrison Butker,1.8,2.0,2.7,8.0,KC,17,2022,k
Jason Myers,1.8,2.0,2.4,7.7,SEA,17,2022,k
Jason Sanders,2.0,2.4,1.4,7.5,MIA,17,2022,k
Jake Elliott,1.7,1.9,2.2,7.5,PHI,17,2022,k
Tyler Bass,1.7,2.0,2.4,7.3,BUF,17,2022,k
Younghoe Koo,1.7,2.0,2.0,7.2,ATL,17,2022,k
Cameron Dicker,1.7,2.0,2.0,7.1,LAC,17,2022,k
Daniel Carlson,1.7,2.0,1.7,7.0,LV,17,2022,k
Wil Lutz,1.7,1.9,1.9,6.8,DEN,17,2022,k
Evan McPherson,1.4,1.5,2.7,6.8,CIN,17,2022,k
Brandon McManus,1.7,2.1,1.3,6.5,GB,17,2022,k
Cairo Santos,1.3,1.4,2.6,6.5,CHI,17,2022,k
Chris Boswell,1.4,1.6,2.1,6.4,PIT,17,2022,k
Matt Gay,1.3,1.4,2.2,6.2,WAS,17,2022,k
Joey Slye,1.3,1.4,2.2,6.1,TEN,17,2022,k
Ka'imi Fairbairn,1.4,1.5,1.9,6.0,HOU,17,2022,k
Chase McLaughlin,1.4,1.5,1.7,5.9,TB,17,2022,k
Jason Myers,2.1,2.5,2.2,8.5,SEA,18,2022,k
Harrison Butker,1.7,2.3,2.8,7.8,KC,18,2022,k
Evan McPherson,1.7,2.0,2.6,7.7,CIN,18,2022,k
Tyler Bass,1.7,2.0,2.5,7.6,BUF,18,2022,k
Chris Boswell,1.9,2.3,2.0,7.5,PIT,18,2022,k
Younghoe Koo,1.7,2.0,2.3,7.4,ATL,18,2022,k
Daniel Carlson,1.7,2.0,2.2,7.4,LV,18,2022,k
Jake Elliott,1.6,1.7,2.5,7.3,PHI,18,2022,k
Brandon McManus,1.8,2.1,1.9,7.3,GB,18,2022,k
Chase McLaughlin,1.8,2.1,1.9,7.2,TB,18,2022,k
Cameron Dicker,1.7,1.9,1.9,6.9,LAC,18,2022,k
Nick Folk,1.7,1.9,1.7,6.7,NYJ,18,2022,k
Matt Gay,1.7,1.9,1.6,6.6,WAS,18,2022,k
Joey Slye,1.6,1.9,1.7,6.6,TEN,18,2022,k
Wil Lutz,1.4,1.4,2.4,6.6,DEN,18,2022,k
Graham Gano,1.6,1.8,1.4,6.3,NYG,18,2022,k
Ka'imi Fairbairn,1.3,1.4,2.2,6.2,HOU,18,2022,k
Jason Sanders,1.3,1.4,2.1,6.2,MIA,18,2022,k
Cairo Santos,1.3,1.4,2.1,6.1,CHI,18,2022,k
Jason Myers,2.0,2.4,2.6,8.5,SEA,1,2023,k
Cameron Dicker,2.0,2.2,2.5,8.5,LAC,1,2023,k
Harrison Butker,1.6,1.9,3.2,8.0,KC,1,2023,k
Tyler Bass,1.9,2.0,2.3,7.9,BUF,1,2023,k
Brandon McManus,1.7,2.1,2.6,7.7,GB,1,2023,k
Jason Sanders,1.7,1.9,2.5,7.5,MIA,1,2023,k
Younghoe Koo,1.6,2.1,2.6,7.5,ATL,1,2023,k
Jake Moody,1.9,1.8,1.9,7.5,SF,1,2023,k
Evan McPherson,1.7,1.9,2.4,7.4,CIN,1,2023,k
Daniel Carlson,1.8,2.0,2.1,7.4,LV,1,2023,k
Joey Slye,1.7,1.9,2.2,7.3,TEN,1,2023,k
Dustin Hopkins,1.7,2.0,2.1,7.2,CLE,1,2023,k
Cairo Santos,1.7,2.0,2.1,7.2,CHI,1,2023,k
Brandon Aubrey,1.7,2.0,2.1,7.2,DAL,1,2023,k
Wil Lutz,1.5,2.1,2.6,7.1,DEN,1,2023,k
Graham Gano,1.5,2.0,2.3,7.0,NYG,1,2023,k
Chris Boswell,1.6,1.9,2.0,6.8,PIT,1,2023,k
Chase McLaughlin,1.5,2.0,2.1,6.6,TB,1,2023,k
Chad Ryland,1.6,1.9,1.7,6.6,ARI,1,2023,k
Jake Elliott,1.4,1.8,2.3,6.6,PHI,1,2023,k
Nick Folk,1.6,1.8,1.8,6.5,NYJ,1,2023,k
Ka'imi Fairbairn,1.6,1.7,1.5,6.4,HOU,1,2023,k
Matt Gay,1.5,1.9,2.0,6.4,WAS,1,2023,k
Blake Grupe,1.3,1.7,2.1,6.1,NO,1,2023,k
Matthew Wright,0.9,1.0,1.4,4.0,CAR,1,2023,k
Tyler Bass,1.8,2.1,3.0,8.3,BUF,2,2023,k
Evan McPherson,2.0,2.1,2.3,8.3,CIN,2,2023,k
Jake Elliott,1.8,2.0,2.7,8.0,PHI,2,2023,k
Harrison Butker,1.8,1.9,2.5,8.0,KC,2,2023,k
Graham Gano,1.9,1.9,2.1,7.8,NYG,2,2023,k
Younghoe Koo,1.8,2.0,2.5,7.8,ATL,2,2023,k
Jake Moody,1.7,2.0,2.5,7.7,SF,2,2023,k
Cameron Dicker,1.7,1.9,2.3,7.5,LAC,2,2023,k
Brandon McManus,1.6,1.9,2.6,7.5,GB,2,2023,k
Jason Myers,1.7,2.0,2.3,7.5,SEA,2,2023,k
Brandon Aubrey,1.7,2.1,2.3,7.4,DAL,2,2023,k
Chase McLaughlin,1.7,2.0,2.2,7.4,TB,2,2023,k
Nick Folk,1.7,1.9,2.2,7.2,NYJ,2,2023,k
Ka'imi Fairbairn,1.7,2.0,2.1,7.2,HOU,2,2023,k
Daniel Carlson,1.7,1.9,2.1,7.2,LV,2,2023,k
Dustin Hopkins,1.7,1.8,2.0,7.0,CLE,2,2023,k
Wil Lutz,1.6,2.4,2.1,6.9,DEN,2,2023,k
Chad Ryland,1.7,1.9,1.9,6.9,ARI,2,2023,k
Jason Sanders,1.5,2.0,2.2,6.8,MIA,2,2023,k
Matt Gay,1.5,1.8,2.3,6.6,WAS,2,2023,k
Blake Grupe,1.4,1.8,2.3,6.4,NO,2,2023,k
Chris Boswell,1.4,1.8,2.2,6.4,PIT,2,2023,k
Cairo Santos,1.4,1.8,2.0,6.3,CHI,2,2023,k
Joey Slye,1.4,1.9,1.7,6.0,TEN,2,2023,k
Matthew Wright,0.0,0.0,0.0,0.0,CAR,2,2023,k
Harrison Butker,1.9,2.1,3.3,9.1,KC,3,2023,k
Jason Sanders,1.8,2.2,2.8,8.2,MIA,3,2023,k
Cameron Dicker,1.8,2.1,2.7,8.1,LAC,3,2023,k
Brandon McManus,1.8,2.2,2.6,8.0,GB,3,2023,k
Brandon Aubrey,1.7,2.1,2.5,7.8,DAL,3,2023,k
Younghoe Koo,1.7,1.9,2.6,7.8,ATL,3,2023,k
Tyler Bass,1.7,1.9,2.6,7.6,BUF,3,2023,k
Jake Moody,1.5,2.1,2.8,7.5,SF,3,2023,k
Jake Elliott,1.7,1.9,2.2,7.3,PHI,3,2023,k
Jason Myers,1.6,2.1,2.5,7.2,SEA,3,2023,k
Chris Boswell,1.7,1.9,2.2,7.2,PIT,3,2023,k
Chase McLaughlin,1.7,1.9,2.2,7.1,TB,3,2023,k
Daniel Carlson,1.6,2.0,2.3,7.1,LV,3,2023,k
Evan McPherson,1.5,2.0,2.5,7.1,CIN,3,2023,k
Graham Gano,1.8,1.7,1.4,6.8,NYG,3,2023,k
Matt Gay,1.7,1.8,1.8,6.7,WAS,3,2023,k
Blake Grupe,1.6,1.8,1.8,6.6,NO,3,2023,k
Wil Lutz,1.6,1.8,1.8,6.6,DEN,3,2023,k
Ka'imi Fairbairn,1.6,1.8,1.7,6.6,HOU,3,2023,k
Dustin Hopkins,1.5,1.9,2.2,6.5,CLE,3,2023,k
Chad Ryland,1.7,1.9,1.5,6.5,ARI,3,2023,k
Nick Folk,1.6,1.7,1.8,6.5,NYJ,3,2023,k
Cairo Santos,1.4,1.8,1.9,6.2,CHI,3,2023,k
Joey Slye,1.2,1.8,1.9,5.5,TEN,3,2023,k
Matthew Wright,0.0,0.0,0.0,0.0,CAR,3,2023,k
Tyler Bass,1.7,2.1,3.0,8.2,BUF,4,2023,k
Cameron Dicker,1.8,2.1,2.9,8.2,LAC,4,2023,k
Brandon Aubrey,2.0,2.1,2.1,8.0,DAL,4,2023,k
Jake Elliott,1.9,2.3,2.4,8.0,PHI,4,2023,k
Jake Moody,1.7,2.0,2.8,8.0,SF,4,2023,k
Harrison Butker,1.7,2.0,2.6,7.8,KC,4,2023,k
Nick Folk,1.8,2.3,2.1,7.5,NYJ,4,2023,k
Matt Gay,1.8,2.0,2.1,7.4,WAS,4,2023,k
Evan McPherson,1.7,2.1,2.2,7.4,CIN,4,2023,k
Younghoe Koo,1.8,2.0,2.1,7.4,ATL,4,2023,k
Jason Myers,1.7,1.8,2.5,7.4,SEA,4,2023,k
Ka'imi Fairbairn,1.7,2.1,2.0,7.3,HOU,4,2023,k
Wil Lutz,1.7,2.1,2.0,7.2,DEN,4,2023,k
Daniel Carlson,1.7,2.0,2.2,7.2,LV,4,2023,k
Jason Sanders,1.4,1.9,2.8,7.0,MIA,4,2023,k
Graham Gano,1.5,2.1,2.4,7.0,NYG,4,2023,k
Cairo Santos,1.5,2.0,2.4,6.9,CHI,4,2023,k
Chris Boswell,1.4,1.9,2.5,6.8,PIT,4,2023,k
Blake Grupe,1.4,2.1,2.4,6.8,NO,4,2023,k
Chase McLaughlin,1.7,1.8,1.8,6.8,TB,4,2023,k
Brandon McManus,1.4,1.9,2.4,6.7,GB,4,2023,k
Dustin Hopkins,1.5,1.9,2.1,6.5,CLE,4,2023,k
Chad Ryland,1.5,1.9,1.5,5.9,ARI,4,2023,k
Joey Slye,1.4,1.9,1.5,5.6,TEN,4,2023,k
Matthew Wright,0.0,0.0,0.0,0.0,CAR,4,2023,k
Harrison Butker,1.7,2.1,3.0,8.3,KC,5,2023,k
Jason Sanders,1.7,2.0,3.0,8.1,MIA,5,2023,k
Tyler Bass,1.7,2.0,2.9,8.1,BUF,5,2023,k
Brandon Aubrey,2.0,2.1,1.9,7.9,DAL,5,2023,k
Jake Elliott,1.8,2.2,2.3,7.8,PHI,5,2023,k
Daniel Carlson,1.8,2.2,2.4,7.8,LV,5,2023,k
Evan McPherson,1.7,2.1,2.3,7.5,CIN,5,2023,k
Wil Lutz,1.8,2.2,2.2,7.4,DEN,5,2023,k
Nick Folk,1.8,2.2,2.1,7.4,NYJ,5,2023,k
Brandon McManus,1.7,2.0,1.9,7.0,GB,5,2023,k
Matt Gay,1.5,2.2,2.4,6.9,WAS,5,2023,k
Ka'imi Fairbairn,1.5,2.0,2.4,6.9,HOU,5,2023,k
Joey Slye,1.5,2.1,2.3,6.8,TEN,5,2023,k
Blake Grupe,1.6,1.9,1.8,6.7,NO,5,2023,k
Jake Moody,1.4,1.9,2.5,6.7,SF,5,2023,k
Younghoe Koo,1.4,1.9,2.3,6.5,ATL,5,2023,k
Graham Gano,1.6,1.6,1.7,6.4,NYG,5,2023,k
Chris Boswell,1.4,1.8,1.9,6.1,PIT,5,2023,k
Chad Ryland,1.4,1.8,1.9,6.1,ARI,5,2023,k
Cairo Santos,1.2,1.9,2.3,5.9,CHI,5,2023,k
Matthew Wright,0.0,0.0,0.0,0.0,CAR,5,2023,k
Harrison Butker,1.7,2.0,3.5,8.6,KC,6,2023,k
Jason Sanders,1.7,1.9,3.4,8.4,MIA,6,2023,k
Tyler Bass,1.7,1.9,3.0,8.2,BUF,6,2023,k
Jake Moody,1.9,1.8,2.3,8.0,SF,6,2023,k
Brandon Aubrey,1.8,2.1,2.6,7.8,DAL,6,2023,k
Jake Elliott,1.8,2.1,2.3,7.8,PHI,6,2023,k
Cairo Santos,1.8,2.0,2.2,7.4,CHI,6,2023,k
Cameron Dicker,1.8,2.2,2.1,7.4,LAC,6,2023,k
Ka'imi Fairbairn,1.7,2.0,2.1,7.3,HOU,6,2023,k
Chase McLaughlin,1.7,1.9,2.1,7.2,TB,6,2023,k
Nick Folk,1.8,2.1,2.0,7.2,NYJ,6,2023,k
Evan McPherson,1.5,2.2,2.5,7.1,CIN,6,2023,k
Jason Myers,1.7,2.0,2.1,7.1,SEA,6,2023,k
Younghoe Koo,1.5,2.1,2.5,7.1,ATL,6,2023,k
Blake Grupe,1.7,2.0,1.9,7.0,NO,6,2023,k
Matt Gay,1.5,2.0,2.2,6.7,WAS,6,2023,k
Wil Lutz,1.6,1.8,1.8,6.7,DEN,6,2023,k
Daniel Carlson,1.4,1.9,2.3,6.6,LV,6,2023,k
Chad Ryland,1.6,1.8,1.7,6.6,ARI,6,2023,k
Joey Slye,1.6,1.9,1.6,6.5,TEN,6,2023,k
Dustin Hopkins,1.4,1.8,1.6,5.9,CLE,6,2023,k
Graham Gano,1.5,1.3,1.0,5.5,NYG,6,2023,k
Matthew Wright,0.0,0.0,0.0,0.0,CAR,6,2023,k
Harrison Butker,1.8,2.0,3.1,8.4,KC,7,2023,k
Jason Myers,2.0,2.1,2.6,8.4,SEA,7,2023,k
Jake Elliott,1.8,2.1,2.5,7.9,PHI,7,2023,k
Jake Moody,1.6,1.9,2.8,7.7,SF,7,2023,k
Chris Boswell,1.8,2.1,2.1,7.4,PIT,7,2023,k
Tyler Bass,1.7,2.1,2.2,7.3,BUF,7,2023,k
Brandon McManus,1.8,1.9,2.0,7.3,GB,7,2023,k
Dustin Hopkins,1.8,2.2,1.9,7.3,CLE,7,2023,k
Wil Lutz,1.7,2.1,2.0,7.3,DEN,7,2023,k
Cairo Santos,1.7,2.0,1.9,7.0,CHI,7,2023,k
Jason Sanders,1.3,1.7,2.9,6.9,MIA,7,2023,k
Chase McLaughlin,1.5,2.1,2.3,6.9,TB,7,2023,k
Younghoe Koo,1.7,1.9,1.7,6.8,ATL,7,2023,k
Cameron Dicker,1.5,2.0,2.3,6.7,LAC,7,2023,k
Blake Grupe,1.5,2.1,2.1,6.5,NO,7,2023,k
Graham Gano,1.6,1.7,1.6,6.4,NYG,7,2023,k
Matt Gay,1.4,1.8,2.1,6.4,WAS,7,2023,k
Daniel Carlson,1.4,1.8,2.2,6.3,LV,7,2023,k
Chad Ryland,1.3,1.7,1.5,5.3,ARI,7,2023,k
Harrison Butker,1.8,2.0,3.1,8.3,KC,8,2023,k
Cameron Dicker,1.8,2.1,2.8,8.2,LAC,8,2023,k
Jason Sanders,1.7,2.1,2.8,8.0,MIA,8,2023,k
