Player,FG,FGA,XPT,FPTS,Team,Week,Year,Position
Matt Gay,1.8,2.1,2.8,8.2,WAS,6,2021,k
Harrison Butker,1.6,1.8,3.2,8.1,KC,6,2021,k
Tyler Bass,1.6,2.0,3.1,8.0,BUF,6,2021,k
Chris Boswell,1.8,2.2,2.3,7.8,PIT,6,2021,k
Brandon McManus,1.7,2.0,2.5,7.7,GB,6,2021,k
Evan McPherson,1.7,2.0,2.5,7.6,CIN,6,2021,k
Dustin Hopkins,1.6,2.0,2.6,7.4,CLE,6,2021,k
Graham Gano,1.7,2.0,2.1,7.2,NYG,6,2021,k
Jason Sanders,1.6,1.9,2.2,7.2,MIA,6,2021,k
Daniel Carlson,1.8,2.1,1.9,7.1,LV,6,2021,k
Chase McLaughlin,1.6,1.8,2.4,7.0,TB,6,2021,k
Jake Elliott,1.7,2.0,1.8,6.9,PHI,6,2021,k
Cairo Santos,1.7,1.9,1.9,6.9,CHI,6,2021,k
Jason Myers,1.6,1.8,2.1,6.8,SEA,6,2021,k
Matthew Wright,1.3,1.4,2.2,6.0,CAR,6,2021,k
Ka'imi Fairbairn,1.3,1.5,1.8,5.7,HOU,6,2021,k
Matt Gay,1.9,2.2,3.3,9.0,WAS,7,2021,k
Nick Folk,2.0,2.3,2.4,8.2,NYJ,7,2021,k
Harrison Butker,1.6,1.8,3.3,8.1,KC,7,2021,k
Jason Sanders,1.8,2.1,2.3,7.6,MIA,7,2021,k
Daniel Carlson,1.7,2.0,2.4,7.5,LV,7,2021,k
Younghoe Koo,1.6,1.9,2.6,7.4,ATL,7,2021,k
Wil Lutz,1.7,2.0,2.1,7.3,DEN,7,2021,k
Joey Slye,1.6,1.9,2.3,7.0,TEN,7,2021,k
Graham Gano,1.6,1.9,2.1,7.0,NYG,7,2021,k
Brandon McManus,1.6,1.8,2.2,7.0,GB,7,2021,k
Jake Elliott,1.6,1.9,2.0,6.9,PHI,7,2021,k
Jason Myers,1.6,1.9,2.0,6.9,SEA,7,2021,k
Chase McLaughlin,1.5,1.7,2.1,6.6,TB,7,2021,k
Evan McPherson,1.4,1.7,2.2,6.5,CIN,7,2021,k
Cairo Santos,1.4,1.7,1.8,6.1,CHI,7,2021,k
Ka'imi Fairbairn,1.5,1.8,1.5,5.9,HOU,7,2021,k
Matt Gay,2.0,2.4,3.0,9.0,WAS,8,2021,k
Tyler Bass,1.8,2.1,3.3,8.5,BUF,8,2021,k
Nick Folk,1.8,2.2,2.1,7.7,NYJ,8,2021,k
Joey Slye,1.8,2.1,2.1,7.6,TEN,8,2021,k
Evan McPherson,1.7,2.0,2.5,7.6,CIN,8,2021,k
Harrison Butker,1.6,1.8,2.7,7.5,KC,8,2021,k
Younghoe Koo,1.7,2.0,2.3,7.5,ATL,8,2021,k
Jason Sanders,1.8,2.1,2.2,7.4,MIA,8,2021,k
Chase McLaughlin,1.7,2.0,2.2,7.4,TB,8,2021,k
Graham Gano,1.7,1.9,2.3,7.3,NYG,8,2021,k
Chris Boswell,1.6,1.9,2.4,7.2,PIT,8,2021,k
Brandon McManus,1.6,1.8,2.3,7.0,GB,8,2021,k
Jake Elliott,1.6,1.9,2.0,6.9,PHI,8,2021,k
Jason Myers,1.4,1.5,2.6,6.9,SEA,8,2021,k
Cairo Santos,1.6,1.9,1.8,6.7,CHI,8,2021,k
Dustin Hopkins,1.4,1.6,2.4,6.7,CLE,8,2021,k
Ka'imi Fairbairn,1.6,1.9,1.7,6.5,HOU,8,2021,k
Matthew Wright,1.4,1.6,1.6,5.9,CAR,8,2021,k
Tyler Bass,2.1,2.5,3.0,9.4,BUF,9,2021,k
Daniel Carlson,1.9,2.3,2.2,8.0,LV,9,2021,k
Joey Slye,2.0,2.0,2.0,8.0,TEN,9,2021,k
Chris Boswell,1.9,2.2,2.4,8.0,PIT,9,2021,k
Jason Sanders,1.8,2.2,2.3,7.8,MIA,9,2021,k
Graham Gano,1.8,2.1,2.1,7.5,NYG,9,2021,k
Evan McPherson,1.7,2.1,2.4,7.5,CIN,9,2021,k
Harrison Butker,1.6,1.8,2.6,7.4,KC,9,2021,k
Nick Folk,1.7,2.0,2.2,7.4,NYJ,9,2021,k
Dustin Hopkins,1.6,1.9,2.2,7.1,CLE,9,2021,k
Brandon McManus,1.7,2.0,2.0,7.1,GB,9,2021,k
Jake Elliott,1.7,2.0,2.1,7.1,PHI,9,2021,k
Younghoe Koo,1.7,2.0,2.0,7.1,ATL,9,2021,k
Ka'imi Fairbairn,1.5,1.8,2.0,6.5,HOU,9,2021,k
Cairo Santos,1.4,1.6,1.6,5.9,CHI,9,2021,k
Matthew Wright,1.2,1.4,1.5,5.1,CAR,9,2021,k
Tyler Bass,1.7,2.1,3.1,8.3,BUF,10,2021,k
Daniel Carlson,1.8,2.2,2.6,8.1,LV,10,2021,k
Dustin Hopkins,1.8,2.1,2.5,8.0,CLE,10,2021,k
Matt Gay,1.7,2.0,2.7,8.0,WAS,10,2021,k
Harrison Butker,1.7,1.9,2.6,7.6,KC,10,2021,k
Younghoe Koo,1.7,1.9,2.5,7.6,ATL,10,2021,k
Brandon McManus,1.8,2.1,2.3,7.5,GB,10,2021,k
Chris Boswell,1.6,1.9,2.5,7.4,PIT,10,2021,k
Nick Folk,1.7,2.0,2.3,7.4,NYJ,10,2021,k
Jason Myers,1.6,1.9,2.2,7.0,SEA,10,2021,k
Chase McLaughlin,1.7,1.9,2.0,6.9,TB,10,2021,k
Jake Elliott,1.6,1.9,1.8,6.7,PHI,10,2021,k
Jason Sanders,1.5,1.9,2.0,6.6,MIA,10,2021,k
Joey Slye,1.6,1.9,1.8,6.5,TEN,10,2021,k
Matthew Wright,1.3,1.6,1.6,5.6,CAR,10,2021,k
Harrison Butker,1.9,2.2,2.9,8.5,KC,11,2021,k
Chase McLaughlin,1.9,2.3,2.5,8.3,TB,11,2021,k
Tyler Bass,1.7,2.0,3.0,8.0,BUF,11,2021,k
Daniel Carlson,1.9,2.3,2.4,7.9,LV,11,2021,k
Nick Folk,1.7,1.9,2.8,7.9,NYJ,11,2021,k
Dustin Hopkins,1.8,2.2,2.3,7.7,CLE,11,2021,k
Evan McPherson,1.7,2.1,2.4,7.5,CIN,11,2021,k
Chris Boswell,1.8,2.0,2.0,7.4,PIT,11,2021,k
Jason Sanders,1.7,2.1,2.2,7.3,MIA,11,2021,k
Cairo Santos,1.7,1.9,2.0,7.1,CHI,11,2021,k
Jason Myers,1.6,2.0,2.1,7.1,SEA,11,2021,k
Graham Gano,1.8,2.1,1.8,7.1,NYG,11,2021,k
Jake Elliott,1.7,2.0,1.9,7.0,PHI,11,2021,k
Younghoe Koo,1.6,1.9,2.0,6.9,ATL,11,2021,k
Joey Slye,1.5,1.8,1.7,6.2,TEN,11,2021,k
Matthew Wright,1.4,1.7,1.7,6.0,CAR,11,2021,k
Ka'imi Fairbairn,1.4,1.7,1.7,6.0,HOU,11,2021,k
Nick Folk,2.1,2.5,2.4,8.8,NYJ,12,2021,k
Chris Boswell,2.0,2.2,2.0,7.9,PIT,12,2021,k
