Player,RUSHING_ATT,RUSHING_YDS,RUSHING_TDS,RECEIVING_REC,RECEIVING_YDS,RECEIVING_TDS,MISC_FL,FPTS,Team,Week,Year,Position
Christian McCaffrey,19.2,80.1,0.8,5.4,43.8,0.3,0.1,24.4,SF,1,2021,rb
Alvin Kamara,14.0,66.2,0.7,5.3,48.1,0.2,0.1,21.7,NO,1,2021,rb
Derrick Henry,22.2,106.7,0.8,1.7,13.7,0.1,0.2,18.9,BAL,1,2021,rb
Austin Ekeler,12.3,51.7,0.2,5.6,43.0,0.3,0.1,18.1,WAS,1,2021,rb
Aaron Jones Sr.,14.9,68.9,0.7,3.4,25.9,0.1,0.1,17.4,MIN,1,2021,rb
Joe Mixon,16.7,69.5,0.6,3.3,24.5,0.1,0.1,16.9,HOU,1,2021,rb
Antonio Gibson,16.9,71.2,0.7,2.8,22.0,0.1,0.1,16.5,NE,1,2021,rb
Raheem Mostert,14.4,73.8,0.7,2.0,20.3,0.1,0.1,16.1,LV,1,2021,rb
Jonathan Taylor,16.4,73.4,0.7,2.3,19.6,0.1,0.1,16.0,IND,1,2021,rb
Najee Harris,16.7,71.6,0.5,3.1,24.3,0.1,0.1,15.7,LAC,1,2021,rb
Nick Chubb,16.7,82.6,0.7,1.8,14.8,0.1,0.1,15.7,HOU,1,2021,rb
Clyde Edwards-Helaire,13.8,58.3,0.6,3.2,24.4,0.1,0.1,15.3,NO,1,2021,rb
Miles Sanders,14.0,63.2,0.6,2.8,22.8,0.1,0.1,15.0,DAL,1,2021,rb
Saquon Barkley,13.2,60.0,0.6,2.9,23.3,0.1,0.1,15.0,PHI,1,2021,rb
David Montgomery,16.2,63.6,0.4,3.2,23.9,0.1,0.1,14.7,DET,1,2021,rb
Myles Gaskin,12.3,52.2,0.4,3.8,24.4,0.1,0.1,13.9,BAL,1,2021,rb
D'Andre Swift,10.8,47.7,0.3,3.8,30.4,0.1,0.1,13.6,CHI,1,2021,rb
Josh Jacobs,15.5,61.4,0.6,2.0,15.8,0.0,0.1,13.2,GB,1,2021,rb
Kareem Hunt,8.7,37.4,0.5,2.5,22.5,0.1,0.1,12.1,KC,1,2021,rb
Devin Singletary,12.0,48.4,0.2,2.3,15.8,0.1,0.1,10.0,NYG,1,2021,rb
Javonte Williams,11.3,44.9,0.3,1.6,13.7,0.0,0.1,9.6,DAL,1,2021,rb
James Conner,9.1,39.2,0.2,1.6,13.1,0.0,0.1,8.3,ARI,1,2021,rb
Nyheim Miller-Hines,4.0,16.1,0.1,3.2,25.1,0.1,0.0,8.2,LAC,1,2021,rb
Ty Johnson,6.8,28.9,0.1,1.6,11.2,0.0,0.1,6.5,BUF,1,2021,rb
Tony Pollard,5.4,22.4,0.1,1.8,12.8,0.1,0.0,6.2,TEN,1,2021,rb
Michael Carter,6.5,25.1,0.1,1.4,10.2,0.0,0.1,5.8,ARI,1,2021,rb
A.J. Dillon,8.8,35.4,0.2,0.7,5.5,0.0,0.1,5.7,PHI,1,2021,rb
JaMycal Hasty,6.1,26.9,0.2,0.9,7.1,0.0,0.1,5.3,NE,1,2021,rb
Alexander Mattison,6.2,26.7,0.1,0.8,7.0,0.1,0.0,5.1,MIA,1,2021,rb
Rhamondre Stevenson,7.4,27.9,0.2,0.4,3.9,0.0,0.0,4.5,NE,1,2021,rb
Kyle Juszczyk,0.9,3.2,0.0,1.5,16.4,0.1,0.0,4.4,SF,1,2021,rb
Samaje Perine,4.0,17.5,0.1,0.8,5.4,0.0,0.0,3.8,CIN,1,2021,rb
Salvon Ahmed,3.6,16.2,0.1,0.7,6.0,0.0,0.0,3.6,IND,1,2021,rb
DeeJay Dallas,2.6,8.5,0.1,1.1,8.4,0.1,0.0,3.5,ARI,1,2021,rb
Elijah Mitchell,3.2,14.6,0.1,0.5,5.2,0.0,0.0,3.2,KC,1,2021,rb
Jeremy McNichols,3.3,11.6,0.1,0.8,6.4,0.0,0.0,3.1,WAS,1,2021,rb
Chuba Hubbard,3.7,13.2,0.1,0.5,4.5,0.0,0.0,3.0,CAR,1,2021,rb
Kenneth Gainwell,2.7,11.5,0.1,0.5,4.0,0.0,0.0,2.5,PIT,1,2021,rb
Jaret Patterson,2.5,10.5,0.1,0.3,2.2,0.0,0.0,2.0,LAC,1,2021,rb
Dare Ogunbowale,0.4,4.1,0.0,0.7,6.4,0.0,0.0,2.0,HOU,1,2021,rb
Travis Homer,1.7,6.4,0.0,0.5,4.5,0.0,0.0,2.0,CHI,1,2021,rb
C.J. Ham,0.4,0.9,0.0,0.7,6.8,0.0,0.0,1.8,MIN,1,2021,rb
Gary Brightwell,1.7,7.5,0.1,0.3,2.9,0.0,0.0,1.8,CIN,1,2021,rb
Patrick Ricard,0.1,0.1,0.0,0.8,5.6,0.1,0.0,1.7,BAL,1,2021,rb
Darrynton Evans,1.3,5.0,0.0,0.4,3.5,0.1,0.0,1.5,BUF,1,2021,rb
Alec Ingold,0.3,0.7,0.0,0.5,4.6,0.0,0.0,1.3,MIA,1,2021,rb
Trayveon Williams,0.9,3.7,0.0,0.2,1.6,0.0,0.0,0.9,CLE,1,2021,rb
Jonathan Ward,0.7,2.6,0.0,0.2,1.7,0.0,0.0,0.8,NYG,1,2021,rb
Jakob Johnson,0.0,0.1,0.0,0.3,2.5,0.0,0.0,0.8,HOU,1,2021,rb
Ameer Abdullah,0.1,2.8,0.0,0.2,1.4,0.0,0.0,0.7,SF,1,2021,rb
D'Ernest Johnson,0.8,3.5,0.0,0.1,1.1,0.0,0.0,0.7,BAL,1,2021,rb
Demetric Felton Jr.,0.5,2.9,0.0,0.1,0.8,0.0,0.0,0.6,WAS,1,2021,rb
Michael Burton,0.2,0.8,0.0,0.2,1.9,0.0,0.0,0.6,DEN,1,2021,rb
Kene Nwangwu,0.2,1.0,0.0,0.2,2.5,0.0,0.0,0.6,NYJ,1,2021,rb
Khalil Herbert,0.1,1.7,0.0,0.2,1.1,0.0,0.0,0.5,IND,1,2021,rb
Nick Bellore,0.1,0.2,0.0,0.1,1.2,0.0,0.0,0.3,WAS,1,2021,rb
Reggie Gilliam,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.2,BUF,1,2021,rb
Jermar Jefferson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TEN,1,2021,rb
J.J. Taylor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOU,1,2021,rb
Patrick Taylor Jr.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SF,1,2021,rb
Giovanni Ricci,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIN,1,2021,rb
Christian McCaffrey,18.7,77.5,0.7,5.7,45.3,0.2,0.1,22.9,SF,2,2021,rb
Alvin Kamara,15.8,73.8,0.7,5.3,45.4,0.3,0.1,22.9,NO,2,2021,rb
Aaron Jones Sr.,15.1,76.4,0.8,3.5,30.1,0.2,0.1,19.7,MIN,2,2021,rb
Austin Ekeler,13.5,58.4,0.5,5.0,40.2,0.3,0.1,19.5,WAS,2,2021,rb
Nick Chubb,19.6,100.1,1.0,1.7,14.7,0.1,0.1,19.3,HOU,2,2021,rb
Derrick Henry,21.8,101.4,0.8,1.8,14.6,0.1,0.1,18.4,BAL,2,2021,rb
Najee Harris,18.7,79.2,0.7,3.0,25.1,0.1,0.2,18.1,LAC,2,2021,rb
Antonio Gibson,18.6,76.1,0.7,3.1,22.8,0.1,0.1,17.4,NE,2,2021,rb
D'Andre Swift,11.8,51.3,0.5,4.5,39.4,0.2,0.1,17.4,CHI,2,2021,rb
Joe Mixon,17.7,71.0,0.5,3.5,25.7,0.1,0.1,16.8,HOU,2,2021,rb
David Montgomery,17.8,75.8,0.6,2.8,21.1,0.1,0.1,16.8,DET,2,2021,rb
Jonathan Taylor,15.7,66.5,0.6,2.8,23.2,0.1,0.1,15.7,IND,2,2021,rb
Miles Sanders,13.6,60.9,0.5,2.8,23.5,0.1,0.1,14.6,DAL,2,2021,rb
Clyde Edwards-Helaire,14.1,57.4,0.3,3.2,25.8,0.1,0.1,14.0,NO,2,2021,rb
Myles Gaskin,12.0,53.0,0.3,3.4,26.7,0.1,0.1,13.9,BAL,2,2021,rb
Saquon Barkley,12.7,55.7,0.4,2.8,21.2,0.1,0.1,13.6,PHI,2,2021,rb
Kareem Hunt,9.5,42.9,0.6,2.6,23.7,0.2,0.1,13.5,KC,2,2021,rb
Elijah Mitchell,15.4,69.6,0.6,1.1,10.0,0.0,0.1,12.7,KC,2,2021,rb
Javonte Williams,12.9,52.0,0.4,1.4,12.1,0.1,0.1,10.7,DAL,2,2021,rb
Nyheim Miller-Hines,5.7,21.8,0.1,3.8,28.1,0.1,0.1,10.3,LAC,2,2021,rb
Devin Singletary,12.3,47.7,0.2,2.3,16.3,0.1,0.1,10.1,NYG,2,2021,rb
James Conner,11.0,46.2,0.3,1.4,10.5,0.0,0.1,8.8,ARI,2,2021,rb
Tony Pollard,5.5,24.8,0.2,1.8,13.8,0.1,0.0,6.9,TEN,2,2021,rb
A.J. Dillon,8.9,39.2,0.3,0.6,5.9,0.0,0.1,6.7,PHI,2,2021,rb
Ty Johnson,5.4,23.5,0.1,1.8,13.6,0.1,0.1,6.3,BUF,2,2021,rb
Kenneth Gainwell,6.1,23.0,0.2,1.4,11.5,0.1,0.0,6.1,PIT,2,2021,rb
Michael Carter,6.2,23.5,0.1,1.2,9.4,0.0,0.0,5.4,ARI,2,2021,rb
Trey Sermon,5.0,21.1,0.1,0.8,6.0,0.0,0.0,4.4,PIT,2,2021,rb
JaMycal Hasty,3.6,15.4,0.1,1.0,8.3,0.0,0.0,4.2,NE,2,2021,rb
Salvon Ahmed,3.7,16.1,0.1,1.0,7.8,0.0,0.0,4.0,IND,2,2021,rb
Samaje Perine,3.5,15.2,0.1,0.9,6.8,0.0,0.0,3.7,CIN,2,2021,rb
DeeJay Dallas,3.1,11.7,0.1,0.9,7.7,0.0,0.0,3.5,ARI,2,2021,rb
Kyle Juszczyk,0.7,2.5,0.0,1.3,12.2,0.1,0.0,3.4,SF,2,2021,rb
Alexander Mattison,3.5,16.4,0.1,0.6,6.0,0.0,0.0,3.4,MIA,2,2021,rb
Jeremy McNichols,2.7,9.3,0.0,0.9,6.6,0.0,0.0,2.9,WAS,2,2021,rb
J.J. Taylor,3.3,14.1,0.1,0.3,2.6,0.0,0.0,2.6,HOU,2,2021,rb
Darrynton Evans,1.2,4.8,0.0,0.7,5.3,0.0,0.0,2.1,BUF,2,2021,rb
Patrick Ricard,0.1,0.1,0.0,1.0,7.6,0.1,0.0,2.1,BAL,2,2021,rb
Chuba Hubbard,1.8,6.5,0.0,0.7,5.0,0.0,0.0,2.1,CAR,2,2021,rb
Alec Ingold,0.3,1.2,0.0,0.9,7.8,0.0,0.0,2.0,MIA,2,2021,rb
Ameer Abdullah,1.2,5.0,0.0,0.6,4.0,0.0,0.0,1.7,SF,2,2021,rb
C.J. Ham,0.3,1.2,0.0,0.7,6.0,0.0,0.0,1.7,MIN,2,2021,rb
Travis Homer,0.7,4.7,0.0,0.5,3.8,0.0,0.0,1.6,CHI,2,2021,rb
Jaret Patterson,1.5,7.2,0.1,0.3,2.4,0.0,0.0,1.6,LAC,2,2021,rb
Dare Ogunbowale,0.4,4.5,0.0,0.4,3.4,0.0,0.0,1.3,HOU,2,2021,rb
Khalil Herbert,0.7,3.8,0.0,0.2,1.5,0.0,0.0,1.0,IND,2,2021,rb
Demetric Felton Jr.,0.7,3.8,0.0,0.2,1.7,0.0,0.0,1.0,WAS,2,2021,rb
Gary Brightwell,0.4,3.0,0.0,0.2,1.7,0.0,0.0,0.8,CIN,2,2021,rb
Jonathan Ward,0.5,1.6,0.0,0.2,1.8,0.0,0.0,0.8,NYG,2,2021,rb
Michael Burton,0.2,0.9,0.0,0.3,1.7,0.0,0.0,0.6,DEN,2,2021,rb
Jakob Johnson,0.0,0.2,0.0,0.3,1.6,0.0,0.0,0.6,HOU,2,2021,rb
D'Ernest Johnson,0.8,3.4,0.0,0.1,1.2,0.0,0.0,0.6,BAL,2,2021,rb
Giovanni Ricci,0.0,0.0,0.0,0.2,2.0,0.0,0.0,0.4,MIN,2,2021,rb
Nick Bellore,0.3,0.9,0.0,0.1,1.0,0.0,0.0,0.3,WAS,2,2021,rb
Reggie Gilliam,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.2,BUF,2,2021,rb
Mike Boone,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.1,MIA,2,2021,rb
Kene Nwangwu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NYJ,2,2021,rb
Jermar Jefferson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TEN,2,2021,rb
Ke'Shawn Vaughn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SF,2,2021,rb
Patrick Taylor Jr.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SF,2,2021,rb
Trayveon Williams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CLE,2,2021,rb
Christian McCaffrey,19.7,88.9,0.9,5.9,50.2,0.2,0.2,25.7,SF,3,2021,rb
Alvin Kamara,14.7,66.4,0.6,5.3,45.9,0.2,0.1,21.4,NO,3,2021,rb
Derrick Henry,23.5,107.2,0.9,2.3,18.4,0.1,0.2,20.4,BAL,3,2021,rb
Austin Ekeler,12.9,57.3,0.5,5.3,42.8,0.2,0.1,19.4,WAS,3,2021,rb
Aaron Jones Sr.,15.0,72.1,0.7,3.8,31.4,0.2,0.1,19.3,MIN,3,2021,rb
Najee Harris,17.0,70.7,0.6,3.5,29.3,0.2,0.1,17.6,LAC,3,2021,rb
Nick Chubb,17.5,87.1,0.9,1.8,14.7,0.1,0.1,17.4,HOU,3,2021,rb
Jonathan Taylor,17.1,76.4,0.7,2.7,23.1,0.1,0.1,17.2,IND,3,2021,rb
D'Andre Swift,10.2,43.6,0.3,4.8,40.9,0.3,0.1,16.8,CHI,3,2021,rb
Joe Mixon,18.1,73.6,0.5,3.3,24.4,0.1,0.1,16.7,HOU,3,2021,rb
Saquon Barkley,15.8,66.8,0.6,3.0,22.9,0.1,0.1,16.0,PHI,3,2021,rb
David Montgomery,17.3,70.4,0.5,2.8,21.3,0.1,0.1,15.6,DET,3,2021,rb
Antonio Gibson,17.0,72.4,0.6,2.7,19.6,0.1,0.1,15.6,NE,3,2021,rb
Miles Sanders,13.1,60.1,0.5,2.8,23.6,0.1,0.1,14.5,DAL,3,2021,rb
Alexander Mattison,15.3,66.1,0.5,2.0,17.7,0.1,0.1,13.4,MIA,3,2021,rb
Clyde Edwards-Helaire,14.8,62.2,0.4,2.6,20.7,0.1,0.1,13.4,NO,3,2021,rb
Myles Gaskin,10.7,47.1,0.3,3.4,26.5,0.1,0.1,12.8,BAL,3,2021,rb
Kareem Hunt,9.5,41.3,0.4,2.4,21.2,0.1,0.1,11.6,KC,3,2021,rb
Trey Sermon,12.4,57.4,0.4,1.6,13.6,0.1,0.1,11.2,PIT,3,2021,rb
Devin Singletary,12.4,52.0,0.4,2.0,14.8,0.1,0.1,11.0,NYG,3,2021,rb
Javonte Williams,12.1,49.3,0.4,1.4,10.9,0.1,0.1,10.1,DAL,3,2021,rb
Nyheim Miller-Hines,4.8,19.6,0.1,3.5,27.7,0.1,0.1,9.9,LAC,3,2021,rb
Tony Pollard,7.0,32.5,0.2,2.0,16.3,0.1,0.1,8.4,TEN,3,2021,rb
James Conner,11.9,48.1,0.3,1.0,7.3,0.0,0.1,8.2,ARI,3,2021,rb
Michael Carter,9.5,36.4,0.2,1.6,12.9,0.0,0.1,7.6,ARI,3,2021,rb
Kenneth Gainwell,6.1,24.8,0.2,1.6,14.5,0.1,0.0,7.1,PIT,3,2021,rb
Ty Johnson,7.9,35.2,0.1,1.4,10.3,0.0,0.1,6.9,BUF,3,2021,rb
A.J. Dillon,6.5,28.3,0.2,0.9,7.5,0.0,0.0,5.6,PHI,3,2021,rb
Ameer Abdullah,5.2,19.9,0.1,1.0,8.0,0.1,0.1,4.7,SF,3,2021,rb
Salvon Ahmed,4.5,19.1,0.1,1.0,8.1,0.0,0.0,4.5,IND,3,2021,rb
Kyle Juszczyk,0.8,3.2,0.0,1.4,12.9,0.1,0.0,3.7,SF,3,2021,rb
Jeremy McNichols,2.7,10.0,0.0,1.1,8.5,0.0,0.0,3.4,WAS,3,2021,rb
Samaje Perine,2.8,12.0,0.1,0.8,5.7,0.0,0.0,3.1,CIN,3,2021,rb
Travis Homer,2.1,8.3,0.0,1.0,8.2,0.0,0.0,3.0,CHI,3,2021,rb
Chuba Hubbard,3.0,11.3,0.1,0.7,5.5,0.0,0.0,3.0,CAR,3,2021,rb
Gary Brightwell,2.2,9.1,0.1,0.6,5.2,0.0,0.0,2.6,CIN,3,2021,rb
C.J. Ham,1.0,3.3,0.0,0.9,7.7,0.1,0.0,2.5,MIN,3,2021,rb
DeeJay Dallas,1.8,7.4,0.0,0.7,5.4,0.0,0.0,2.5,ARI,3,2021,rb
Demetric Felton Jr.,1.4,5.0,0.0,0.6,6.6,0.1,0.0,2.3,WAS,3,2021,rb
Patrick Ricard,0.2,0.4,0.0,1.0,7.8,0.1,0.0,2.2,BAL,3,2021,rb
Alec Ingold,0.4,1.2,0.0,0.8,7.0,0.0,0.0,1.9,MIA,3,2021,rb
J.J. Taylor,2.1,9.4,0.1,0.3,2.0,0.0,0.0,1.9,HOU,3,2021,rb
Jaret Patterson,0.9,4.5,0.0,0.2,1.6,0.0,0.0,1.0,LAC,3,2021,rb
Dare Ogunbowale,0.4,3.7,0.0,0.2,2.4,0.0,0.0,1.0,HOU,3,2021,rb
Michael Burton,0.4,1.5,0.0,0.3,2.5,0.0,0.0,0.8,DEN,3,2021,rb
Jonathan Ward,0.5,1.8,0.0,0.2,1.8,0.0,0.0,0.8,NYG,3,2021,rb
Khalil Herbert,0.7,2.6,0.0,0.2,1.3,0.0,0.0,0.6,IND,3,2021,rb
Jakob Johnson,0.0,0.1,0.0,0.2,1.2,0.0,0.0,0.5,HOU,3,2021,rb
Giovanni Ricci,0.0,0.0,0.0,0.2,3.0,0.0,0.0,0.5,MIN,3,2021,rb
D'Ernest Johnson,0.3,0.8,0.0,0.1,1.3,0.0,0.0,0.4,BAL,3,2021,rb
Nick Bellore,0.3,0.6,0.0,0.1,1.0,0.0,0.0,0.3,WAS,3,2021,rb
Reggie Gilliam,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.2,BUF,3,2021,rb
Andrew Beck,0.1,0.3,0.0,0.1,0.3,0.0,0.0,0.1,NYJ,3,2021,rb
Mike Boone,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,MIA,3,2021,rb
Ke'Shawn Vaughn,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,SF,3,2021,rb
Darrynton Evans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BUF,3,2021,rb
Kene Nwangwu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NYJ,3,2021,rb
Patrick Taylor Jr.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SF,3,2021,rb
Trayveon Williams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CLE,3,2021,rb
Alvin Kamara,16.7,75.2,0.8,5.1,45.2,0.3,0.1,23.2,NO,4,2021,rb
Derrick Henry,25.7,114.6,0.9,2.7,24.1,0.1,0.2,22.0,BAL,4,2021,rb
Austin Ekeler,13.0,59.1,0.5,5.3,44.9,0.3,0.1,20.4,WAS,4,2021,rb
Joe Mixon,21.2,89.4,0.7,3.1,23.2,0.1,0.1,19.3,HOU,4,2021,rb
Aaron Jones Sr.,15.7,71.8,0.7,3.4,27.3,0.2,0.1,18.3,MIN,4,2021,rb
Najee Harris,15.0,59.2,0.3,5.0,40.8,0.2,0.1,17.7,LAC,4,2021,rb
D'Andre Swift,12.4,49.4,0.4,4.8,41.3,0.2,0.1,17.4,CHI,4,2021,rb
David Montgomery,17.3,70.8,0.6,2.9,24.6,0.1,0.1,16.6,DET,4,2021,rb
Saquon Barkley,15.8,62.1,0.5,3.8,28.5,0.1,0.1,16.4,PHI,4,2021,rb
Nick Chubb,16.3,82.2,0.7,1.9,14.5,0.1,0.1,16.1,HOU,4,2021,rb
Jonathan Taylor,16.2,72.2,0.6,2.5,21.1,0.1,0.1,15.6,IND,4,2021,rb
Antonio Gibson,17.0,71.3,0.6,2.2,19.7,0.1,0.1,15.4,NE,4,2021,rb
Miles Sanders,12.7,61.2,0.5,2.7,23.6,0.1,0.1,14.8,DAL,4,2021,rb
Chuba Hubbard,14.0,54.3,0.4,3.1,24.2,0.1,0.1,13.4,CAR,4,2021,rb
Myles Gaskin,11.9,51.1,0.3,3.3,24.9,0.1,0.1,12.9,BAL,4,2021,rb
Trey Sermon,14.0,58.1,0.7,1.5,13.7,0.1,0.1,12.9,PIT,4,2021,rb
Clyde Edwards-Helaire,15.3,63.2,0.4,2.2,17.8,0.1,0.1,12.8,NO,4,2021,rb
Kareem Hunt,9.0,39.9,0.3,3.1,25.3,0.2,0.1,12.5,KC,4,2021,rb
Nyheim Miller-Hines,6.3,25.4,0.2,3.7,30.3,0.1,0.1,11.0,LAC,4,2021,rb
Devin Singletary,10.5,47.8,0.3,1.9,14.0,0.1,0.1,9.9,NYG,4,2021,rb
Michael Carter,10.4,45.2,0.3,1.8,15.6,0.1,0.1,9.8,ARI,4,2021,rb
Tony Pollard,7.8,36.1,0.2,2.2,16.6,0.1,0.1,9.3,TEN,4,2021,rb
Javonte Williams,10.4,41.0,0.2,1.8,14.6,0.1,0.1,9.0,DAL,4,2021,rb
Josh Jacobs,8.2,38.2,0.3,1.1,8.7,0.0,0.1,7.9,GB,4,2021,rb
Kenneth Gainwell,4.9,21.1,0.1,2.0,17.7,0.1,0.0,7.1,PIT,4,2021,rb
James Conner,9.5,38.3,0.3,0.8,5.6,0.0,0.1,7.0,ARI,4,2021,rb
Ty Johnson,6.8,28.4,0.1,1.6,12.5,0.1,0.1,6.8,BUF,4,2021,rb
Kyle Juszczyk,2.6,9.1,0.1,2.2,21.7,0.2,0.0,6.6,SF,4,2021,rb
A.J. Dillon,6.4,27.1,0.1,0.9,7.4,0.0,0.0,5.1,PHI,4,2021,rb
Alexander Mattison,5.4,22.3,0.1,1.0,8.5,0.0,0.0,4.9,MIA,4,2021,rb
J.J. Taylor,3.1,13.0,0.1,1.6,11.1,0.1,0.0,4.8,HOU,4,2021,rb
Jeremy McNichols,2.7,10.5,0.0,1.5,12.4,0.1,0.0,4.3,WAS,4,2021,rb
Salvon Ahmed,3.7,14.8,0.1,0.8,6.2,0.0,0.0,3.5,IND,4,2021,rb
Samaje Perine,2.7,11.7,0.1,0.8,5.7,0.0,0.0,3.1,CIN,4,2021,rb
Travis Homer,1.5,6.6,0.0,1.1,9.6,0.0,0.0,3.0,CHI,4,2021,rb
Dare Ogunbowale,2.6,10.5,0.1,0.7,5.4,0.0,0.1,2.6,HOU,4,2021,rb
Demetric Felton Jr.,1.3,5.1,0.0,0.8,8.5,0.1,0.0,2.6,WAS,4,2021,rb
Patrick Ricard,0.2,0.4,0.0,1.0,7.7,0.1,0.0,2.2,BAL,4,2021,rb
Alec Ingold,0.3,0.8,0.0,0.7,6.1,0.1,0.0,1.8,MIA,4,2021,rb
Gary Brightwell,2.2,6.4,0.1,0.4,3.2,0.0,0.0,1.7,CIN,4,2021,rb
C.J. Ham,0.4,1.2,0.0,0.6,5.5,0.0,0.0,1.5,MIN,4,2021,rb
DeeJay Dallas,1.2,4.9,0.1,0.4,2.8,0.0,0.0,1.5,ARI,4,2021,rb
Ameer Abdullah,1.4,5.8,0.0,0.4,3.2,0.0,0.1,1.4,SF,4,2021,rb
Darrynton Evans,1.1,4.4,0.0,0.4,2.7,0.0,0.0,1.3,BUF,4,2021,rb
Giovanni Ricci,0.0,0.0,0.0,0.6,6.0,0.0,0.0,1.2,MIN,4,2021,rb
Jaret Patterson,0.8,4.2,0.0,0.2,1.8,0.0,0.0,1.0,LAC,4,2021,rb
Khalil Herbert,0.7,3.2,0.0,0.2,1.6,0.0,0.0,0.9,IND,4,2021,rb
D'Ernest Johnson,0.7,2.7,0.0,0.2,2.0,0.0,0.0,0.8,BAL,4,2021,rb
Jakob Johnson,0.1,0.1,0.0,0.3,1.8,0.0,0.0,0.7,HOU,4,2021,rb
Jonathan Ward,0.6,1.7,0.0,0.2,1.8,0.0,0.0,0.6,NYG,4,2021,rb
Michael Burton,0.3,0.6,0.0,0.3,2.0,0.0,0.0,0.6,DEN,4,2021,rb
Ke'Shawn Vaughn,0.5,2.0,0.0,0.2,1.5,0.0,0.0,0.5,SF,4,2021,rb
Nick Bellore,0.5,2.0,0.0,0.1,2.0,0.0,0.0,0.5,WAS,4,2021,rb
Spencer Brown,0.9,4.0,0.0,0.0,0.0,0.0,0.0,0.4,BUF,4,2021,rb
Reggie Gilliam,0.1,0.0,0.0,0.1,1.0,0.0,0.0,0.2,BUF,4,2021,rb
Kene Nwangwu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NYJ,4,2021,rb
Jermar Jefferson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TEN,4,2021,rb
Mike Boone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIA,4,2021,rb
Patrick Taylor Jr.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SF,4,2021,rb
Trayveon Williams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CLE,4,2021,rb
Derrick Henry,25.7,115.6,0.9,2.5,22.4,0.1,0.2,21.5,BAL,5,2021,rb
Alvin Kamara,18.3,79.2,0.6,4.3,35.9,0.3,0.1,20.8,NO,5,2021,rb
Austin Ekeler,13.8,59.1,0.4,4.9,42.1,0.3,0.1,19.3,WAS,5,2021,rb
Aaron Jones Sr.,15.1,69.4,0.6,3.4,28.7,0.2,0.1,18.0,MIN,5,2021,rb
Saquon Barkley,15.0,65.9,0.5,4.2,32.4,0.2,0.1,18.0,PHI,5,2021,rb
Najee Harris,15.8,58.2,0.4,4.8,35.6,0.2,0.1,17.6,LAC,5,2021,rb
D'Andre Swift,10.6,44.9,0.3,5.2,43.3,0.3,0.1,17.4,CHI,5,2021,rb
Alexander Mattison,18.3,79.3,0.6,2.5,24.3,0.1,0.1,17.1,MIA,5,2021,rb
Nick Chubb,16.1,83.7,0.7,1.6,11.4,0.0,0.1,15.1,HOU,5,2021,rb
Jonathan Taylor,14.8,66.7,0.5,2.5,19.9,0.1,0.1,14.5,IND,5,2021,rb
Clyde Edwards-Helaire,14.2,59.9,0.5,2.1,18.0,0.1,0.1,13.3,NO,5,2021,rb
Josh Jacobs,15.5,61.1,0.6,1.9,14.5,0.0,0.1,13.3,GB,5,2021,rb
Antonio Gibson,14.9,59.2,0.5,2.2,18.9,0.1,0.1,13.2,NE,5,2021,rb
Chuba Hubbard,14.6,58.2,0.4,2.2,17.1,0.1,0.1,12.4,CAR,5,2021,rb
Kareem Hunt,9.2,43.0,0.3,3.0,25.0,0.1,0.1,12.2,KC,5,2021,rb
Miles Sanders,11.8,54.1,0.3,2.3,19.4,0.1,0.1,11.5,DAL,5,2021,rb
Joe Mixon,12.1,54.0,0.4,2.0,14.4,0.1,0.1,11.4,HOU,5,2021,rb
Michael Carter,12.4,50.3,0.3,2.0,15.8,0.1,0.1,10.6,ARI,5,2021,rb
Tony Pollard,8.2,39.3,0.2,2.1,17.8,0.1,0.1,9.7,TEN,5,2021,rb
Javonte Williams,10.5,42.8,0.2,2.0,15.9,0.1,0.1,9.5,DAL,5,2021,rb
Elijah Mitchell,10.0,47.6,0.3,1.4,12.1,0.0,0.1,9.5,KC,5,2021,rb
