Player,FG_proj,FGA_proj,XPT_proj,FPTS_proj,Team_proj,Week,Year,Position_proj,Rank,FG_actual,FGA_actual,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT_actual,XPA,G,FPTS_actual,FPTS/G,ROST,Team_actual,Position_actual
Jason Myers,1.6,1.8,2.1,6.8,SEA,5,2022,K,10.0,2.0,2.0,100.0,56.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,10.0,10.0,3.6%,SEA,K
Evan McPherson,1.5,1.7,2.3,6.8,CIN,5,2022,K,24.0,1.0,1.0,100.0,40.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,6.0,6.0,43.8%,CIN,K
Brandon McManus,1.5,1.7,2.3,6.8,GB,5,2022,K,8.0,3.0,4.0,75.0,45.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,11.0,11.0,5.2%,GB,K
Chase McLaughlin,1.6,1.9,1.9,6.7,TB,5,2022,K,2.0,4.0,4.0,100.0,52.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,17.0,17.0,81.7%,TB,K
Ka'imi Fairbairn,1.6,1.8,1.8,6.5,HOU,5,2022,K,9.0,2.0,2.0,100.0,51.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,11.0,11.0,62.1%,HOU,K
Younghoe Koo,1.5,1.6,2.0,6.4,ATL,5,2022,K,31.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,22.8%,ATL,K
Joey Slye,1.4,1.6,2.0,6.3,TEN,5,2022,K,21.0,1.0,1.0,100.0,50.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,7.0,7.0,0.8%,TEN,K
Cairo Santos,1.4,1.6,1.9,6.2,CHI,5,2022,K,5.0,3.0,3.0,100.0,51.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,15.0,15.0,12.2%,CHI,K
Chris Boswell,1.4,1.5,1.5,5.7,PIT,5,2022,K,29.0,1.0,3.0,33.3,29.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,81.1%,PIT,K
Matthew Wright,2.0,2.0,3.0,9.0,CAR,6,2022,K,,,,,,,,,,,,,,,,,,
Jake Elliott,2.0,2.4,2.1,8.1,PHI,6,2022,K,8.0,2.0,2.0,100.0,51.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,10.0,10.0,60.5%,PHI,K
Matt Gay,1.7,2.1,2.6,7.8,WAS,6,2022,K,18.0,1.0,1.0,100.0,21.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,6.0,6.0,15.8%,WAS,K
Dustin Hopkins,1.7,2.0,2.6,7.8,CLE,6,2022,K,5.0,4.0,4.0,100.0,39.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0,13.0,13.0,0.8%,CLE,K
Evan McPherson,1.9,2.2,2.1,7.7,CIN,6,2022,K,12.0,1.0,1.0,100.0,52.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,8.0,8.0,43.8%,CIN,K
Graham Gano,1.9,2.3,1.9,7.7,NYG,6,2022,K,16.0,1.0,1.0,100.0,34.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,6.0,6.0,1.0%,NYG,K
Tyler Bass,1.6,1.9,2.9,7.6,BUF,6,2022,K,15.0,1.0,1.0,100.0,39.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,6.0,6.0,57.5%,BUF,K
Harrison Butker,1.7,2.1,2.3,7.5,KC,6,2022,K,7.0,2.0,3.0,66.7,62.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,11.0,11.0,72.1%,KC,K
Jason Myers,1.7,2.0,2.2,7.3,SEA,6,2022,K,3.0,4.0,4.0,100.0,39.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,13.0,13.0,3.6%,SEA,K
Cairo Santos,1.7,2.0,2.0,7.2,CHI,6,2022,K,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,12.2%,CHI,K
Wil Lutz,1.7,2.1,2.0,7.1,DEN,6,2022,K,1.0,4.0,4.0,100.0,37.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,1.0,14.0,14.0,35.6%,DEN,K
Brandon McManus,1.7,2.0,1.9,7.0,GB,6,2022,K,4.0,3.0,3.0,100.0,51.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,13.0,13.0,5.2%,GB,K
Jason Sanders,1.6,2.0,2.0,7.0,MIA,6,2022,K,20.0,1.0,2.0,50.0,44.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,5.0,42.0%,MIA,K
Chase McLaughlin,1.7,2.0,1.8,7.0,TB,6,2022,K,10.0,2.0,2.0,100.0,42.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,9.0,9.0,81.7%,TB,K
Younghoe Koo,1.6,1.8,1.9,6.7,ATL,6,2022,K,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,4.0,4.0,22.8%,ATL,K
Nick Folk,1.5,1.7,2.1,6.6,NYJ,6,2022,K,13.0,1.0,2.0,50.0,19.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,8.0,8.0,0.9%,NYJ,K
Chris Boswell,1.5,1.8,1.6,6.2,PIT,6,2022,K,9.0,2.0,2.0,100.0,55.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,10.0,10.0,81.1%,PIT,K
Daniel Carlson,2.1,2.4,2.5,8.7,LV,7,2022,K,13.0,1.0,1.0,100.0,50.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,10.0,10.0,12.8%,LV,K
Jason Sanders,1.8,2.2,2.6,7.9,MIA,7,2022,K,6.0,3.0,3.0,100.0,47.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,12.0,12.0,42.0%,MIA,K
Evan McPherson,1.7,2.1,2.6,7.7,CIN,7,2022,K,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,5.0,5.0,43.8%,CIN,K
Harrison Butker,1.8,2.1,2.5,7.7,KC,7,2022,K,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,6.0,6.0,72.1%,KC,K
Nick Folk,1.7,2.0,2.6,7.5,NYJ,7,2022,K,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,0.9%,NYJ,K
Chase McLaughlin,1.8,2.1,2.2,7.5,TB,7,2022,K,16.0,1.0,1.0,100.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,6.0,81.7%,TB,K
Jason Myers,1.6,1.9,2.5,7.4,SEA,7,2022,K,2.0,3.0,3.0,100.0,50.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,1.0,16.0,16.0,3.6%,SEA,K
Younghoe Koo,1.8,2.0,2.0,7.3,ATL,7,2022,K,19.0,1.0,1.0,100.0,43.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,6.0,6.0,22.8%,ATL,K
Wil Lutz,1.7,2.0,1.8,6.9,DEN,7,2022,K,9.0,2.0,2.0,100.0,45.0,0.0,1.0,0.0,1.0,0.0,4.0,4.0,1.0,11.0,11.0,35.6%,DEN,K
Graham Gano,1.6,1.8,2.1,6.8,NYG,7,2022,K,8.0,3.0,3.0,100.0,34.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,1.0,11.0,11.0,1.0%,NYG,K
Chris Boswell,1.6,1.9,1.8,6.7,PIT,7,2022,K,20.0,1.0,1.0,100.0,45.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,5.0,81.1%,PIT,K
Joey Slye,1.6,1.9,1.8,6.7,TEN,7,2022,K,10.0,3.0,4.0,75.0,31.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,11.0,11.0,0.8%,TEN,K
Brandon McManus,1.7,2.0,1.6,6.7,GB,7,2022,K,22.0,1.0,2.0,50.0,44.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,4.0,5.2%,GB,K
Ka'imi Fairbairn,1.5,1.8,2.1,6.6,HOU,7,2022,K,12.0,2.0,3.0,66.7,55.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,10.0,10.0,62.1%,HOU,K
Cairo Santos,1.4,1.6,1.6,5.9,CHI,7,2022,K,1.0,4.0,4.0,100.0,50.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,18.0,18.0,12.2%,CHI,K
Dustin Hopkins,1.9,2.2,3.0,8.7,CLE,8,2022,K,,,,,,,,,,,,,,,,,,
Jake Elliott,2.0,2.3,2.6,8.5,PHI,8,2022,K,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,5.0,5.0,60.5%,PHI,K
Tyler Bass,1.8,2.2,3.0,8.4,BUF,8,2022,K,5.0,2.0,2.0,100.0,42.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,1.0,10.0,10.0,57.5%,BUF,K
Jason Myers,1.9,2.3,2.4,8.2,SEA,8,2022,K,3.0,2.0,2.0,100.0,51.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,1.0,11.0,11.0,3.6%,SEA,K
Graham Gano,2.0,2.4,2.3,8.1,NYG,8,2022,K,12.0,2.0,2.0,100.0,45.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,8.0,8.0,1.0%,NYG,K
Jason Sanders,1.8,2.2,2.8,8.1,MIA,8,2022,K,13.0,1.0,1.0,100.0,45.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,1.0,8.0,8.0,42.0%,MIA,K
Younghoe Koo,1.9,2.2,2.4,8.0,ATL,8,2022,K,2.0,3.0,3.0,100.0,41.0,0.0,0.0,2.0,1.0,0.0,4.0,4.0,1.0,14.0,14.0,22.8%,ATL,K
Evan McPherson,1.8,2.1,2.5,7.9,CIN,8,2022,K,29.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,43.8%,CIN,K
Daniel Carlson,1.8,2.1,2.5,7.8,LV,8,2022,K,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.8%,LV,K
Nick Folk,1.9,2.2,1.8,7.7,NYJ,8,2022,K,1.0,5.0,5.0,100.0,52.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,21.0,21.0,0.9%,NYJ,K
Wil Lutz,1.6,1.8,2.5,7.2,DEN,8,2022,K,17.0,1.0,2.0,50.0,37.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,6.0,6.0,35.6%,DEN,K
Brandon McManus,1.8,2.1,1.9,7.1,GB,8,2022,K,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,3.0,5.2%,GB,K
Chase McLaughlin,1.7,2.0,1.8,7.0,TB,8,2022,K,4.0,3.0,3.0,100.0,46.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,11.0,11.0,81.7%,TB,K
Matt Gay,1.7,2.0,1.9,6.9,WAS,8,2022,K,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,15.8%,WAS,K
Ka'imi Fairbairn,1.6,1.9,1.9,6.7,HOU,8,2022,K,24.0,1.0,1.0,100.0,43.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,5.0,62.1%,HOU,K
Joey Slye,1.6,2.0,1.8,6.7,TEN,8,2022,K,23.0,1.0,1.0,100.0,28.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,5.0,5.0,0.8%,TEN,K
Cairo Santos,1.6,1.7,1.7,6.3,CHI,8,2022,K,19.0,1.0,1.0,100.0,36.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,5.0,5.0,12.2%,CHI,K
Harrison Butker,2.0,2.4,3.0,9.2,KC,9,2022,K,15.0,2.0,3.0,66.7,28.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,6.0,72.1%,KC,K
Tyler Bass,2.0,2.4,2.7,8.7,BUF,9,2022,K,10.0,1.0,2.0,50.0,51.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,7.0,7.0,57.5%,BUF,K
Younghoe Koo,1.9,2.2,2.7,8.4,ATL,9,2022,K,18.0,1.0,2.0,50.0,29.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,5.0,5.0,22.8%,ATL,K
Jake Elliott,1.7,2.0,2.8,8.0,PHI,9,2022,K,23.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,3.0,60.5%,PHI,K
Daniel Carlson,1.8,2.1,2.4,8.0,LV,9,2022,K,7.0,2.0,2.0,100.0,38.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,8.0,8.0,12.8%,LV,K
Evan McPherson,1.8,2.2,2.4,7.9,CIN,9,2022,K,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,6.0,6.0,43.8%,CIN,K
Jason Sanders,1.7,2.1,2.6,7.8,MIA,9,2022,K,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,5.0,5.0,42.0%,MIA,K
Cairo Santos,1.8,2.0,2.2,7.5,CHI,9,2022,K,16.0,1.0,1.0,100.0,32.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,6.0,6.0,12.2%,CHI,K
Jason Myers,1.7,1.9,2.5,7.4,SEA,9,2022,K,6.0,1.0,1.0,100.0,49.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,1.0,8.0,8.0,3.6%,SEA,K
Nick Folk,1.7,2.0,2.3,7.4,NYJ,9,2022,K,1.0,4.0,4.0,100.0,49.0,0.0,1.0,0.0,3.0,0.0,2.0,2.0,1.0,17.0,17.0,0.9%,NYJ,K
Cameron Dicker,1.6,1.8,2.4,7.3,LAC,9,2022,K,8.0,2.0,2.0,100.0,37.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,8.0,8.0,94.9%,LAC,K
Joey Slye,1.7,2.0,1.8,6.8,TEN,9,2022,K,17.0,1.0,1.0,100.0,44.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,6.0,6.0,0.8%,TEN,K
Matt Gay,1.6,1.9,1.8,6.5,WAS,9,2022,K,11.0,2.0,2.0,100.0,35.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,7.0,7.0,15.8%,WAS,K
Chase McLaughlin,1.5,1.7,1.5,6.0,TB,9,2022,K,21.0,1.0,2.0,50.0,40.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,81.7%,TB,K
Ka'imi Fairbairn,1.5,1.7,1.6,5.9,HOU,9,2022,K,20.0,1.0,1.0,100.0,30.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,5.0,5.0,62.1%,HOU,K
Graham Gano,2.1,2.5,2.3,8.6,NYG,10,2022,K,12.0,1.0,1.0,100.0,49.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,1.0,7.0,7.0,1.0%,NYG,K
Tyler Bass,1.9,2.3,2.8,8.4,BUF,10,2022,K,3.0,3.0,3.0,100.0,45.0,0.0,1.0,1.0,1.0,0.0,3.0,3.0,1.0,13.0,13.0,57.5%,BUF,K
Daniel Carlson,1.8,2.1,2.4,7.9,LV,10,2022,K,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,12.8%,LV,K
Harrison Butker,1.7,2.0,2.8,7.8,KC,10,2022,K,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,3.0,3.0,72.1%,KC,K
Jason Sanders,1.7,2.0,2.8,7.8,MIA,10,2022,K,9.0,2.0,2.0,100.0,39.0,0.0,0.0,2.0,0.0,0.0,3.0,5.0,1.0,9.0,9.0,42.0%,MIA,K
Cairo Santos,1.7,2.0,2.5,7.7,CHI,10,2022,K,15.0,1.0,1.0,100.0,33.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,1.0,6.0,6.0,12.2%,CHI,K
Younghoe Koo,1.7,2.0,2.3,7.4,ATL,10,2022,K,26.0,1.0,1.0,100.0,33.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,22.8%,ATL,K
Jake Elliott,1.6,1.9,2.5,7.4,PHI,10,2022,K,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,3.0,60.5%,PHI,K
Wil Lutz,1.6,1.9,2.2,7.1,DEN,10,2022,K,20.0,1.0,1.0,100.0,44.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,5.0,35.6%,DEN,K
Matthew Wright,1.7,2.1,1.7,6.9,CAR,10,2022,K,11.0,2.0,4.0,50.0,33.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,8.0,8.0,0.7%,CAR,K
Cameron Dicker,1.6,1.8,1.9,6.8,LAC,10,2022,K,4.0,3.0,3.0,100.0,47.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,12.0,12.0,94.9%,LAC,K
Jason Myers,1.4,1.5,2.5,6.7,SEA,10,2022,K,16.0,1.0,1.0,100.0,55.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,6.0,3.6%,SEA,K
Matt Gay,1.5,1.7,2.0,6.5,WAS,10,2022,K,17.0,1.0,1.0,100.0,36.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,5.0,5.0,15.8%,WAS,K
Ka'imi Fairbairn,1.6,1.8,1.6,6.3,HOU,10,2022,K,5.0,3.0,3.0,100.0,46.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,11.0,11.0,62.1%,HOU,K
Joey Slye,1.5,1.6,1.6,6.0,TEN,10,2022,K,1.0,4.0,4.0,100.0,58.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,19.0,19.0,0.8%,TEN,K
Chase McLaughlin,1.4,1.5,1.7,5.8,TB,10,2022,K,10.0,2.0,3.0,66.7,48.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,9.0,9.0,81.7%,TB,K
Brandon McManus,1.3,1.5,1.7,5.7,GB,10,2022,K,23.0,1.0,1.0,100.0,39.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,5.2%,GB,K
Tyler Bass,1.9,2.3,3.0,8.6,BUF,11,2022,K,1.0,6.0,6.0,100.0,56.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,23.0,23.0,57.5%,BUF,K
Graham Gano,2.1,2.4,2.4,8.5,NYG,11,2022,K,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0%,NYG,K
Nick Folk,2.0,2.4,2.1,8.1,NYJ,11,2022,K,22.0,1.0,3.0,33.3,24.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,0.9%,NYJ,K
Cameron Dicker,1.8,2.0,2.7,8.0,LAC,11,2022,K,11.0,2.0,2.0,100.0,46.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,1.0,10.0,10.0,94.9%,LAC,K
Younghoe Koo,1.8,2.0,2.6,7.9,ATL,11,2022,K,9.0,2.0,2.0,100.0,53.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,12.0,12.0,22.8%,ATL,K
Harrison Butker,1.7,1.9,2.8,7.8,KC,11,2022,K,4.0,3.0,3.0,100.0,52.0,0.0,0.0,2.0,0.0,1.0,3.0,3.0,1.0,14.0,14.0,72.1%,KC,K
Cairo Santos,1.7,1.9,2.4,7.4,CHI,11,2022,K,17.0,1.0,2.0,50.0,41.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,1.0,7.0,7.0,12.2%,CHI,K
Wil Lutz,1.7,2.0,2.1,7.2,DEN,11,2022,K,13.0,2.0,2.0,100.0,46.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,1.0,10.0,10.0,35.6%,DEN,K
Daniel Carlson,1.8,2.0,1.8,7.1,LV,11,2022,K,5.0,3.0,4.0,75.0,57.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,14.0,14.0,12.8%,LV,K
Matthew Wright,1.8,2.2,1.6,6.9,CAR,11,2022,K,7.0,3.0,3.0,100.0,42.0,0.0,0.0,2.0,1.0,0.0,3.0,3.0,1.0,13.0,13.0,0.7%,CAR,K
Brandon McManus,1.6,1.9,2.0,6.9,GB,11,2022,K,6.0,3.0,4.0,75.0,52.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,14.0,14.0,5.2%,GB,K
Ka'imi Fairbairn,1.6,1.9,1.9,6.8,HOU,11,2022,K,21.0,1.0,1.0,100.0,29.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,62.1%,HOU,K
Jake Elliott,1.5,1.6,2.2,6.7,PHI,11,2022,K,20.0,1.0,1.0,100.0,22.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,5.0,5.0,60.5%,PHI,K
Evan McPherson,1.4,1.6,2.5,6.7,CIN,11,2022,K,3.0,3.0,3.0,100.0,54.0,0.0,0.0,0.0,2.0,1.0,4.0,4.0,1.0,17.0,17.0,43.8%,CIN,K
Joey Slye,1.3,1.4,2.2,6.1,TEN,11,2022,K,10.0,3.0,3.0,100.0,44.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,1.0,12.0,12.0,0.8%,TEN,K
Matt Gay,1.3,1.4,1.9,5.8,WAS,11,2022,K,12.0,2.0,2.0,100.0,58.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,10.0,10.0,15.8%,WAS,K
Harrison Butker,2.0,2.4,2.8,8.9,KC,12,2022,K,3.0,4.0,4.0,100.0,32.0,0.0,3.0,1.0,0.0,0.0,2.0,2.0,1.0,14.0,14.0,72.1%,KC,K
Jason Myers,2.0,2.3,2.7,8.8,SEA,12,2022,K,10.0,2.0,2.0,100.0,34.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,1.0,10.0,10.0,3.6%,SEA,K
Jason Sanders,1.7,2.0,3.2,8.3,MIA,12,2022,K,4.0,3.0,3.0,100.0,45.0,0.0,1.0,1.0,1.0,0.0,3.0,3.0,1.0,13.0,13.0,42.0%,MIA,K
Cameron Dicker,1.8,2.0,2.7,8.0,LAC,12,2022,K,27.0,1.0,1.0,100.0,26.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,5.0,5.0,94.9%,LAC,K
Daniel Carlson,1.9,2.2,2.1,7.9,LV,12,2022,K,12.0,2.0,3.0,66.7,36.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,1.0,10.0,10.0,12.8%,LV,K
Tyler Bass,1.4,1.6,3.1,7.4,BUF,12,2022,K,11.0,2.0,2.0,100.0,47.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,1.0,10.0,10.0,57.5%,BUF,K
Jake Elliott,1.6,1.7,2.3,7.0,PHI,12,2022,K,6.0,2.0,2.0,100.0,54.0,0.0,0.0,1.0,0.0,1.0,4.0,5.0,1.0,12.0,12.0,60.5%,PHI,K
Younghoe Koo,1.6,1.9,2.1,7.0,ATL,12,2022,K,17.0,2.0,3.0,66.7,48.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,9.0,9.0,22.8%,ATL,K
Brandon McManus,1.8,2.2,1.4,6.9,GB,12,2022,K,28.0,1.0,2.0,50.0,27.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,5.2%,GB,K
Chase McLaughlin,1.5,1.8,2.2,6.8,TB,12,2022,K,22.0,1.0,2.0,50.0,51.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,7.0,7.0,81.7%,TB,K
Graham Gano,1.7,1.9,1.7,6.8,NYG,12,2022,K,8.0,2.0,2.0,100.0,57.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,11.0,11.0,1.0%,NYG,K
Nick Folk,1.7,1.9,1.8,6.8,NYJ,12,2022,K,2.0,4.0,4.0,100.0,46.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,15.0,15.0,0.9%,NYJ,K
Wil Lutz,1.6,1.8,1.8,6.6,DEN,12,2022,K,32.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,35.6%,DEN,K
Evan McPherson,1.4,1.6,2.3,6.5,CIN,12,2022,K,13.0,2.0,2.0,100.0,47.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,9.0,9.0,43.8%,CIN,K
Cairo Santos,1.6,1.7,1.8,6.4,CHI,12,2022,K,30.0,1.0,1.0,100.0,22.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,12.2%,CHI,K
Joey Slye,1.4,1.6,2.2,6.4,TEN,12,2022,K,18.0,2.0,2.0,100.0,45.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,8.0,8.0,0.8%,TEN,K
Matthew Wright,1.6,1.9,1.4,6.2,CAR,12,2022,K,5.0,3.0,3.0,100.0,52.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,13.0,13.0,0.7%,CAR,K
Ka'imi Fairbairn,1.3,1.5,1.9,5.8,HOU,12,2022,K,31.0,1.0,1.0,100.0,28.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,62.1%,HOU,K
Matt Gay,1.2,1.3,1.7,5.3,WAS,12,2022,K,26.0,1.0,1.0,100.0,47.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,5.0,15.8%,WAS,K
Daniel Carlson,1.9,2.2,2.7,8.3,LV,13,2022,K,9.0,2.0,3.0,66.7,55.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,1.0,11.0,11.0,12.8%,LV,K
Cameron Dicker,1.8,2.0,2.8,8.1,LAC,13,2022,K,19.0,2.0,3.0,66.7,37.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,8.0,8.0,94.9%,LAC,K
Graham Gano,2.0,2.3,2.0,8.0,NYG,13,2022,K,16.0,2.0,3.0,66.7,48.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,9.0,9.0,1.0%,NYG,K
Harrison Butker,1.8,2.2,2.6,8.0,KC,13,2022,K,25.0,1.0,2.0,50.0,26.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,6.0,6.0,72.1%,KC,K
Nick Folk,2.0,2.4,2.0,7.9,NYJ,13,2022,K,30.0,1.0,2.0,50.0,39.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,0.9%,NYJ,K
Evan McPherson,1.7,1.9,2.7,7.7,CIN,13,2022,K,11.0,2.0,2.0,100.0,41.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,1.0,10.0,10.0,43.8%,CIN,K
