Player,FG_proj,FGA_proj,XPT_proj,FPTS_proj,Team_proj,Week,Year,Position_proj,Rank,FG_actual,FGA_actual,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT_actual,XPA,G,FPTS_actual,FPTS/G,ROST,Team_actual,Position_actual
Evan McPherson,1.7,2.0,2.0,7.1,CIN,2,2021,K,15.0,1.0,1.0,100.0,53.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,7.0,7.0,43.8%,CIN,K
Dustin Hopkins,1.6,2.0,2.1,6.9,CLE,2,2021,K,5.0,3.0,3.0,100.0,49.0,0.0,0.0,1.0,2.0,0.0,3.0,3.0,1.0,14.0,14.0,0.8%,CLE,K
Graham Gano,1.7,2.0,1.7,6.8,NYG,2,2021,K,1.0,5.0,5.0,100.0,55.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,22.0,22.0,1.0%,NYG,K
Younghoe Koo,1.6,1.9,1.9,6.8,ATL,2,2021,K,27.0,1.0,1.0,100.0,36.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,5.0,5.0,22.8%,ATL,K
Jake Elliott,1.5,1.8,2.1,6.7,PHI,2,2021,K,28.0,1.0,2.0,50.0,45.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,60.5%,PHI,K
Joey Slye,1.5,1.8,1.8,6.4,TEN,2,2021,K,29.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,3.0,0.8%,TEN,K
Harrison Butker,2.1,2.5,3.0,9.3,KC,3,2021,K,16.0,1.0,1.0,100.0,34.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,6.0,6.0,72.1%,KC,K
Brandon McManus,1.9,2.3,2.5,8.3,GB,3,2021,K,4.0,4.0,4.0,100.0,47.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,16.0,16.0,5.2%,GB,K
Daniel Carlson,1.9,2.2,2.6,8.2,LV,3,2021,K,6.0,3.0,3.0,100.0,50.0,0.0,1.0,1.0,0.0,1.0,2.0,3.0,1.0,13.0,13.0,12.8%,LV,K
Graham Gano,1.9,2.1,2.2,7.8,NYG,3,2021,K,17.0,2.0,2.0,100.0,31.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,1.0%,NYG,K
Jason Myers,1.6,1.9,2.9,7.8,SEA,3,2021,K,13.0,1.0,2.0,50.0,53.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,7.0,7.0,3.6%,SEA,K
Matt Gay,1.7,2.0,2.7,7.8,WAS,3,2021,K,10.0,2.0,2.0,100.0,48.0,0.0,1.0,0.0,1.0,0.0,4.0,4.0,1.0,11.0,11.0,15.8%,WAS,K
Chase McLaughlin,1.7,2.0,2.5,7.7,TB,3,2021,K,1.0,4.0,4.0,100.0,57.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,19.0,19.0,81.7%,TB,K
Younghoe Koo,1.8,2.1,2.2,7.7,ATL,3,2021,K,18.0,1.0,1.0,100.0,40.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,6.0,6.0,22.8%,ATL,K
Tyler Bass,1.7,2.1,2.6,7.6,BUF,3,2021,K,5.0,3.0,3.0,100.0,48.0,0.0,2.0,0.0,1.0,0.0,4.0,4.0,1.0,14.0,14.0,57.5%,BUF,K
Chris Boswell,1.6,1.8,2.4,7.3,PIT,3,2021,K,28.0,1.0,2.0,50.0,26.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,81.1%,PIT,K
Nick Folk,1.7,1.9,2.1,7.1,NYJ,3,2021,K,11.0,2.0,2.0,100.0,45.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,8.0,8.0,0.9%,NYJ,K
Evan McPherson,1.6,2.0,1.8,6.7,CIN,3,2021,K,15.0,1.0,1.0,100.0,43.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,1.0,7.0,7.0,43.8%,CIN,K
Jake Elliott,1.5,1.8,2.1,6.7,PHI,3,2021,K,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,3.0,60.5%,PHI,K
Jason Sanders,1.6,1.8,2.0,6.7,MIA,3,2021,K,8.0,2.0,3.0,66.7,50.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,11.0,11.0,42.0%,MIA,K
Dustin Hopkins,1.7,1.9,1.7,6.7,CLE,3,2021,K,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,3.0,0.8%,CLE,K
Joey Slye,1.6,1.9,1.8,6.6,TEN,3,2021,K,22.0,1.0,1.0,100.0,53.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,5.0,0.8%,TEN,K
Cairo Santos,1.5,1.7,2.0,6.4,CHI,3,2021,K,14.0,2.0,2.0,100.0,47.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,7.0,12.2%,CHI,K
Tyler Bass,1.8,2.2,3.1,8.6,BUF,4,2021,K,1.0,4.0,4.0,100.0,33.0,0.0,3.0,1.0,0.0,0.0,4.0,4.0,1.0,16.0,16.0,57.5%,BUF,K
Harrison Butker,1.7,1.9,3.0,8.2,KC,4,2021,K,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,6.0,6.0,72.1%,KC,K
Matt Gay,1.7,2.0,2.9,8.1,WAS,4,2021,K,9.0,2.0,3.0,66.7,42.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,9.0,9.0,15.8%,WAS,K
Jason Myers,1.8,2.1,2.7,8.1,SEA,4,2021,K,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,4.0,4.0,3.6%,SEA,K
