Player,RECEIVING_REC,RECEIVING_YDS,RECEIVING_TDS,RUSHING_ATT,RUSHING_YDS,RUSHING_TDS,MISC_FL,FPTS,Team,Week,Year,Position
Jakobi Meyers,5.0,56.9,0.2,0.0,0.4,0.0,0.0,12.0,LV,17,2021,wr
DeVonta Smith,4.1,59.3,0.3,0.0,0.0,0.0,0.0,11.9,PHI,17,2021,wr
Braxton Berrios,4.6,47.9,0.2,0.3,1.7,0.0,0.0,10.7,HOU,17,2021,wr
Courtland Sutton,4.0,54.7,0.2,0.0,0.0,0.0,0.0,10.6,DEN,17,2021,wr
Allen Lazard,3.2,42.1,0.4,0.3,1.6,0.0,0.0,10.2,NYJ,17,2021,wr
Kendrick Bourne,3.5,47.2,0.3,0.3,2.2,0.0,0.0,10.2,NE,17,2021,wr
Mike Evans,3.5,48.0,0.3,0.0,0.1,0.0,0.0,10.1,TB,17,2021,wr
Robbie Chosen,4.1,47.0,0.2,0.3,1.6,0.0,0.0,9.9,SF,17,2021,wr
Van Jefferson,3.3,46.6,0.3,0.2,1.3,0.0,0.0,9.8,TEN,17,2021,wr
Michael Gallup,3.5,47.5,0.3,0.0,0.1,0.0,0.0,9.7,WAS,17,2021,wr
K.J. Osborn,3.8,44.6,0.2,0.0,0.1,0.0,0.0,9.2,WAS,17,2021,wr
Brandon Aiyuk,3.4,42.5,0.2,0.3,1.5,0.0,0.0,9.2,SF,17,2021,wr
Laviska Shenault Jr.,3.8,38.0,0.1,0.8,5.3,0.0,0.0,9.0,BUF,17,2021,wr
Marquez Callaway,3.2,44.6,0.2,0.0,0.0,0.0,0.0,8.7,LV,17,2021,wr
Marquez Valdes-Scantling,2.7,43.8,0.2,0.0,0.1,0.0,0.0,8.5,SEA,17,2021,wr
Laquon Treadwell,3.6,42.3,0.1,0.0,0.0,0.0,0.0,8.4,IND,17,2021,wr
Donovan Peoples-Jones,2.8,43.6,0.2,0.0,0.0,0.0,0.0,8.4,NO,17,2021,wr
David Sills,3.5,35.1,0.2,0.0,0.0,0.0,0.0,8.1,ATL,17,2021,wr
Rashod Bateman,3.3,38.5,0.1,0.0,0.1,0.0,0.0,7.9,BAL,17,2021,wr
Nico Collins,3.2,37.7,0.1,0.0,0.1,0.0,0.0,7.8,HOU,17,2021,wr
Olamide Zaccheaus,2.8,37.1,0.2,0.0,0.3,0.0,0.0,7.5,CHI,17,2021,wr
Zay Jones,2.9,34.2,0.2,0.0,0.0,0.0,0.0,7.2,ARI,17,2021,wr
Quez Watkins,2.5,35.7,0.2,0.0,0.2,0.0,0.0,7.1,ARI,17,2021,wr
Zach Pascal,2.6,31.7,0.2,0.1,0.8,0.0,0.0,7.1,NYG,17,2021,wr
Jalen Reagor,2.3,30.1,0.1,0.2,1.3,0.0,0.0,6.3,LAC,17,2021,wr
Joshua Palmer,2.4,27.1,0.2,0.0,0.1,0.0,0.0,6.0,BUF,17,2021,wr
Nick Westbrook-Ikhine,2.4,27.3,0.1,0.0,0.0,0.0,0.0,5.9,MIA,17,2021,wr
Mecole Hardman Jr.,2.0,26.1,0.1,0.4,2.2,0.0,0.0,5.7,GB,17,2021,wr
D.J. Montgomery,2.4,25.6,0.1,0.0,0.0,0.0,0.0,5.6,IND,17,2021,wr
Ray-Ray McCloud III,2.3,22.8,0.1,0.3,1.5,0.0,0.0,5.4,ATL,17,2021,wr
Tom Kennedy,2.0,24.5,0.1,0.0,0.2,0.0,0.0,5.2,DET,17,2021,wr
DeAndre Carter,2.0,23.3,0.1,0.5,2.5,0.0,0.0,5.1,CLE,17,2021,wr
Lil'Jordan Humphrey,1.9,25.7,0.1,0.0,0.0,0.0,0.0,5.1,NYG,17,2021,wr
Tyler Johnson,2.1,23.1,0.1,0.0,0.2,0.0,0.0,5.0,NYJ,17,2021,wr
KhaDarel Hodge,1.7,22.5,0.1,0.0,0.2,0.0,0.0,4.6,ATL,17,2021,wr
Phillip Dorsett II,2.0,25.0,0.0,0.0,0.0,0.0,0.0,4.5,LV,17,2021,wr
Jauan Jennings,1.7,20.5,0.1,0.0,0.0,0.0,0.0,4.4,SF,17,2021,wr
Devin Duvernay,1.7,17.0,0.1,0.4,2.0,0.0,0.0,4.2,CHI,17,2021,wr
Dee Eskridge,1.5,17.0,0.1,0.3,1.7,0.0,0.0,3.9,MIA,17,2021,wr
Gunner Olszewski,1.2,16.9,0.1,0.3,2.0,0.0,0.0,3.8,NYG,17,2021,wr
Dez Fitzpatrick,1.5,17.0,0.1,0.0,0.1,0.0,0.0,3.7,LAC,17,2021,wr
Demarcus Robinson,1.4,16.7,0.1,0.0,0.1,0.0,0.0,3.7,SF,17,2021,wr
Alex Bachman,1.4,16.3,0.1,0.0,0.1,0.0,0.0,3.4,LV,17,2021,wr
Scotty Miller,1.2,14.2,0.1,0.1,0.5,0.0,0.0,3.3,PIT,17,2021,wr
Kristian Wilkerson,1.1,13.6,0.1,0.0,0.1,0.0,0.0,3.1,BUF,17,2021,wr
Cedrick Wilson Jr.,1.0,12.9,0.1,0.0,0.1,0.0,0.0,2.9,NO,17,2021,wr
Ihmir Smith-Marsette,1.2,13.4,0.1,0.0,0.1,0.0,0.0,2.9,NYG,17,2021,wr
Mack Hollins,1.2,13.8,0.0,0.0,0.0,0.0,0.0,2.8,NE,17,2021,wr
Dyami Brown,0.9,10.9,0.1,0.0,0.0,0.0,0.0,2.3,JAC,17,2021,wr
Terrace Marshall Jr.,1.0,11.1,0.0,0.0,0.0,0.0,0.0,2.3,PHI,17,2021,wr
Noah Brown,0.8,9.9,0.1,0.0,0.4,0.0,0.0,2.2,WAS,17,2021,wr
David Moore,0.8,10.1,0.0,0.0,0.5,0.0,0.0,2.1,CAR,17,2021,wr
Seth Williams,0.8,9.9,0.0,0.0,0.1,0.0,0.0,2.1,LV,17,2021,wr
Josh Reynolds,1.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,NYJ,17,2021,wr
Equanimeous St. Brown,0.7,8.5,0.0,0.1,0.3,0.0,0.0,1.9,SF,17,2021,wr
Ben Skowronek,0.6,7.8,0.0,0.0,0.2,0.0,0.0,1.7,PIT,17,2021,wr
Austin Trammell,0.7,8.0,0.0,0.0,0.0,0.0,0.0,1.5,JAC,17,2021,wr
Tylan Wallace,0.5,6.0,0.0,0.0,0.0,0.0,0.0,1.3,BAL,17,2021,wr
Trent Sherfield Sr.,0.3,4.1,0.0,0.0,0.0,0.0,0.0,0.8,DEN,17,2021,wr
Greg Dortch,0.3,3.0,0.0,0.0,0.0,0.0,0.0,0.6,ARI,17,2021,wr
Trent Taylor,0.3,2.6,0.0,0.0,0.1,0.0,0.0,0.6,SF,17,2021,wr
Cooper Kupp,8.1,106.0,0.8,0.3,1.6,0.0,0.0,23.7,SEA,18,2021,wr
Justin Jefferson,6.9,95.9,0.7,0.3,1.3,0.0,0.0,21.0,MIN,18,2021,wr
Tyreek Hill,6.4,81.9,0.7,0.6,3.4,0.0,0.0,18.9,MIA,18,2021,wr
Stefon Diggs,6.1,79.1,0.7,0.0,0.0,0.0,0.0,18.1,NE,18,2021,wr
A.J. Brown,5.8,82.9,0.7,0.0,0.4,0.0,0.0,18.1,PHI,18,2021,wr
Brandin Cooks,6.7,81.5,0.5,0.1,0.5,0.0,0.0,18.0,NO,18,2021,wr
Diontae Johnson,6.6,76.7,0.5,0.4,2.1,0.0,0.1,17.7,CLE,18,2021,wr
Deebo Samuel Sr.,5.1,75.2,0.3,3.6,22.2,0.2,0.1,17.6,WAS,18,2021,wr
Mike Evans,5.6,74.3,0.6,0.0,0.1,0.0,0.0,16.8,TB,18,2021,wr
Keenan Allen,6.2,69.8,0.6,0.0,0.1,0.0,0.0,16.6,LAC,18,2021,wr
Christian Kirk,5.9,73.4,0.5,0.0,0.3,0.0,0.0,16.4,HOU,18,2021,wr
Amon-Ra St. Brown,6.1,64.8,0.5,0.7,3.4,0.0,0.0,16.1,DET,18,2021,wr
Hunter Renfrow,6.0,67.8,0.5,0.1,0.6,0.0,0.1,15.9,CAR,18,2021,wr
Davante Adams,5.4,68.3,0.6,0.0,0.0,0.0,0.0,15.7,LAR,18,2021,wr
Jaylen Waddle,6.2,65.2,0.5,0.1,0.5,0.0,0.1,15.5,MIA,18,2021,wr
Tyler Lockett,5.1,69.4,0.5,0.0,0.1,0.0,0.0,15.3,TEN,18,2021,wr
Michael Pittman Jr.,5.2,66.1,0.5,0.4,2.2,0.0,0.0,15.1,IND,18,2021,wr
DK Metcalf,4.6,62.9,0.6,0.0,0.1,0.0,0.0,14.4,PIT,18,2021,wr
Terry McLaurin,5.0,63.7,0.5,0.0,0.1,0.0,0.0,14.1,WAS,18,2021,wr
DJ Moore,5.5,70.8,0.2,0.4,2.0,0.0,0.0,14.0,CHI,18,2021,wr
Darnell Mooney,4.6,59.4,0.4,0.4,2.4,0.0,0.0,13.5,ATL,18,2021,wr
Marquise Brown,5.3,59.6,0.3,0.0,0.1,0.0,0.1,12.8,KC,18,2021,wr
Ja'Marr Chase,4.3,62.9,0.3,0.3,2.1,0.0,0.0,12.5,CIN,18,2021,wr
CeeDee Lamb,4.1,54.5,0.4,0.2,1.3,0.0,0.0,12.3,DAL,18,2021,wr
Russell Gage Jr.,5.2,59.0,0.2,0.0,0.1,0.0,0.0,12.1,SF,18,2021,wr
Jakobi Meyers,5.1,55.7,0.2,0.0,0.1,0.0,0.0,11.6,LV,18,2021,wr
K.J. Osborn,3.9,49.1,0.5,0.0,0.0,0.0,0.0,11.6,WAS,18,2021,wr
Brandon Aiyuk,4.1,53.8,0.2,0.1,0.8,0.0,0.0,10.9,SF,18,2021,wr
Robbie Chosen,4.1,47.1,0.2,0.4,1.7,0.0,0.0,10.0,SF,18,2021,wr
Allen Lazard,3.6,46.4,0.3,0.1,0.9,0.0,0.0,9.9,NYJ,18,2021,wr
Courtland Sutton,3.7,49.6,0.2,0.0,0.0,0.0,0.0,9.6,DEN,18,2021,wr
Jerry Jeudy,3.8,49.6,0.1,0.0,0.0,0.0,0.0,9.6,CLE,18,2021,wr
Zay Jones,3.8,45.5,0.2,0.0,0.4,0.0,0.0,9.6,ARI,18,2021,wr
Laquon Treadwell,3.9,47.4,0.1,0.0,0.1,0.0,0.0,9.5,IND,18,2021,wr
Marquez Callaway,3.5,48.2,0.2,0.0,0.0,0.0,0.0,9.5,LV,18,2021,wr
DeVonta Smith,3.4,47.8,0.2,0.0,0.0,0.0,0.0,9.4,PHI,18,2021,wr
Cedrick Wilson Jr.,3.5,42.0,0.2,0.0,0.2,0.0,0.0,9.1,NO,18,2021,wr
Josh Reynolds,3.5,44.0,0.2,0.0,0.0,0.0,0.0,9.0,NYJ,18,2021,wr
Marquez Valdes-Scantling,3.0,46.3,0.2,0.1,0.4,0.0,0.0,9.0,SEA,18,2021,wr
Donovan Peoples-Jones,3.2,43.7,0.2,0.0,0.0,0.0,0.0,8.8,NO,18,2021,wr
Van Jefferson,3.2,41.8,0.2,0.1,0.4,0.0,0.0,8.8,TEN,18,2021,wr
Laviska Shenault Jr.,3.6,35.7,0.1,0.7,4.2,0.0,0.0,8.4,BUF,18,2021,wr
Nico Collins,3.4,39.6,0.2,0.0,0.1,0.0,0.0,8.3,HOU,18,2021,wr
Rashod Bateman,3.5,40.8,0.1,0.0,0.0,0.0,0.0,8.3,BAL,18,2021,wr
Kendrick Bourne,2.9,38.5,0.2,0.5,2.9,0.0,0.0,8.3,NE,18,2021,wr
Quez Watkins,2.9,39.6,0.2,0.0,0.0,0.0,0.0,7.8,ARI,18,2021,wr
Tim Patrick,3.1,38.9,0.1,0.0,0.0,0.0,0.0,7.8,DET,18,2021,wr
Darius Slayton,2.8,38.3,0.1,0.0,0.0,0.0,0.0,7.5,NYG,18,2021,wr
Tarik Black,3.2,33.0,0.1,0.0,0.0,0.0,0.0,7.1,MIA,18,2021,wr
Jalen Reagor,2.7,32.0,0.1,0.2,1.3,0.0,0.0,6.7,LAC,18,2021,wr
Ray-Ray McCloud III,3.1,29.0,0.1,0.1,0.6,0.0,0.0,6.6,ATL,18,2021,wr
David Sills,2.7,29.1,0.1,0.0,0.0,0.0,0.0,6.5,ATL,18,2021,wr
Tyler Johnson,2.5,29.3,0.1,0.0,0.1,0.0,0.0,6.1,NYJ,18,2021,wr
Olamide Zaccheaus,2.3,30.6,0.1,0.0,0.0,0.0,0.0,6.1,CHI,18,2021,wr
Kalif Raymond,2.3,28.6,0.1,0.0,0.0,0.0,0.0,6.0,DET,18,2021,wr
Zach Pascal,2.0,26.2,0.2,0.1,0.8,0.0,0.0,5.8,NYG,18,2021,wr
Joshua Palmer,1.9,22.7,0.1,0.0,0.1,0.0,0.0,4.9,BUF,18,2021,wr
Mecole Hardman Jr.,1.7,21.1,0.1,0.4,2.9,0.0,0.0,4.9,GB,18,2021,wr
Nick Westbrook-Ikhine,1.9,21.8,0.1,0.0,0.0,0.0,0.0,4.7,MIA,18,2021,wr
DeAndre Carter,1.7,19.4,0.1,0.7,3.9,0.0,0.0,4.6,CLE,18,2021,wr
Jauan Jennings,1.8,21.8,0.1,0.0,0.0,0.0,0.0,4.5,SF,18,2021,wr
Devin Duvernay,1.8,19.9,0.1,0.3,2.2,0.0,0.0,4.5,CHI,18,2021,wr
Noah Brown,1.8,19.7,0.1,0.0,0.0,0.0,0.0,4.4,WAS,18,2021,wr
Equanimeous St. Brown,1.5,19.0,0.1,0.1,0.7,0.0,0.0,4.1,SF,18,2021,wr
Trent Taylor,1.7,17.9,0.1,0.0,0.0,0.0,0.0,3.8,SF,18,2021,wr
Demarcus Robinson,1.3,16.3,0.1,0.0,0.0,0.0,0.0,3.5,SF,18,2021,wr
Keith Kirkwood,1.5,16.2,0.1,0.0,0.0,0.0,0.0,3.5,BAL,18,2021,wr
Dee Eskridge,1.3,14.6,0.1,0.3,1.6,0.0,0.0,3.4,MIA,18,2021,wr
Trenton Irwin,1.4,16.5,0.1,0.0,0.0,0.0,0.0,3.4,JAC,18,2021,wr
Lil'Jordan Humphrey,1.1,14.6,0.1,0.0,0.0,0.0,0.0,3.0,NYG,18,2021,wr
Collin Johnson,1.2,13.9,0.1,0.0,0.0,0.0,0.0,2.9,LV,18,2021,wr
Mack Hollins,1.1,15.4,0.0,0.0,0.0,0.0,0.0,2.9,NE,18,2021,wr
Chris Moore,1.2,13.3,0.0,0.0,0.0,0.0,0.0,2.8,WAS,18,2021,wr
Alex Bachman,1.1,13.9,0.1,0.0,0.0,0.0,0.0,2.8,LV,18,2021,wr
KhaDarel Hodge,1.0,13.4,0.1,0.0,0.0,0.0,0.0,2.8,ATL,18,2021,wr
Ben Skowronek,1.1,12.6,0.1,0.0,0.1,0.0,0.0,2.7,PIT,18,2021,wr
Seth Williams,1.0,11.4,0.1,0.0,0.2,0.0,0.0,2.6,LV,18,2021,wr
Ihmir Smith-Marsette,0.9,11.1,0.1,0.0,0.0,0.0,0.0,2.4,NYG,18,2021,wr
Kristian Wilkerson,0.9,10.5,0.1,0.0,0.0,0.0,0.0,2.4,BUF,18,2021,wr
D.J. Montgomery,0.9,10.7,0.0,0.0,0.0,0.0,0.0,2.2,IND,18,2021,wr
Dyami Brown,0.8,10.4,0.1,0.0,0.0,0.0,0.0,2.2,JAC,18,2021,wr
Scotty Miller,0.7,9.1,0.0,0.1,0.8,0.0,0.0,2.0,PIT,18,2021,wr
Ashton Dulin,0.7,8.2,0.0,0.1,0.8,0.0,0.0,1.8,IND,18,2021,wr
Trent Sherfield Sr.,0.6,7.5,0.0,0.0,0.0,0.0,0.0,1.6,DEN,18,2021,wr
Greg Dortch,0.6,7.5,0.0,0.0,0.0,0.0,0.0,1.5,ARI,18,2021,wr
Tom Kennedy,0.5,6.5,0.0,0.0,0.1,0.0,0.0,1.4,DET,18,2021,wr
Gunner Olszewski,0.3,3.5,0.0,0.3,1.5,0.0,0.0,1.0,NYG,18,2021,wr
Simi Fehoko,0.3,3.0,0.0,0.0,0.0,0.0,0.0,0.6,ARI,18,2021,wr
Tylan Wallace,0.3,3.0,0.0,0.0,0.0,0.0,0.0,0.6,BAL,18,2021,wr
Austin Trammell,0.2,3.0,0.0,0.0,0.0,0.0,0.0,0.5,JAC,18,2021,wr
Miles Boykin,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.2,CHI,18,2021,wr
Cooper Kupp,7.5,95.0,0.7,0.3,1.8,0.0,0.1,21.4,SEA,1,2022,wr
Davante Adams,7.1,87.0,0.5,0.0,0.0,0.0,0.1,18.9,LAR,1,2022,wr
Justin Jefferson,6.3,87.2,0.5,0.2,0.8,0.0,0.1,18.0,MIN,1,2022,wr
Ja'Marr Chase,5.3,80.6,0.6,0.5,3.0,0.0,0.0,17.1,CIN,1,2022,wr
Stefon Diggs,6.4,75.8,0.5,0.0,0.1,0.0,0.1,16.9,NE,1,2022,wr
Deebo Samuel Sr.,4.3,65.6,0.4,3.6,22.6,0.2,0.1,16.6,WAS,1,2022,wr
A.J. Brown,4.9,76.8,0.6,0.1,0.3,0.0,0.0,16.2,PHI,1,2022,wr
Tyreek Hill,5.6,70.0,0.5,0.5,3.5,0.0,0.1,15.9,MIA,1,2022,wr
CeeDee Lamb,5.6,73.3,0.4,0.5,2.8,0.0,0.1,15.7,DAL,1,2022,wr
Marquise Brown,5.7,69.5,0.5,0.1,0.4,0.0,0.1,15.4,KC,1,2022,wr
Mike Evans,4.9,69.2,0.6,0.0,0.1,0.0,0.0,15.3,TB,1,2022,wr
Brandin Cooks,5.8,70.2,0.4,0.2,1.0,0.0,0.1,15.1,NO,1,2022,wr
Diontae Johnson,6.2,67.4,0.4,0.3,1.6,0.0,0.1,15.1,CLE,1,2022,wr
Keenan Allen,5.9,62.9,0.5,0.0,0.0,0.0,0.1,14.9,LAC,1,2022,wr
Michael Pittman Jr.,5.4,69.6,0.4,0.3,1.9,0.0,0.1,14.8,IND,1,2022,wr
Tee Higgins,5.0,68.6,0.5,0.1,0.3,0.0,0.1,14.5,CIN,1,2022,wr
DJ Moore,5.0,67.3,0.3,0.4,2.2,0.0,0.0,14.0,CHI,1,2022,wr
Jaylen Waddle,5.5,58.2,0.4,0.2,1.1,0.0,0.1,13.7,MIA,1,2022,wr
DK Metcalf,4.7,63.9,0.4,0.0,0.1,0.0,0.0,13.5,PIT,1,2022,wr
Amon-Ra St. Brown,5.4,56.5,0.3,0.4,2.4,0.0,0.1,13.4,DET,1,2022,wr
Terry McLaurin,4.6,63.2,0.4,0.1,0.3,0.0,0.0,13.1,WAS,1,2022,wr
Adam Thielen,4.6,52.3,0.5,0.0,0.2,0.0,0.0,12.9,CAR,1,2022,wr
Hunter Renfrow,5.2,55.0,0.4,0.1,0.7,0.0,0.1,12.8,CAR,1,2022,wr
Robert Woods,4.7,55.1,0.3,0.7,4.6,0.0,0.1,12.8,PIT,1,2022,wr
Tyler Lockett,4.6,61.8,0.3,0.1,0.7,0.0,0.0,12.8,TEN,1,2022,wr
Jerry Jeudy,4.4,62.5,0.3,0.1,0.4,0.0,0.0,12.6,CLE,1,2022,wr
Courtland Sutton,4.2,61.5,0.4,0.0,0.0,0.0,0.0,12.6,DEN,1,2022,wr
Elijah Moore,4.4,57.8,0.3,0.3,2.3,0.0,0.0,12.6,BUF,1,2022,wr
Darnell Mooney,4.6,59.9,0.2,0.2,1.1,0.0,0.0,12.1,ATL,1,2022,wr
Christian Kirk,4.7,57.5,0.3,0.1,0.1,0.0,0.0,12.1,HOU,1,2022,wr
JuJu Smith-Schuster,4.6,46.6,0.4,0.2,1.4,0.0,0.0,11.8,KC,1,2022,wr
Rashod Bateman,4.4,55.3,0.3,0.0,0.0,0.0,0.0,11.8,BAL,1,2022,wr
DeVonta Smith,3.9,55.0,0.4,0.0,0.0,0.0,0.0,11.6,PHI,1,2022,wr
Russell Gage Jr.,4.5,50.0,0.3,0.0,0.1,0.0,0.0,11.4,SF,1,2022,wr
Chris Godwin,4.3,49.7,0.3,0.1,0.9,0.0,0.0,11.1,TB,1,2022,wr
Jakobi Meyers,4.8,49.9,0.2,0.0,0.2,0.0,0.1,10.9,LV,1,2022,wr
Brandon Aiyuk,3.6,51.1,0.3,0.2,1.2,0.0,0.0,10.7,SF,1,2022,wr
Mecole Hardman Jr.,3.5,41.9,0.3,0.6,5.1,0.0,0.0,9.9,GB,1,2022,wr
Marquez Valdes-Scantling,3.0,49.1,0.3,0.1,0.5,0.0,0.0,9.9,SEA,1,2022,wr
Drake London,3.7,48.6,0.2,0.0,0.3,0.0,0.0,9.8,ATL,1,2022,wr
Sterling Shepard,4.1,43.0,0.2,0.2,1.0,0.0,0.0,9.7,TB,1,2022,wr
Nico Collins,3.6,45.8,0.2,0.0,0.0,0.0,0.0,9.3,HOU,1,2022,wr
George Pickens,3.6,44.8,0.2,0.0,0.2,0.0,0.0,9.2,DAL,1,2022,wr
Robbie Chosen,3.4,39.9,0.3,0.2,1.4,0.0,0.0,9.1,SF,1,2022,wr
Chris Olave,3.6,49.3,0.3,0.0,0.4,0.0,0.0,10.0,NO,1,2022,wr
Jahan Dotson,3.1,40.8,0.3,0.0,0.3,0.0,0.0,8.6,PHI,1,2022,wr
DJ Chark Jr.,2.7,37.4,0.2,0.0,0.0,0.0,0.0,7.9,ATL,1,2022,wr
Kendrick Bourne,2.8,34.3,0.2,0.4,3.4,0.0,0.0,7.8,NE,1,2022,wr
Garrett Wilson,2.8,38.7,0.2,0.1,0.4,0.0,0.0,7.8,NYJ,1,2022,wr
Alec Pierce,2.7,36.3,0.2,0.0,0.4,0.0,0.0,7.8,IND,1,2022,wr
K.J. Osborn,2.8,34.4,0.3,0.0,0.1,0.0,0.0,7.7,WAS,1,2022,wr
KJ Hamler,2.7,34.7,0.2,0.2,1.4,0.0,0.0,7.7,BUF,1,2022,wr
Cedrick Wilson Jr.,2.8,33.7,0.2,0.1,0.1,0.0,0.0,7.6,NO,1,2022,wr
Curtis Samuel,2.5,27.5,0.1,1.3,9.5,0.1,0.0,7.5,BUF,1,2022,wr
Donovan Peoples-Jones,2.6,38.1,0.2,0.0,0.0,0.0,0.0,7.4,NO,1,2022,wr
Nick Westbrook-Ikhine,2.6,32.3,0.3,0.0,0.0,0.0,0.0,7.3,MIA,1,2022,wr
Treylon Burks,2.5,33.5,0.2,0.2,1.0,0.0,0.0,7.3,TEN,1,2022,wr
Braxton Berrios,2.9,29.7,0.1,0.4,2.5,0.0,0.0,7.2,HOU,1,2022,wr
Zay Jones,2.8,32.4,0.2,0.1,0.2,0.0,0.0,7.0,ARI,1,2022,wr
Joshua Palmer,2.6,28.3,0.3,0.0,0.2,0.0,0.0,6.9,BUF,1,2022,wr
Noah Brown,2.7,31.4,0.2,0.0,0.1,0.0,0.0,6.9,WAS,1,2022,wr
Christian Watson,2.4,31.7,0.2,0.1,0.7,0.0,0.0,6.7,GB,1,2022,wr
Skyy Moore,2.3,28.9,0.2,0.0,0.3,0.0,0.0,6.5,KC,1,2022,wr
Ben Skowronek,2.5,28.8,0.2,0.0,0.1,0.0,0.0,6.4,PIT,1,2022,wr
Romeo Doubs,2.2,28.8,0.2,0.1,0.5,0.0,0.0,6.2,GB,1,2022,wr
Josh Reynolds,2.2,28.1,0.1,0.0,0.0,0.0,0.0,5.8,NYJ,1,2022,wr
Wan'Dale Robinson,2.2,25.3,0.1,0.2,1.2,0.0,0.0,5.6,NYG,1,2022,wr
Olamide Zaccheaus,2.0,26.3,0.1,0.1,0.0,0.0,0.0,5.5,CHI,1,2022,wr
David Bell,2.0,24.8,0.1,0.0,0.3,0.0,0.0,5.2,CLE,1,2022,wr
Devin Duvernay,2.0,22.2,0.1,0.3,1.9,0.0,0.0,5.2,CHI,1,2022,wr
Jauan Jennings,1.8,21.0,0.2,0.0,0.0,0.0,0.0,5.0,SF,1,2022,wr
Quez Watkins,1.7,23.2,0.1,0.0,0.1,0.0,0.0,4.8,ARI,1,2022,wr
Phillip Dorsett II,1.7,20.5,0.1,0.0,0.2,0.0,0.0,4.6,LV,1,2022,wr
Quintez Cephus,1.5,19.7,0.1,0.0,0.0,0.0,0.0,4.3,HOU,1,2022,wr
Mack Hollins,1.4,19.3,0.2,0.0,0.0,0.0,0.0,4.3,NE,1,2022,wr
Dennis Houston,1.6,19.5,0.1,0.0,0.2,0.0,0.0,4.2,TB,1,2022,wr
Simi Fehoko,1.6,19.2,0.1,0.0,0.1,0.0,0.0,4.2,ARI,1,2022,wr
Demarcus Robinson,1.5,18.2,0.1,0.0,0.0,0.0,0.0,4.1,SF,1,2022,wr
Kalif Raymond,1.5,18.3,0.1,0.1,0.8,0.0,0.0,4.1,DET,1,2022,wr
Marquez Callaway,1.6,21.9,0.1,0.0,0.2,0.0,0.0,4.6,LV,1,2022,wr
Greg Dortch,1.5,16.5,0.1,0.2,1.2,0.0,0.0,3.9,ARI,1,2022,wr
KaVontae Turpin,1.4,16.5,0.1,0.1,0.7,0.0,0.0,3.7,DAL,1,2022,wr
Tutu Atwell,1.4,16.0,0.1,0.0,0.0,0.0,0.0,3.7,LAR,1,2022,wr
James Proche II,1.3,16.6,0.1,0.0,0.0,0.0,0.0,3.6,TEN,1,2022,wr
Equanimeous St. Brown,1.4,18.3,0.1,0.0,0.3,0.0,0.0,3.6,SF,1,2022,wr
Ray-Ray McCloud III,1.4,14.2,0.1,0.1,0.3,0.0,0.0,3.3,ATL,1,2022,wr
Jamal Agnew,1.1,11.7,0.1,0.4,3.0,0.0,0.0,3.0,ATL,1,2022,wr
Dee Eskridge,1.1,13.1,0.1,0.3,1.7,0.0,0.0,3.0,MIA,1,2022,wr
Ashton Dulin,0.9,12.3,0.1,0.1,1.3,0.0,0.0,2.9,IND,1,2022,wr
Chris Moore,1.2,12.2,0.1,0.0,0.0,0.0,0.0,2.8,WAS,1,2022,wr
Andre Baccellia,1.0,12.1,0.1,0.0,0.2,0.0,0.0,2.7,ARI,1,2022,wr
Miles Boykin,1.0,11.8,0.1,0.0,0.0,0.0,0.0,2.7,CHI,1,2022,wr
Dante Pettis,0.9,12.9,0.1,0.0,0.0,0.0,0.0,2.5,NO,1,2022,wr
Zach Pascal,0.9,11.9,0.1,0.1,0.3,0.0,0.0,2.5,NYG,1,2022,wr
Lil'Jordan Humphrey,0.9,10.3,0.1,0.0,0.0,0.0,0.0,2.4,NYG,1,2022,wr
Tylan Wallace,0.9,10.6,0.1,0.0,0.0,0.0,0.0,2.4,BAL,1,2022,wr
Terrace Marshall Jr.,0.9,10.9,0.1,0.0,0.0,0.0,0.0,2.4,PHI,1,2022,wr
Jalen Reagor,1.0,10.0,0.1,0.1,0.9,0.0,0.0,2.4,LAC,1,2022,wr
Montrell Washington,0.8,9.7,0.1,0.0,0.4,0.0,0.0,2.3,NYG,1,2022,wr
David Sills,0.8,9.1,0.0,0.0,0.0,0.0,0.0,1.9,ATL,1,2022,wr
DeAndre Carter,0.7,7.8,0.1,0.1,1.1,0.0,0.0,1.9,CLE,1,2022,wr
Juwan Johnson,0.8,6.9,0.0,0.0,0.1,0.0,0.0,1.8,NO,1,2022,wr
Ihmir Smith-Marsette,0.6,8.8,0.0,0.0,0.0,0.0,0.0,1.7,NYG,1,2022,wr
Demetric Felton Jr.,0.6,6.0,0.0,0.3,1.6,0.0,0.0,1.6,WAS,1,2022,wr
Kristian Wilkerson,0.6,6.7,0.0,0.0,0.0,0.0,0.0,1.5,BUF,1,2022,wr
KhaDarel Hodge,0.5,7.3,0.0,0.0,0.0,0.0,0.0,1.4,ATL,1,2022,wr
Dyami Brown,0.5,7.5,0.0,0.0,0.1,0.0,0.0,1.4,JAC,1,2022,wr
Justin Watson,0.4,5.5,0.1,0.0,0.0,0.0,0.0,1.3,HOU,1,2022,wr
Trent Sherfield Sr.,0.5,6.1,0.0,0.0,0.0,0.0,0.0,1.3,DEN,1,2022,wr
