Player,RECEIVING_REC,RECEIVING_YDS,RECEIVING_TDS,RUSHING_ATT,RUSHING_YDS,RUSHING_TDS,MISC_FL,FPTS,Team,Week,Year,Position
Demarcus Robinson,2.0,24.7,0.1,0.0,0.0,0.0,0.0,5.3,SF,1,2021,wr
Tim Patrick,2.0,25.9,0.1,0.0,0.0,0.0,0.0,5.3,DET,1,2021,wr
Quez Watkins,1.9,25.3,0.1,0.0,0.1,0.0,0.0,5.1,ARI,1,2021,wr
Dyami Brown,1.8,26.4,0.1,0.0,0.1,0.0,0.0,5.1,JAC,1,2021,wr
Dee Eskridge,2.0,23.2,0.1,0.1,0.4,0.0,0.0,5.0,MIA,1,2021,wr
Lil'Jordan Humphrey,1.8,23.4,0.1,0.1,0.9,0.0,0.0,4.8,NYG,1,2021,wr
Van Jefferson,1.8,21.6,0.1,0.1,0.2,0.0,0.0,4.8,TEN,1,2021,wr
Olamide Zaccheaus,1.7,23.6,0.1,0.0,0.1,0.0,0.0,4.7,CHI,1,2021,wr
Kalif Raymond,1.6,20.1,0.1,0.0,0.0,0.0,0.0,3.9,DET,1,2021,wr
Joshua Palmer,1.4,16.5,0.1,0.0,0.3,0.0,0.0,3.6,BUF,1,2021,wr
Scotty Miller,1.2,16.4,0.1,0.2,1.1,0.0,0.0,3.4,PIT,1,2021,wr
Braxton Berrios,1.3,13.8,0.1,0.1,0.7,0.0,0.0,3.4,HOU,1,2021,wr
Juwan Johnson,1.2,15.2,0.1,0.0,0.0,0.0,0.0,3.3,NO,1,2021,wr
Devin Duvernay,1.2,16.2,0.1,0.1,0.8,0.0,0.0,3.3,CHI,1,2021,wr
Ihmir Smith-Marsette,1.0,12.0,0.1,0.0,0.1,0.0,0.0,2.7,NYG,1,2021,wr
Tylan Wallace,1.0,11.5,0.1,0.0,0.2,0.0,0.0,2.6,BAL,1,2021,wr
Jamal Agnew,0.7,8.4,0.1,0.4,2.1,0.0,0.0,2.1,ATL,1,2021,wr
K.J. Osborn,0.7,10.4,0.1,0.0,0.2,0.0,0.0,2.0,WAS,1,2021,wr
Jauan Jennings,0.7,8.2,0.1,0.0,0.2,0.0,0.0,2.0,SF,1,2021,wr
Tutu Atwell,0.7,8.5,0.1,0.0,0.1,0.0,0.0,1.9,LAR,1,2021,wr
Demetric Felton Jr.,0.6,4.3,0.0,0.0,5.2,0.0,0.0,1.9,WAS,1,2021,wr
Collin Johnson,0.8,8.6,0.0,0.0,0.0,0.0,0.0,1.8,LV,1,2021,wr
Cedrick Wilson Jr.,0.7,7.9,0.0,0.0,0.1,0.0,0.0,1.8,NO,1,2021,wr
Chris Moore,0.6,7.3,0.0,0.0,0.0,0.0,0.0,1.6,WAS,1,2021,wr
Phillip Dorsett II,0.6,6.8,0.0,0.0,0.0,0.0,0.0,1.5,LV,1,2021,wr
Trent Sherfield Sr.,0.6,7.6,0.0,0.0,0.0,0.0,0.0,1.5,DEN,1,2021,wr
Zay Jones,0.5,5.6,0.0,0.0,0.0,0.0,0.0,1.3,ARI,1,2021,wr
Simi Fehoko,0.5,6.0,0.0,0.0,0.1,0.0,0.0,1.3,ARI,1,2021,wr
Gunner Olszewski,0.4,5.0,0.0,0.2,0.9,0.0,0.0,1.1,NYG,1,2021,wr
Michael Strachan,0.4,5.6,0.0,0.0,0.1,0.0,0.0,1.1,WAS,1,2021,wr
Nick Westbrook-Ikhine,0.4,4.9,0.0,0.0,0.0,0.0,0.0,1.1,MIA,1,2021,wr
Ray-Ray McCloud III,0.5,4.3,0.0,0.1,0.6,0.0,0.0,1.0,ATL,1,2021,wr
Steven Sims Jr.,0.3,4.3,0.0,0.0,0.0,0.0,0.0,0.9,SEA,1,2021,wr
Tyler Johnson,0.3,4.4,0.0,0.0,0.0,0.0,0.0,0.9,NYJ,1,2021,wr
James Proche II,0.4,4.3,0.0,0.0,0.1,0.0,0.0,0.9,TEN,1,2021,wr
KhaDarel Hodge,0.4,4.5,0.0,0.0,0.0,0.0,0.0,0.8,ATL,1,2021,wr
DeAndre Carter,0.3,4.0,0.0,0.0,0.3,0.0,0.0,0.8,CLE,1,2021,wr
Mack Hollins,0.3,3.9,0.0,0.0,0.0,0.0,0.0,0.7,NE,1,2021,wr
Greg Dortch,0.2,2.8,0.0,0.0,0.0,0.0,0.0,0.6,ARI,1,2021,wr
Tom Kennedy,0.3,3.0,0.0,0.0,0.0,0.0,0.0,0.6,DET,1,2021,wr
Trent Taylor,0.2,2.5,0.0,0.0,0.0,0.0,0.0,0.6,SF,1,2021,wr
Ashton Dulin,0.2,3.0,0.0,0.1,0.3,0.0,0.0,0.6,IND,1,2021,wr
Malik Taylor,0.2,2.9,0.0,0.1,0.3,0.0,0.0,0.5,DET,1,2021,wr
Equanimeous St. Brown,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.2,SF,1,2021,wr
Trenton Irwin,0.1,0.6,0.0,0.0,0.0,0.0,0.0,0.1,JAC,1,2021,wr
Lawrence Cager,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.1,WAS,1,2021,wr
Laquon Treadwell,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.1,IND,1,2021,wr
Dante Pettis,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.1,NO,1,2021,wr
David Moore,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.1,CAR,1,2021,wr
Keith Kirkwood,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.1,BAL,1,2021,wr
Seth Williams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LV,1,2021,wr
Ben Skowronek,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PIT,1,2021,wr
Davante Adams,7.3,97.2,0.9,0.0,0.0,0.0,0.1,22.2,LAR,2,2021,wr
Tyreek Hill,6.9,96.8,0.8,0.8,4.9,0.0,0.1,21.9,MIA,2,2021,wr
DeAndre Hopkins,7.2,91.0,0.8,0.0,0.3,0.0,0.1,20.9,BAL,2,2021,wr
Stefon Diggs,7.0,93.7,0.7,0.1,0.4,0.0,0.1,20.4,NE,2,2021,wr
Calvin Ridley,6.6,91.9,0.6,0.3,0.9,0.0,0.1,19.6,TEN,2,2021,wr
A.J. Brown,6.0,88.0,0.7,0.1,0.7,0.0,0.0,19.3,PHI,2,2021,wr
Keenan Allen,7.0,82.3,0.6,0.1,0.8,0.0,0.1,19.1,LAC,2,2021,wr
DK Metcalf,5.8,87.3,0.8,0.0,0.2,0.0,0.1,19.0,PIT,2,2021,wr
Justin Jefferson,6.1,87.0,0.6,0.1,0.2,0.0,0.1,18.2,MIN,2,2021,wr
Tyler Lockett,6.0,75.3,0.7,0.1,0.3,0.0,0.1,17.6,TEN,2,2021,wr
CeeDee Lamb,5.7,75.3,0.6,0.5,3.2,0.0,0.1,17.1,DAL,2,2021,wr
Diontae Johnson,6.3,70.2,0.6,0.3,1.5,0.0,0.1,17.0,CLE,2,2021,wr
Cooper Kupp,5.9,74.4,0.6,0.2,0.8,0.0,0.1,16.9,SEA,2,2021,wr
Deebo Samuel Sr.,5.4,73.4,0.5,1.0,7.7,0.0,0.1,16.5,WAS,2,2021,wr
Chris Godwin,5.5,73.2,0.6,0.0,0.2,0.0,0.1,16.4,TB,2,2021,wr
Adam Thielen,5.4,67.7,0.6,0.1,0.7,0.0,0.1,15.9,CAR,2,2021,wr
Terry McLaurin,5.5,74.3,0.5,0.1,0.6,0.0,0.0,15.8,WAS,2,2021,wr
Tee Higgins,5.2,71.8,0.6,0.1,0.8,0.0,0.1,15.7,CIN,2,2021,wr
Mike Evans,4.6,68.4,0.7,0.0,0.0,0.0,0.0,15.4,TB,2,2021,wr
Brandin Cooks,5.0,70.8,0.4,0.1,0.3,0.0,0.0,14.6,NO,2,2021,wr
DJ Moore,4.8,68.2,0.4,0.3,1.6,0.0,0.0,14.3,CHI,2,2021,wr
Jakobi Meyers,5.3,64.7,0.4,0.1,0.5,0.0,0.0,14.2,LV,2,2021,wr
Ja'Marr Chase,4.7,64.0,0.5,0.2,0.8,0.0,0.0,14.1,CIN,2,2021,wr
Marquise Brown,4.5,59.4,0.6,0.1,0.7,0.0,0.0,14.0,KC,2,2021,wr
Sterling Shepard,5.6,59.8,0.4,0.4,2.7,0.0,0.1,14.0,TB,2,2021,wr
Robert Woods,5.1,60.5,0.3,1.2,6.6,0.1,0.0,13.9,PIT,2,2021,wr
JuJu Smith-Schuster,5.5,60.9,0.4,0.0,0.0,0.0,0.1,13.8,KC,2,2021,wr
Laviska Shenault Jr.,5.0,54.3,0.4,1.2,6.3,0.0,0.0,13.8,BUF,2,2021,wr
DeVonta Smith,4.4,58.5,0.5,0.1,0.7,0.0,0.0,13.3,PHI,2,2021,wr
Robbie Chosen,4.6,58.5,0.4,0.2,1.0,0.0,0.0,13.1,SF,2,2021,wr
Courtland Sutton,4.1,59.8,0.3,0.1,0.7,0.0,0.0,12.2,DEN,2,2021,wr
Jaylen Waddle,4.4,57.9,0.3,0.2,1.3,0.0,0.0,12.1,MIA,2,2021,wr
Marquez Callaway,4.1,52.9,0.4,0.1,0.7,0.0,0.0,11.9,LV,2,2021,wr
DJ Chark Jr.,4.2,57.0,0.3,0.0,0.3,0.0,0.0,11.7,ATL,2,2021,wr
Michael Pittman Jr.,4.2,50.5,0.2,0.2,1.2,0.0,0.0,10.8,IND,2,2021,wr
Darnell Mooney,4.2,47.3,0.3,0.2,1.1,0.0,0.0,10.7,ATL,2,2021,wr
Christian Kirk,3.7,44.1,0.3,0.3,1.7,0.0,0.0,10.3,HOU,2,2021,wr
