Player,RECEIVING_REC_proj,RECEIVING_YDS_proj,RECEIVING_TDS,RUSHING_ATT_proj,RUSHING_YDS_proj,RUSHING_TDS,MISC_FL_proj,FPTS_proj,Team_proj,Week,Year,Position_proj,Unnamed: 0_level_0_Rank,RECEIVING_REC_actual,RECEIVING_TGT,RECEIVING_YDS_actual,RECEIVING_Y/R,RECEIVING_LG,RECEIVING_20+,RECEIVING_TD,RUSHING_ATT_actual,RUSHING_YDS_actual,RUSHING_TD,MISC_FL_actual,MISC_G,FPTS_actual,MISC_FPTS/G,MISC_ROST,Team_actual,Position_actual
Brandin Cooks,4.9,67.4,0.4,0.1,0.3,0.0,0.0,13.9,NO,1,2021,WR,23.0,5.0,7.0,132.0,26.4,52.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,18.2,18.2,4.8%,NO,WR
JuJu Smith-Schuster,5.3,55.8,0.5,0.0,0.0,0.0,0.0,13.9,KC,1,2021,WR,64.0,4.0,8.0,52.0,13.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.2,9.2,1.5%,KC,WR
Brandon Aiyuk,4.7,64.6,0.3,0.8,4.7,0.0,0.0,13.5,SF,1,2021,WR,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,55.5%,SF,WR
Jakobi Meyers,4.6,59.0,0.4,0.1,0.2,0.0,0.0,12.9,LV,1,2021,WR,55.0,6.0,9.0,44.0,7.3,22.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.4,10.4,82.3%,LV,WR
Jerry Jeudy,4.6,62.5,0.3,0.0,0.0,0.0,0.0,12.9,CLE,1,2021,WR,40.0,6.0,7.0,72.0,12.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,13.2,13.2,87.5%,CLE,WR
Michael Pittman Jr.,4.4,55.3,0.4,0.2,1.2,0.0,0.0,12.7,IND,1,2021,WR,77.0,3.0,4.0,29.0,9.7,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.9,5.9,65.1%,IND,WR
Marquise Brown,4.2,55.2,0.5,0.1,0.9,0.0,0.0,12.6,KC,1,2021,WR,18.0,6.0,6.0,69.0,11.5,29.0,1.0,1.0,1.0,5.0,0.0,0.0,1.0,19.4,19.4,35.7%,KC,WR
DJ Chark Jr.,4.3,58.1,0.4,0.0,0.3,0.0,0.0,12.5,ATL,1,2021,WR,24.0,3.0,12.0,86.0,28.7,41.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,17.6,17.6,0.7%,ATL,WR
DeVonta Smith,4.2,59.7,0.4,0.1,0.7,0.0,0.0,12.4,PHI,1,2021,WR,19.0,6.0,8.0,71.0,11.8,19.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,19.1,19.1,93.3%,PHI,WR
Sterling Shepard,4.9,51.3,0.3,0.3,2.2,0.0,0.0,12.1,TB,1,2021,WR,8.0,7.0,9.0,113.0,16.1,37.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,24.3,24.3,1.0%,TB,WR
