Player,RUSHING_ATT_proj,RUSHING_YDS_proj,RUSHING_TDS,RECEIVING_REC_proj,RECEIVING_YDS_proj,RECEIVING_TDS,MISC_FL_proj,FPTS_proj,Team_proj,Week,Year,Position_proj,Unnamed: 0_level_0_Rank,RUSHING_ATT_actual,RUSHING_YDS_actual,RUSHING_Y/A,RUSHING_LG,RUSHING_20+,RUSHING_TD,RECEIVING_REC_actual,RECEIVING_TGT,RECEIVING_YDS_actual,RECEIVING_Y/R,RECEIVING_TD,MISC_FL_actual,MISC_G,FPTS_actual,MISC_FPTS/G,MISC_ROST,Team_actual,Position_actual
Nyheim Miller-Hines,4.0,16.1,0.1,3.2,25.1,0.1,0.0,8.2,LAC,1,2021,RB,19.0,9.0,34.0,3.8,8.0,0.0,0.0,6.0,8.0,48.0,8.0,0.0,0.0,1.0,14.2,14.2,0.0%,LAC,RB
Ty Johnson,6.8,28.9,0.1,1.6,11.2,0.0,0.1,6.5,BUF,1,2021,RB,55.0,4.0,15.0,3.8,12.0,0.0,0.0,1.0,3.0,11.0,11.0,0.0,0.0,1.0,3.6,3.6,2.8%,BUF,RB
Tony Pollard,5.4,22.4,0.1,1.8,12.8,0.1,0.0,6.2,TEN,1,2021,RB,39.0,3.0,14.0,4.7,11.0,0.0,0.0,4.0,4.0,29.0,7.3,0.0,0.0,1.0,8.3,8.3,86.7%,TEN,RB
Michael Carter,6.5,25.1,0.1,1.4,10.2,0.0,0.1,5.8,ARI,1,2021,RB,59.0,4.0,6.0,1.5,2.0,0.0,0.0,1.0,2.0,14.0,14.0,0.0,0.0,1.0,3.0,3.0,1.1%,ARI,RB
A.J. Dillon,8.8,35.4,0.2,0.7,5.5,0.0,0.1,5.7,PHI,1,2021,RB,56.0,4.0,19.0,4.8,6.0,0.0,0.0,1.0,2.0,7.0,7.0,0.0,0.0,1.0,3.6,3.6,3.2%,PHI,RB
JaMycal Hasty,6.1,26.9,0.2,0.9,7.1,0.0,0.1,5.3,NE,1,2021,RB,35.0,1.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,15.0,15.0,0.0,0.0,1.0,8.8,8.8,1.1%,NE,RB
Alexander Mattison,6.2,26.7,0.1,0.8,7.0,0.1,0.0,5.1,MIA,1,2021,RB,71.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,1.0,1.6,1.6,2.4%,MIA,RB
Rhamondre Stevenson,7.4,27.9,0.2,0.4,3.9,0.0,0.0,4.5,NE,1,2021,RB,86.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,9.0,9.0,0.0,1.0,1.0,0.1,0.1,74.2%,NE,RB
Kyle Juszczyk,0.9,3.2,0.0,1.5,16.4,0.1,0.0,4.4,SF,1,2021,RB,68.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,7.0,0.0,0.0,1.0,1.7,1.7,0.8%,SF,RB
Samaje Perine,4.0,17.5,0.1,0.8,5.4,0.0,0.0,3.8,CIN,1,2021,RB,52.0,5.0,22.0,4.4,13.0,0.0,0.0,1.0,1.0,7.0,7.0,0.0,0.0,1.0,3.9,3.9,2.5%,CIN,RB
Salvon Ahmed,3.6,16.2,0.1,0.7,6.0,0.0,0.0,3.6,IND,1,2021,RB,50.0,3.0,4.0,1.3,8.0,0.0,0.0,2.0,3.0,24.0,12.0,0.0,0.0,1.0,4.8,4.8,0.0%,IND,RB
DeeJay Dallas,2.6,8.5,0.1,1.1,8.4,0.1,0.0,3.5,ARI,1,2021,RB,66.0,1.0,5.0,5.0,5.0,0.0,0.0,1.0,1.0,5.0,5.0,0.0,0.0,1.0,2.0,2.0,0.1%,ARI,RB
Elijah Mitchell,3.2,14.6,0.1,0.5,5.2,0.0,0.0,3.2,KC,1,2021,RB,15.0,19.0,104.0,5.5,38.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.4,16.4,4.3%,KC,RB
Jeremy McNichols,3.3,11.6,0.1,0.8,6.4,0.0,0.0,3.1,WAS,1,2021,RB,42.0,2.0,9.0,4.5,8.0,0.0,0.0,3.0,4.0,24.0,8.0,0.0,0.0,1.0,6.3,6.3,0.7%,WAS,RB
Chuba Hubbard,3.7,13.2,0.1,0.5,4.5,0.0,0.0,3.0,CAR,1,2021,RB,63.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,0.0,0.0,1.0,2.4,2.4,95.4%,CAR,RB
Kenneth Gainwell,2.7,11.5,0.1,0.5,4.0,0.0,0.0,2.5,PIT,1,2021,RB,22.0,9.0,37.0,4.1,8.0,0.0,1.0,2.0,3.0,6.0,3.0,0.0,0.0,1.0,12.3,12.3,1.6%,PIT,RB
Jaret Patterson,2.5,10.5,0.1,0.3,2.2,0.0,0.0,2.0,LAC,1,2021,RB,75.0,2.0,9.0,4.5,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9,0.9,0.0%,LAC,RB
Dare Ogunbowale,0.4,4.1,0.0,0.7,6.4,0.0,0.0,2.0,HOU,1,2021,RB,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7%,HOU,RB
Travis Homer,1.7,6.4,0.0,0.5,4.5,0.0,0.0,2.0,CHI,1,2021,RB,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6%,CHI,RB
C.J. Ham,0.4,0.9,0.0,0.7,6.8,0.0,0.0,1.8,MIN,1,2021,RB,60.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,9.0,4.5,0.0,0.0,1.0,2.9,2.9,0.6%,MIN,RB
Gary Brightwell,1.7,7.5,0.1,0.3,2.9,0.0,0.0,1.8,CIN,1,2021,RB,69.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,6.0,0.0,0.0,1.0,1.6,1.6,0.0%,CIN,RB
Patrick Ricard,0.1,0.1,0.0,0.8,5.6,0.1,0.0,1.7,BAL,1,2021,RB,57.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,15.0,7.5,0.0,0.0,1.0,3.5,3.5,0.8%,BAL,RB
Darrynton Evans,1.3,5.0,0.0,0.4,3.5,0.1,0.0,1.5,BUF,1,2021,RB,,,,,,,,,,,,,,,,,,,
Alec Ingold,0.3,0.7,0.0,0.5,4.6,0.0,0.0,1.3,MIA,1,2021,RB,44.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,22.0,5.5,0.0,0.0,1.0,6.2,6.2,0.6%,MIA,RB
Trayveon Williams,0.9,3.7,0.0,0.2,1.6,0.0,0.0,0.9,CLE,1,2021,RB,,,,,,,,,,,,,,,,,,,
Jonathan Ward,0.7,2.6,0.0,0.2,1.7,0.0,0.0,0.8,NYG,1,2021,RB,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0%,NYG,RB
Jakob Johnson,0.0,0.1,0.0,0.3,2.5,0.0,0.0,0.8,HOU,1,2021,RB,,,,,,,,,,,,,,,,,,,
Ameer Abdullah,0.1,2.8,0.0,0.2,1.4,0.0,0.0,0.7,SF,1,2021,RB,53.0,1.0,4.0,4.0,4.0,0.0,0.0,2.0,2.0,15.0,7.5,0.0,0.0,1.0,3.9,3.9,0.6%,SF,RB
D'Ernest Johnson,0.8,3.5,0.0,0.1,1.1,0.0,0.0,0.7,BAL,1,2021,RB,,,,,,,,,,,,,,,,,,,
Demetric Felton Jr.,0.5,2.9,0.0,0.1,0.8,0.0,0.0,0.6,WAS,1,2021,RB,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0%,WAS,RB
Michael Burton,0.2,0.8,0.0,0.2,1.9,0.0,0.0,0.6,DEN,1,2021,RB,85.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.2,0.1%,DEN,RB
Kene Nwangwu,0.2,1.0,0.0,0.2,2.5,0.0,0.0,0.6,NYJ,1,2021,RB,,,,,,,,,,,,,,,,,,,
Khalil Herbert,0.1,1.7,0.0,0.2,1.1,0.0,0.0,0.5,IND,1,2021,RB,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.4%,IND,RB
Nick Bellore,0.1,0.2,0.0,0.1,1.2,0.0,0.0,0.3,WAS,1,2021,RB,,,,,,,,,,,,,,,,,,,
Reggie Gilliam,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.2,BUF,1,2021,RB,,,,,,,,,,,,,,,,,,,
Jermar Jefferson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TEN,1,2021,RB,,,,,,,,,,,,,,,,,,,
J.J. Taylor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOU,1,2021,RB,,,,,,,,,,,,,,,,,,,
Patrick Taylor Jr.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SF,1,2021,RB,,,,,,,,,,,,,,,,,,,
Giovanni Ricci,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIN,1,2021,RB,,,,,,,,,,,,,,,,,,,
Christian McCaffrey,18.7,77.5,0.7,5.7,45.3,0.2,0.1,22.9,SF,2,2021,RB,3.0,24.0,72.0,3.0,16.0,0.0,1.0,5.0,6.0,65.0,13.0,0.0,0.0,1.0,24.7,24.7,99.2%,SF,RB
Alvin Kamara,15.8,73.8,0.7,5.3,45.4,0.3,0.1,22.9,NO,2,2021,RB,39.0,8.0,5.0,0.6,5.0,0.0,0.0,4.0,6.0,25.0,6.3,0.0,0.0,1.0,7.0,7.0,96.2%,NO,RB
Aaron Jones Sr.,15.1,76.4,0.8,3.5,30.1,0.2,0.1,19.7,MIN,2,2021,RB,2.0,17.0,67.0,3.9,9.0,0.0,1.0,6.0,6.0,48.0,8.0,3.0,0.0,1.0,41.5,41.5,88.4%,MIN,RB
Austin Ekeler,13.5,58.4,0.5,5.0,40.2,0.3,0.1,19.5,WAS,2,2021,RB,6.0,9.0,54.0,6.0,20.0,1.0,0.0,9.0,9.0,61.0,6.8,0.0,0.0,1.0,22.5,22.5,53.3%,WAS,RB
Nick Chubb,19.6,100.1,1.0,1.7,14.7,0.1,0.1,19.3,HOU,2,2021,RB,13.0,11.0,95.0,8.6,26.0,2.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,1.0,16.8,16.8,38.9%,HOU,RB
Derrick Henry,21.8,101.4,0.8,1.8,14.6,0.1,0.1,18.4,BAL,2,2021,RB,1.0,35.0,182.0,5.2,60.0,1.0,3.0,6.0,6.0,55.0,9.2,0.0,0.0,1.0,47.7,47.7,99.4%,BAL,RB
Najee Harris,18.7,79.2,0.7,3.0,25.1,0.1,0.2,18.1,LAC,2,2021,RB,8.0,10.0,38.0,3.8,14.0,0.0,0.0,5.0,5.0,43.0,8.6,1.0,0.0,1.0,19.1,19.1,59.0%,LAC,RB
Antonio Gibson,18.6,76.1,0.7,3.1,22.8,0.1,0.1,17.4,NE,2,2021,RB,31.0,13.0,69.0,5.3,14.0,0.0,0.0,2.0,2.0,4.0,2.0,0.0,0.0,1.0,9.3,9.3,3.5%,NE,RB
D'Andre Swift,11.8,51.3,0.5,4.5,39.4,0.2,0.1,17.4,CHI,2,2021,RB,21.0,8.0,37.0,4.6,12.0,0.0,0.0,4.0,5.0,41.0,10.3,0.0,0.0,1.0,11.8,11.8,88.9%,CHI,RB
Joe Mixon,17.7,71.0,0.5,3.5,25.7,0.1,0.1,16.8,HOU,2,2021,RB,36.0,20.0,69.0,3.5,10.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,8.1,8.1,92.1%,HOU,RB
David Montgomery,17.8,75.8,0.6,2.8,21.1,0.1,0.1,16.8,DET,2,2021,RB,24.0,20.0,61.0,3.1,11.0,0.0,0.0,3.0,4.0,18.0,6.0,0.0,0.0,1.0,10.9,10.9,93.1%,DET,RB
Jonathan Taylor,15.7,66.5,0.6,2.8,23.2,0.1,0.1,15.7,IND,2,2021,RB,43.0,15.0,51.0,3.4,13.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,6.3,6.3,99.0%,IND,RB
Miles Sanders,13.6,60.9,0.5,2.8,23.5,0.1,0.1,14.6,DAL,2,2021,RB,40.0,13.0,55.0,4.2,10.0,0.0,0.0,1.0,2.0,4.0,4.0,0.0,0.0,1.0,6.9,6.9,8.2%,DAL,RB
Clyde Edwards-Helaire,14.1,57.4,0.3,3.2,25.8,0.1,0.1,14.0,NO,2,2021,RB,62.0,13.0,46.0,3.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.6,2.6,0.8%,NO,RB
Myles Gaskin,12.0,53.0,0.3,3.4,26.7,0.1,0.1,13.9,BAL,2,2021,RB,34.0,5.0,25.0,5.0,18.0,0.0,0.0,4.0,5.0,21.0,5.3,0.0,0.0,1.0,8.6,8.6,0.0%,BAL,RB
Saquon Barkley,12.7,55.7,0.4,2.8,21.2,0.1,0.1,13.6,PHI,2,2021,RB,33.0,13.0,57.0,4.4,41.0,1.0,0.0,2.0,3.0,12.0,6.0,0.0,0.0,1.0,8.9,8.9,99.5%,PHI,RB
Kareem Hunt,9.5,42.9,0.6,2.6,23.7,0.2,0.1,13.5,KC,2,2021,RB,44.0,13.0,51.0,3.9,13.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,6.3,6.3,19.6%,KC,RB
Elijah Mitchell,15.4,69.6,0.6,1.1,10.0,0.0,0.1,12.7,KC,2,2021,RB,37.0,17.0,42.0,2.5,10.0,0.0,0.0,2.0,2.0,11.0,5.5,0.0,0.0,1.0,7.3,7.3,4.3%,KC,RB
Javonte Williams,12.9,52.0,0.4,1.4,12.1,0.1,0.1,10.7,DAL,2,2021,RB,35.0,13.0,64.0,4.9,16.0,0.0,0.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,8.4,8.4,70.2%,DAL,RB
Nyheim Miller-Hines,5.7,21.8,0.1,3.8,28.1,0.1,0.1,10.3,LAC,2,2021,RB,59.0,1.0,5.0,5.0,5.0,0.0,0.0,1.0,2.0,17.0,17.0,0.0,0.0,1.0,3.2,3.2,0.0%,LAC,RB
Devin Singletary,12.3,47.7,0.2,2.3,16.3,0.1,0.1,10.1,NYG,2,2021,RB,12.0,13.0,82.0,6.3,46.0,1.0,1.0,2.0,3.0,9.0,4.5,0.0,0.0,1.0,17.1,17.1,3.2%,NYG,RB
James Conner,11.0,46.2,0.3,1.4,10.5,0.0,0.1,8.8,ARI,2,2021,RB,61.0,8.0,26.0,3.3,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.6,2.6,93.6%,ARI,RB
Tony Pollard,5.5,24.8,0.2,1.8,13.8,0.1,0.0,6.9,TEN,2,2021,RB,5.0,13.0,109.0,8.4,28.0,2.0,1.0,3.0,3.0,31.0,10.3,0.0,0.0,1.0,23.0,23.0,86.7%,TEN,RB
A.J. Dillon,8.9,39.2,0.3,0.6,5.9,0.0,0.1,6.7,PHI,2,2021,RB,55.0,5.0,18.0,3.6,8.0,0.0,0.0,1.0,1.0,8.0,8.0,0.0,0.0,1.0,3.6,3.6,3.2%,PHI,RB
Ty Johnson,5.4,23.5,0.1,1.8,13.6,0.1,0.1,6.3,BUF,2,2021,RB,49.0,12.0,50.0,4.2,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,2.8%,BUF,RB
Kenneth Gainwell,6.1,23.0,0.2,1.4,11.5,0.1,0.0,6.1,PIT,2,2021,RB,38.0,6.0,14.0,2.3,6.0,0.0,0.0,2.0,3.0,18.0,9.0,0.0,0.0,1.0,7.2,7.2,1.6%,PIT,RB
