Player,RUSHING_ATT_proj,RUSHING_YDS_proj,RUSHING_TDS,RECEIVING_REC_proj,RECEIVING_YDS_proj,RECEIVING_TDS,MISC_FL_proj,FPTS_proj,Team_proj,Week,Year,Position_proj,Unnamed: 0_level_0_Rank,RUSHING_ATT_actual,RUSHING_YDS_actual,RUSHING_Y/A,RUSHING_LG,RUSHING_20+,RUSHING_TD,RECEIVING_REC_actual,RECEIVING_TGT,RECEIVING_YDS_actual,RECEIVING_Y/R,RECEIVING_TD,MISC_FL_actual,MISC_G,FPTS_actual,MISC_FPTS/G,MISC_ROST,Team_actual,Position_actual
Cam Akers,7.7,32.8,0.2,0.9,8.3,0.1,0.1,6.7,NO,2,2022,RB,32.0,15.0,44.0,2.9,8.0,0.0,0.0,2.0,3.0,18.0,9.0,0.0,0.0,1.0,8.2,8.2,1.4%,NO,RB
Ameer Abdullah,2.9,12.2,0.1,2.1,16.9,0.1,0.0,6.0,SF,2,2022,RB,59.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,23.0,23.0,0.0,0.0,1.0,3.3,3.3,0.6%,SF,RB
Alexander Mattison,5.2,22.0,0.1,1.3,9.2,0.1,0.0,5.4,MIA,2,2022,RB,51.0,2.0,8.0,4.0,5.0,0.0,0.0,3.0,5.0,6.0,2.0,0.0,0.0,1.0,4.4,4.4,2.4%,MIA,RB
Khalil Herbert,6.6,25.5,0.2,0.9,6.7,0.0,0.0,5.0,IND,2,2022,RB,48.0,4.0,38.0,9.5,27.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,1.0,5.1,5.1,2.4%,IND,RB
Kenneth Walker III,7.5,28.0,0.1,0.8,6.1,0.0,0.1,4.9,SEA,2,2022,RB,58.0,4.0,10.0,2.5,8.0,0.0,0.0,2.0,3.0,5.0,2.5,0.0,0.0,1.0,3.5,3.5,95.4%,SEA,RB
Rachaad White,4.6,18.2,0.1,1.2,10.5,0.0,0.0,4.8,TB,2,2022,RB,86.0,2.0,1.0,0.5,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,57.1%,TB,RB
Samaje Perine,3.4,12.7,0.1,1.2,8.8,0.0,0.0,3.9,CIN,2,2022,RB,67.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,8.0,8.0,0.0,0.0,1.0,2.0,2.0,2.5%,CIN,RB
Isiah Pacheco,4.4,19.9,0.2,0.5,3.8,0.0,0.0,3.9,KC,2,2022,RB,80.0,2.0,6.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.6,90.2%,KC,RB
Jaylen Warren,4.8,18.0,0.1,0.7,6.2,0.0,0.0,3.7,PIT,2,2022,RB,66.0,4.0,15.0,3.8,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.5,2.5,81.7%,PIT,RB
Chuba Hubbard,2.7,10.7,0.1,0.8,6.7,0.0,0.0,3.1,CAR,2,2022,RB,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-2.0,-2.0,95.4%,CAR,RB
Andrew Beck,0.3,1.2,0.0,1.3,10.6,0.1,0.0,3.1,NYJ,2,2022,RB,100.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0%,NYJ,RB
Kyle Juszczyk,0.7,2.5,0.0,1.2,10.9,0.1,0.0,3.0,SF,2,2022,RB,44.0,2.0,1.0,0.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.1,6.1,0.8%,SF,RB
Patrick Taylor Jr.,0.0,14.7,0.1,0.4,3.1,0.0,0.0,3.0,SF,2,2022,RB,,,,,,,,,,,,,,,,,,,
Avery Williams,2.1,8.6,0.0,0.8,6.9,0.0,0.0,2.9,PHI,2,2022,RB,72.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,6.0,0.0,0.0,1.0,1.6,1.6,0.6%,PHI,RB
Tyler Allgeier,3.9,14.3,0.1,0.5,4.3,0.0,0.0,2.9,ATL,2,2022,RB,62.0,10.0,30.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,34.2%,ATL,RB
James Cook,2.9,12.6,0.1,0.5,4.4,0.1,0.1,2.7,BUF,2,2022,RB,47.0,11.0,53.0,4.8,33.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.3,5.3,98.0%,BUF,RB
Hassan Haskins,2.5,10.4,0.1,0.5,4.7,0.0,0.0,2.5,LAC,2,2022,RB,50.0,9.0,37.0,4.1,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.7,4.7,0.6%,LAC,RB
Justice Hill,2.8,9.6,0.0,0.7,4.9,0.0,0.0,2.5,BAL,2,2022,RB,71.0,3.0,16.0,5.3,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6,1.6,14.4%,BAL,RB
Jordan Mason,2.6,9.6,0.1,0.6,5.0,0.0,0.0,2.4,MIN,2,2022,RB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.2%,MIN,RB
Pierre Strong Jr.,1.4,8.3,0.1,0.6,4.8,0.0,0.0,2.4,CLE,2,2022,RB,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7%,CLE,RB
Dare Ogunbowale,1.1,8.8,0.0,0.6,5.8,0.0,0.0,2.3,HOU,2,2022,RB,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7%,HOU,RB
Tyrion Davis-Price,3.0,12.7,0.1,0.3,2.9,0.0,0.0,2.3,GB,2,2022,RB,60.0,14.0,33.0,2.4,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.3,3.3,0.0%,GB,RB
Travis Homer,1.1,4.9,0.0,0.9,7.5,0.0,0.0,2.3,CHI,2,2022,RB,33.0,2.0,9.0,4.5,5.0,0.0,0.0,4.0,4.0,33.0,8.3,0.0,0.0,1.0,8.2,8.2,0.6%,CHI,RB
Alec Ingold,0.2,0.5,0.0,1.1,9.5,0.0,0.0,2.2,MIA,2,2022,RB,56.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,15.0,7.5,0.0,0.0,1.0,3.6,3.6,0.6%,MIA,RB
Patrick Ricard,0.1,0.5,0.0,0.9,7.7,0.1,0.0,2.2,BAL,2,2022,RB,81.0,1.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.8%,BAL,RB
Craig Reynolds,2.6,10.1,0.0,0.5,4.0,0.0,0.0,2.1,DET,2,2022,RB,55.0,3.0,16.0,5.3,11.0,0.0,0.0,1.0,1.0,13.0,13.0,0.0,0.0,1.0,3.9,3.9,0.7%,DET,RB
Ty Johnson,0.7,5.9,0.0,0.6,5.0,0.0,0.0,1.9,BUF,2,2022,RB,74.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,0.0,0.0,1.0,1.4,1.4,2.8%,BUF,RB
Demetric Felton Jr.,0.7,1.8,0.0,0.7,7.8,0.0,0.0,1.9,WAS,2,2022,RB,78.0,1.0,-4.0,-4.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,1.0,0.9,0.9,0.0%,WAS,RB
Zamir White,2.2,9.3,0.1,0.3,2.4,0.0,0.0,1.9,LV,2,2022,RB,85.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.2,2.2%,LV,RB
Connor Heyward,1.8,7.0,0.1,0.2,2.1,0.0,0.0,1.7,PIT,2,2022,RB,,,,,,,,,,,,,,,,,,,
Jerome Ford,1.8,8.3,0.1,0.3,2.6,0.0,0.0,1.7,CLE,2,2022,RB,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,45.6%,CLE,RB
C.J. Ham,0.4,1.5,0.0,0.9,6.4,0.0,0.0,1.7,MIN,2,2022,RB,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6%,MIN,RB
Deon Jackson,1.6,4.0,0.0,0.4,3.6,0.0,0.0,1.5,DET,2,2022,RB,102.0,2.0,-3.0,-1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.3,-0.3,0.0%,DET,RB
DeeJay Dallas,1.1,4.0,0.0,0.5,3.2,0.0,0.0,1.5,ARI,2,2022,RB,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.1%,ARI,RB
JaMycal Hasty,1.1,2.4,0.0,0.5,5.2,0.0,0.0,1.4,NE,2,2022,RB,,,,,,,,,,,,,,,,,,,
Salvon Ahmed,0.6,6.1,0.0,0.3,2.2,0.0,0.0,1.4,IND,2,2022,RB,,,,,,,,,,,,,,,,,,,
Mike Boone,0.9,5.4,0.0,0.1,1.5,0.0,0.0,1.1,MIA,2,2022,RB,,,,,,,,,,,,,,,,,,,
Jonathan Ward,0.5,2.5,0.0,0.4,3.7,0.0,0.0,1.1,NYG,2,2022,RB,,,,,,,,,,,,,,,,,,,
Reggie Gilliam,0.1,0.0,0.0,0.5,5.0,0.0,0.0,1.0,BUF,2,2022,RB,23.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,17.0,8.5,1.0,0.0,1.0,9.7,9.7,0.0%,BUF,RB
Rico Dowdle,1.0,3.5,0.0,0.2,2.5,0.0,0.0,1.0,CAR,2,2022,RB,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.4%,CAR,RB
Michael Burton,0.7,2.7,0.0,0.2,1.6,0.0,0.0,0.9,DEN,2,2022,RB,69.0,1.0,6.0,6.0,6.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.8,1.8,0.1%,DEN,RB
Gary Brightwell,0.6,2.6,0.0,0.2,1.6,0.0,0.0,0.7,CIN,2,2022,RB,75.0,1.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4,1.4,0.0%,CIN,RB
Kene Nwangwu,0.8,3.2,0.0,0.2,1.1,0.0,0.0,0.7,NYJ,2,2022,RB,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0%,NYJ,RB
Jakob Johnson,0.0,0.7,0.0,0.3,2.0,0.0,0.0,0.6,HOU,2,2022,RB,,,,,,,,,,,,,,,,,,,
Nick Bellore,0.0,1.4,0.0,0.2,0.9,0.0,0.0,0.5,WAS,2,2022,RB,,,,,,,,,,,,,,,,,,,
Jonathan Taylor,19.5,99.1,0.8,2.6,21.5,0.1,0.1,19.9,IND,3,2022,RB,23.0,21.0,71.0,3.4,13.0,0.0,0.0,3.0,5.0,20.0,6.7,0.0,0.0,1.0,12.1,12.1,99.0%,IND,RB
Austin Ekeler,13.7,54.5,0.5,5.1,43.8,0.3,0.1,19.6,WAS,3,2022,RB,20.0,4.0,5.0,1.3,3.0,0.0,0.0,8.0,8.0,48.0,6.0,0.0,0.0,1.0,13.3,13.3,53.3%,WAS,RB
Christian McCaffrey,16.4,70.7,0.4,4.8,39.0,0.2,0.1,19.5,SF,3,2022,RB,19.0,25.0,108.0,4.3,18.0,0.0,0.0,2.0,4.0,7.0,3.5,0.0,0.0,1.0,13.5,13.5,99.2%,SF,RB
Saquon Barkley,17.0,75.2,0.5,4.2,30.0,0.2,0.1,18.5,PHI,3,2022,RB,5.0,14.0,81.0,5.8,36.0,1.0,1.0,4.0,4.0,45.0,11.3,0.0,0.0,1.0,22.6,22.6,99.5%,PHI,RB
Joe Mixon,20.2,78.5,0.6,3.1,24.5,0.1,0.1,17.9,HOU,3,2022,RB,42.0,12.0,24.0,2.0,9.0,0.0,0.0,3.0,7.0,14.0,4.7,0.0,0.0,1.0,6.8,6.8,92.1%,HOU,RB
Alvin Kamara,14.4,61.9,0.4,3.7,32.9,0.2,0.1,16.8,NO,3,2022,RB,40.0,15.0,61.0,4.1,27.0,1.0,0.0,2.0,7.0,12.0,6.0,0.0,1.0,1.0,7.3,7.3,96.2%,NO,RB
Derrick Henry,22.5,95.1,0.7,1.4,10.4,0.1,0.1,16.0,BAL,3,2022,RB,2.0,20.0,85.0,4.3,24.0,1.0,1.0,5.0,6.0,58.0,11.6,0.0,0.0,1.0,25.3,25.3,99.4%,BAL,RB
Aaron Jones Sr.,10.1,53.1,0.3,4.1,34.4,0.2,0.1,15.6,MIN,3,2022,RB,49.0,12.0,36.0,3.0,10.0,0.0,0.0,3.0,4.0,11.0,3.7,0.0,1.0,1.0,5.7,5.7,88.4%,MIN,RB
David Montgomery,17.7,70.3,0.5,2.7,22.5,0.1,0.1,15.2,DET,3,2022,RB,70.0,3.0,11.0,3.7,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1,1.1,93.1%,DET,RB
Nick Chubb,16.4,83.1,0.5,1.6,12.4,0.1,0.1,14.5,HOU,3,2022,RB,10.0,23.0,113.0,4.9,36.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,17.3,17.3,38.9%,HOU,RB
D'Andre Swift,10.4,48.6,0.3,3.7,28.5,0.2,0.1,14.4,CHI,3,2022,RB,39.0,7.0,31.0,4.4,9.0,0.0,0.0,3.0,4.0,15.0,5.0,0.0,0.0,1.0,7.6,7.6,88.9%,CHI,RB
Najee Harris,16.0,59.4,0.3,3.5,22.0,0.1,0.1,14.4,LAC,3,2022,RB,21.0,15.0,56.0,3.7,10.0,0.0,1.0,3.0,3.0,5.0,1.7,0.0,1.0,1.0,13.1,13.1,59.0%,LAC,RB
Antonio Gibson,14.4,61.9,0.5,2.6,19.0,0.1,0.1,13.8,NE,3,2022,RB,27.0,12.0,38.0,3.2,11.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,11.0,11.0,3.5%,NE,RB
Javonte Williams,11.2,49.5,0.3,3.5,25.9,0.2,0.1,13.5,DAL,3,2022,RB,33.0,15.0,58.0,3.9,16.0,0.0,0.0,3.0,5.0,2.0,0.7,0.0,0.0,1.0,9.0,9.0,70.2%,DAL,RB
James Conner,12.7,48.4,0.5,2.7,21.1,0.1,0.1,13.1,ARI,3,2022,RB,34.0,13.0,39.0,3.0,10.0,0.0,0.0,3.0,5.0,18.0,6.0,0.0,0.0,1.0,8.7,8.7,93.6%,ARI,RB
Michael Carter,11.3,51.1,0.3,3.0,23.4,0.1,0.1,12.5,ARI,3,2022,RB,50.0,11.0,39.0,3.5,9.0,0.0,0.0,1.0,2.0,7.0,7.0,0.0,0.0,1.0,5.6,5.6,1.1%,ARI,RB
Miles Sanders,12.8,65.5,0.4,2.0,14.4,0.1,0.1,12.4,DAL,3,2022,RB,51.0,15.0,46.0,3.1,13.0,0.0,0.0,1.0,1.0,-2.0,-2.0,0.0,0.0,1.0,5.4,5.4,8.2%,DAL,RB
Clyde Edwards-Helaire,10.5,48.7,0.3,2.3,20.0,0.2,0.1,11.8,NO,3,2022,RB,14.0,7.0,0.0,0.0,4.0,0.0,1.0,5.0,5.0,39.0,7.8,0.0,0.0,1.0,14.9,14.9,0.8%,NO,RB
A.J. Dillon,11.7,50.2,0.3,2.5,21.1,0.1,0.1,11.7,PHI,3,2022,RB,48.0,12.0,32.0,2.7,7.0,0.0,0.0,2.0,3.0,6.0,3.0,0.0,0.0,1.0,5.8,5.8,3.2%,PHI,RB
Josh Jacobs,13.5,57.5,0.5,1.8,13.3,0.0,0.1,11.6,GB,3,2022,RB,15.0,13.0,66.0,5.1,13.0,0.0,0.0,5.0,5.0,31.0,6.2,0.0,0.0,1.0,14.7,14.7,99.3%,GB,RB
Dameon Pierce,15.5,68.0,0.3,1.4,11.0,0.1,0.1,11.6,HOU,3,2022,RB,9.0,20.0,80.0,4.0,24.0,1.0,1.0,2.0,2.0,21.0,10.5,0.0,0.0,1.0,18.1,18.1,4.3%,HOU,RB
Jeff Wilson Jr.,14.0,56.7,0.4,1.7,13.7,0.1,0.1,11.3,SF,3,2022,RB,25.0,12.0,75.0,6.3,37.0,1.0,0.0,3.0,3.0,31.0,10.3,0.0,1.0,1.0,11.6,11.6,1.0%,SF,RB
Tony Pollard,9.0,40.8,0.2,2.9,24.5,0.1,0.1,11.1,TEN,3,2022,RB,29.0,13.0,105.0,8.1,46.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.5,10.5,86.7%,TEN,RB
Kareem Hunt,9.5,40.5,0.3,2.6,19.2,0.1,0.1,11.0,KC,3,2022,RB,32.0,12.0,47.0,3.9,11.0,0.0,0.0,3.0,4.0,14.0,4.7,0.0,0.0,1.0,9.1,9.1,19.6%,KC,RB
Rhamondre Stevenson,9.7,41.2,0.3,2.6,20.5,0.1,0.1,10.7,NE,3,2022,RB,8.0,12.0,73.0,6.1,18.0,0.0,1.0,4.0,5.0,28.0,7.0,0.0,0.0,1.0,20.1,20.1,74.2%,NE,RB
J.K. Dobbins,9.6,49.9,0.4,1.6,13.8,0.1,0.1,10.5,DEN,3,2022,RB,45.0,7.0,23.0,3.3,5.0,0.0,0.0,2.0,2.0,17.0,8.5,0.0,0.0,1.0,6.0,6.0,74.8%,DEN,RB
Devin Singletary,10.1,46.1,0.3,2.1,14.2,0.1,0.1,10.3,NYG,3,2022,RB,4.0,9.0,13.0,1.4,6.0,0.0,0.0,9.0,11.0,78.0,8.7,1.0,0.0,1.0,24.1,24.1,3.2%,NYG,RB
Cam Akers,12.0,46.4,0.3,1.5,13.7,0.1,0.1,9.4,NO,3,2022,RB,30.0,12.0,61.0,5.1,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.1,10.1,1.4%,NO,RB
Raheem Mostert,10.5,48.7,0.3,1.3,10.8,0.0,0.1,9.1,LV,3,2022,RB,69.0,8.0,11.0,1.4,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.1,1.1,8.2%,LV,RB
Breece Hall,8.9,35.3,0.2,1.7,15.1,0.1,0.1,8.5,NYJ,3,2022,RB,13.0,8.0,39.0,4.9,16.0,0.0,0.0,6.0,11.0,53.0,8.8,0.0,0.0,1.0,15.2,15.2,96.3%,NYJ,RB
Travis Etienne Jr.,6.6,28.5,0.2,2.3,19.4,0.1,0.1,8.5,JAC,3,2022,RB,28.0,13.0,45.0,3.5,9.0,0.0,0.0,3.0,3.0,30.0,10.0,0.0,0.0,1.0,10.5,10.5,80.3%,JAC,RB
Nyheim Miller-Hines,3.3,12.9,0.1,3.2,25.8,0.1,0.1,8.2,LAC,3,2022,RB,35.0,3.0,7.0,2.3,7.0,0.0,0.0,5.0,6.0,23.0,4.6,0.0,0.0,1.0,8.0,8.0,0.0%,LAC,RB
Alexander Mattison,6.9,28.2,0.2,1.6,12.5,0.1,0.1,7.2,MIA,3,2022,RB,26.0,7.0,28.0,4.0,9.0,0.0,1.0,1.0,1.0,16.0,16.0,0.0,0.0,1.0,11.4,11.4,2.4%,MIA,RB
Kenneth Gainwell,3.4,16.3,0.2,1.9,16.3,0.1,0.0,6.8,PIT,3,2022,RB,76.0,3.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.6,1.6%,PIT,RB
Kenneth Walker III,7.3,28.8,0.2,1.1,8.6,0.0,0.0,6.1,SEA,3,2022,RB,43.0,3.0,19.0,6.3,21.0,1.0,0.0,3.0,3.0,14.0,4.7,0.0,0.0,1.0,6.3,6.3,95.4%,SEA,RB
Tyler Allgeier,8.1,29.8,0.2,0.7,6.5,0.0,0.0,5.6,ATL,3,2022,RB,58.0,6.0,25.0,4.2,7.0,0.0,0.0,1.0,1.0,5.0,5.0,0.0,0.0,1.0,4.0,4.0,34.2%,ATL,RB
Khalil Herbert,6.2,26.5,0.2,0.9,6.8,0.0,0.0,5.4,IND,3,2022,RB,1.0,20.0,157.0,7.9,52.0,1.0,2.0,2.0,2.0,12.0,6.0,0.0,0.0,1.0,30.9,30.9,2.4%,IND,RB
Rachaad White,4.9,18.9,0.1,1.0,8.1,0.0,0.0,4.5,TB,3,2022,RB,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,57.1%,TB,RB
D'Ernest Johnson,2.2,18.2,0.1,0.7,6.2,0.0,0.0,4.0,BAL,3,2022,RB,,,,,,,,,,,,,,,,,,,
Travis Homer,2.0,10.1,0.1,1.3,10.3,0.1,0.0,3.9,CHI,3,2022,RB,75.0,1.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,0.7,0.6%,CHI,RB
Ameer Abdullah,2.0,7.3,0.0,1.4,11.3,0.1,0.0,3.9,SF,3,2022,RB,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6%,SF,RB
Samaje Perine,2.9,10.6,0.1,1.1,8.8,0.1,0.0,3.9,CIN,3,2022,RB,17.0,9.0,47.0,5.2,7.0,0.0,0.0,2.0,2.0,14.0,7.0,1.0,0.0,1.0,14.1,14.1,2.5%,CIN,RB
Isiah Pacheco,3.7,16.8,0.1,0.6,4.9,0.0,0.0,3.7,KC,3,2022,RB,72.0,3.0,9.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9,0.9,90.2%,KC,RB
Craig Reynolds,3.9,15.9,0.1,0.7,5.6,0.0,0.0,3.4,DET,3,2022,RB,61.0,6.0,13.0,2.2,5.0,0.0,0.0,1.0,1.0,5.0,5.0,0.0,0.0,1.0,2.8,2.8,0.7%,DET,RB
Kyle Juszczyk,0.9,3.4,0.0,1.2,11.1,0.1,0.0,3.3,SF,3,2022,RB,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,24.0,24.0,0.0,0.0,1.0,3.4,3.4,0.8%,SF,RB
Jaylen Warren,3.3,12.5,0.1,0.8,5.7,0.0,0.0,3.1,PIT,3,2022,RB,54.0,4.0,30.0,7.5,10.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,1.0,4.3,4.3,81.7%,PIT,RB
Hassan Haskins,2.5,11.5,0.1,0.7,6.1,0.0,0.0,3.0,LAC,3,2022,RB,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6%,LAC,RB
Ty Johnson,1.2,6.1,0.0,1.0,8.4,0.0,0.0,2.9,BUF,3,2022,RB,,,,,,,,,,,,,,,,,,,
Zamir White,3.6,12.4,0.1,0.4,3.7,0.0,0.0,2.7,LV,3,2022,RB,,,,,,,,,,,,,,,,,,,
Avery Williams,0.9,3.6,0.0,0.9,8.2,0.1,0.0,2.6,PHI,3,2022,RB,71.0,1.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9,0.9,0.6%,PHI,RB
Justice Hill,3.3,11.9,0.1,0.6,4.0,0.0,0.0,2.6,BAL,3,2022,RB,46.0,6.0,60.0,10.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,14.4%,BAL,RB
Jordan Mason,3.5,12.8,0.1,0.4,4.0,0.0,0.0,2.5,MIN,3,2022,RB,74.0,1.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,0.7,72.2%,MIN,RB
James Cook,1.9,10.1,0.1,0.5,4.3,0.0,0.0,2.3,BUF,3,2022,RB,36.0,1.0,3.0,3.0,3.0,0.0,0.0,4.0,5.0,37.0,9.3,0.0,0.0,1.0,8.0,8.0,98.0%,BUF,RB
Reggie Gilliam,0.1,0.0,0.0,0.8,8.0,0.1,0.0,2.2,BUF,3,2022,RB,55.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,22.0,11.0,0.0,0.0,1.0,4.2,4.2,0.0%,BUF,RB
Chuba Hubbard,2.4,8.8,0.1,0.5,3.8,0.0,0.0,2.2,CAR,3,2022,RB,62.0,3.0,25.0,8.3,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,2.5,95.4%,CAR,RB
Alec Ingold,0.5,2.0,0.0,1.0,7.1,0.0,0.0,2.2,MIA,3,2022,RB,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6%,MIA,RB
Patrick Ricard,0.2,0.3,0.0,0.9,7.0,0.1,0.0,2.1,BAL,3,2022,RB,65.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,12.0,0.0,0.0,1.0,2.2,2.2,0.8%,BAL,RB
DeeJay Dallas,1.8,6.3,0.1,0.5,3.3,0.0,0.0,1.8,ARI,3,2022,RB,47.0,3.0,21.0,7.0,16.0,0.0,0.0,2.0,2.0,17.0,8.5,0.0,0.0,1.0,5.8,5.8,0.1%,ARI,RB
Dare Ogunbowale,0.4,5.7,0.0,0.4,3.4,0.0,0.0,1.5,HOU,3,2022,RB,,,,,,,,,,,,,,,,,,,
Pierre Strong Jr.,1.2,6.2,0.1,0.3,2.5,0.0,0.0,1.5,CLE,3,2022,RB,,,,,,,,,,,,,,,,,,,
C.J. Ham,0.4,1.3,0.0,0.7,6.1,0.0,0.0,1.5,MIN,3,2022,RB,59.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,15.0,7.5,0.0,0.0,1.0,3.5,3.5,0.6%,MIN,RB
Ke'Shawn Vaughn,1.0,6.1,0.1,0.2,1.6,0.0,0.0,1.3,SF,3,2022,RB,,,,,,,,,,,,,,,,,,,
Jerome Ford,1.3,5.5,0.0,0.2,2.0,0.0,0.0,1.3,CLE,3,2022,RB,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,45.6%,CLE,RB
Salvon Ahmed,0.4,5.5,0.0,0.2,1.7,0.0,0.0,1.1,IND,3,2022,RB,,,,,,,,,,,,,,,,,,,
JaMycal Hasty,0.7,2.3,0.0,0.5,3.2,0.0,0.0,1.1,NE,3,2022,RB,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.1%,NE,RB
Rico Dowdle,1.1,4.2,0.0,0.3,2.5,0.0,0.0,1.0,CAR,3,2022,RB,,,,,,,,,,,,,,,,,,,
Connor Heyward,1.7,5.9,0.0,0.2,1.8,0.0,0.0,1.0,PIT,3,2022,RB,,,,,,,,,,,,,,,,,,,
Gary Brightwell,0.9,3.9,0.0,0.2,2.0,0.0,0.0,0.9,CIN,3,2022,RB,,,,,,,,,,,,,,,,,,,
Deon Jackson,1.5,4.2,0.0,0.1,1.3,0.0,0.0,0.9,DET,3,2022,RB,,,,,,,,,,,,,,,,,,,
